of 1 of 1
his temper 1 1
history of 2 4
homeland security 4 10
host of 1 5
how local 1 1
how much 1 14
how the 1 5
how to 5 6
however it 2 2
however the 5 1
however we 1 1
http www 431 11
human race 1 1
hunch but 1 1
hurricane bearing 1 1
i decided 1 1
i the 1 2
i was 7 3
idea that 2 1
identify individuals 1 1
identify people 1 1
if a 1 1
if it 1 1
if the 3 6
if there 1 2
if they 6 2
if this 1 1
if we 3 1
illegal immigration 3 1
image against 1 1
implications for 1 3
importance of 2 3
important to 1 2
in a 59 41
in about 2 1
in addition 4 4
in all 5 2
in america 2 13
in an 7 11
in and 3 6
in arizona 1 1
in both 3 3
in brief 1 1
in britain 1 1
in china 1 1
in city 2 1
in court 5 1
in crime 7 5
in criminal 2 4
in events 1 2
in fact 2 2
in federal 1 1
in four 1 1
in his 12 1
in homeland 1 2
in ideas 1 1
in it 2 3
in its 6 5
in japan 1 1
in law 3 2
in local 2 5
in many 3 3
in mind 1 1
in more 1 1
in most 1 4
in new 14 3
in one 2 2
in other 3 9
in others 1 2
in our 1 1
in overall 2 1
in parenting 1 1
in person 1 1
in police 1 29
in policing 1 13
in recent 6 4
in size 1 2
in some 4 5
in special 1 1
in specific 1 1
in such 1 2
in terms 2 6
in that 2 4
in the 177 198
in their 10 8
in these 1 7
in this 5 9
in to 2 5
in trouble 1 1
in two 7 3
in violent 3 1
in what 1 4
in which 5 16
inc all 451 1
including those 1 1
increase in 1 4
increase of 1 1
increased and 1 1
increased the 1 1
indicate that 1 2
indicating that 1 1
individuals on 1 1
information about 17 7
information byline 1 1
information on 6 1
information to 1 3
infrastructure can 1 1
innovation and 1 1
instead of 1 2
intended to 2 2
interested in 2 1
interesting and 1 1
international city 2 3
internet into 1 1
internet is 1 1
into a 2 3
into an 2 1
into fights 1 1
into the 12 10
into trouble 1 1
invasion of 1 1
invest in 3 1
investing in 1 2
investment in 2 1
involved in 10 4
involved two 1 1
involvement and 2 1
involvement in 2 9
is a 16 17
is about 3 1
is all 1 1
is also 2 1
is an 5 3
is available 1 1
is based 1 1
is being 1 1
is both 1 1
is centimetres 1 1
is changing 1 4
is expected 3 1
is for 2 3
is how 1 2
is in 8 3
is its 1 1
is likely 6 1
is making 1 1
is more 1 5
is most 3 1
is much 1 1
is no 3 2
is not 9 29
is now 2 2
is often 1 2
is part 2 1
is possible 1 3
is rooted 1 2
is santa 1 1
is still 1 1
is that 4 11
is the 18 23
is to 2 4
is unknown 1 3
is why 3 1
is widely 1 2
issue in 2 1
issue is 1 1
it a 1 1
it as 2 3
it away 1 1
it by 1 1
it could 1 1
it difficult 1 1
it doesn 3 1
it from 1 1
it has 5 11
it is 11 36
it it 2 1
it makes 2 1
it may 1 14
it owns 1 1
it possible 1 2
it s 32 3
it seems 1 2
it should 1 1
it stands 1 1
it this 1 1
it to 3 1
it took 1 1
it was 16 3
it will 8 11
it would 3 6
its ancestors 1 1
its photo 1 1
its use 1 3
ivan the 1 1
jackson writes 1 1
japan first 1 1
jian of 1 1
joel rubin 1 1
jour what 1 1
jumped from 1 1
just a 5 1
just as 1 2
justice for 4 1
k reports 1 1
kea parrots 1 1
keas cracked 1 1
keas with 1 1
keeping the 1 1
kesterton section 1 1
key to 1 2
kids sometimes 1 1
know about 1 2
know what 2 1
known picture 1 1
kremlin after 1 1
kremlin complex 1 1
kremlin the 1 1
kyoto university 1 1
l length 1 1
landmark the 1 1
language english 79 2
large amounts 2 1
large scale 1 2
largely by 1 1
late s 1 4
later a 2 1
law and 2 15
law enforcement 18 42
law in 3 1
law to 1 1
lawsuit to 1 1
leaders and 1 4
leaders have 1 1
leadership in 1 2
least a 2 1
least in 1 2
least likely 1 1
led to 3 3
left hand 1 1
left to 1 1
length words 79 3
less crime 1 1
less than 2 4
lesson of 1 1
level of 2 8
levels of 3 13
life facts 1 1
life in 5 1
like others 1 1
like reverse 1 1
likely to 11 3
limited its 1 1
list of 3 1
lists some 1 1
little or 1 3
little to 1 2
live in 6 1
lived in 2 1
load date 500 2
local government 3 4
local law 1 10
local police 3 28
locks can 1 1
london a 1 1
long and 1 1
long been 1 2
long history 1 1
long list 1 1
long term 1 5
longest nail 1 1
look at 5 1
looked at 3 1
looking for 2 3
los angeles 1627 4
lot more 1 1
lot of 9 1
love best 1 1
low income 1 1
lower crime 8 1
made a 3 1
made and 1 2
made on 1 1
made the 1 2
magazine describes 1 1
magazine reports 1 1
mail a 1 1
mail canada 1 1
majority of 1 2
makes it 2 2
makes me 1 1
making available 1 1
making his 1 1
making it 1 1
man in 2 1
managed to 1 1
management a 1 1
manhattan institute 2 2
many as 3 2
many cities 1 1
many more 1 1
many of 3 8
many types 1 1
mart joel 1 1
may and 1 1
may be 3 35
may have 1 6
may not 3 4
may take 1 3
mayor s 2 1
me control 1 1
me think 1 1
means to 2 2
measure of 1 1
members and 2 1
members of 10 5
merely from 1 1
michael kesterton 1 1
mid and 1 1
middle class 1 1
might be 3 8
minds kea 1 1
miscellany of 1 1
miyata found 1 1
miyata of 1 1
mkesterton globeandmail 1 1
model for 2 1
mommy daddy 1 1
month by 1 1
moral character 1 1
more about 1 2
more and 3 1
more community 1 2
more complicated 1 1
more for 1 1
more important 1 2
more information 10 1
more likely 3 2
more of 12 1
more officers 1 3
more open 1 1
more police 1 1
more strawberry 1 1
more sworn 1 3
more than 17 9
more to 1 1
more with 1 2
moscow landmark 1 1
most at 1 1
most challenging 1 1
most effective 2 2
most obvious 1 1
most of 2 10
most optimistic 1 1
most significant 1 1
mother nature 1 1
motor vehicle 1 1
move threatens 1 1
moves he 1 1
much and 1 1
much is 1 2
much longer 1 1
much of 2 10
much to 1 1
my nails 1 1
my temper 1 1
nail is 1 1
nails his 1 1
nails on 1 1
nails to 1 1
nation s 5 11
native new 1 1
nature gets 1 1
nature of 2 11
nearly all 1 1
nearly two 1 1
necessary to 1 1
need for 3 3
need to 6 5
needed to 2 3
needs and 1 1
net anger 1 1
network of 2 2
networking sites 1 1
new scientist 1 1
new south 1 1
new york 29 49
new zealand 1 1
news december 1 1
news pg 14 1
news section 3 1
news u 1 1
news wen 1 1
newspaper copyright 53 2
next few 1 1
ninth century 1 1
no credible 1 1
no evidence 2 1
no place 1 1
no way 1 1
northeastern university 2 1
not a 2 1
not available 2 3
not be 5 4
not been 5 9
not only 4 8
not seem 1 1
not so 1 2
not sufficient 1 1
not surprising 1 2
not the 5 3
not to 3 9
not yet 3 6
noted in 1 3
noted that 1 4
notion of 1 1
notion that 1 3
now be 1 1
now started 1 1
now the 3 2
number of 14 33
occur at 1 1
occurred in 1 1
occurred the 1 1
of a 48 40
of all 3 2
of america 1 8
of americans 2 2
of an 3 9
of and 1 1
of any 1 3
of at 1 1
of both 1 1
of california 8 2
of change 1 8
of changle 1 1
of chiefs 1 5
of college 2 1
of community 1 29
of concerns 1 2
of contemporary 2 4
of course 2 8
of crime 11 22
of criminal 1 11
of criminology 1 5
of ctvglobemedia 1 1
of cutting 1 1
of death 2 1
of distant 1 1
of documents 500 3
of doing 1 2
of eight 1 1
of either 1 1
of events 3 1
of evidence 1 4
of factors 2 1
of female 1 1
of food 1 1
of four 2 1
of genealogy 1 1
of greater 4 1
of high 1 1
of highly 1 1
of his 7 3
of how 1 6
of information 2 19
of its 3 7
of ivan 1 1
of justice 2 35
of kyoto 1 1
of law 3 16
of life 2 2
of local 3 19
of locks 1 1
of london 1 1
of many 1 3
of members 1 1
of misconduct 1 2
of mommy 1 1
of more 1 3
of national 1 2
of new 2 12
of north 2 1
of officers 5 10
of one 1 3
of operation 1 1
of other 3 8
of others 1 3
of our 4 1
of people 2 2
of police 2 147
of privacy 2 1
of project 1 1
of public 1 4
of resources 1 2
of rurik 1 1
of sales 1 1
of services 1 1
of several 1 2
of state 1 5
of such 2 6
of technical 1 1
of terrorism 1 13
of that 1 3
of the 141 243
of their 7 19
of them 9 3
of these 3 18
of this 10 17
of those 4 6
of three 2 2
of time 2 2
of us 6 1
of what 2 7
of who 2 1
off the 6 1
offered by 9 1
offers a 1 1
office of 3 2
officer and 1 1
officer it 1 1
officer to 1 1
officers and 2 1
officers because 1 1
officers from 2 3
officers in 3 5
officers know 1 1
officers more 1 1
officers on 2 2
officers the 1 6
officers to 2 11
officers will 1 1
officials have 1 1
officials in 4 3
officials the 1 1
old american 1 1
on a 14 10
on an 2 1
on average 1 1
on crime 3 2
on friday 5 1
on greater 1 1
on his 4 2
on how 1 4
on information 1 2
on its 3 1
on law 3 1
on other 1 2
on our 2 1
on patrol 1 3
on site 1 5
on social 1 1
on terror 1 1
on the 41 45
on their 7 2
on them 1 1
on this 3 1
on to 1 2
on top 1 1
on what 1 3
on which 1 2
on your 1 1
once the 1 1
one direction 1 1
one needed 1 1
one of 13 7
ones the 1 1
online galleries 1 1
only a 1 4
only by 1 1
open all 1 1
open before 1 1
open to 1 1
optimistic scenarios 1 1
or a 2 4
or any 1 1
or as 1 1
or being 1 1
or even 1 2
or in 1 3
or large 1 1
or more 3 10
or no 1 4
or the 4 1
orange news 1 1
organization representing 1 1
other agencies 1 2
other cities 3 1
other crimes 2 1
other online 1 1
other such 1 1
others have 1 2
others he 1 1
others in 1 2
others to 2 1
others with 1 1
our kremlin 1 1
out in 3 1
out of 12 1
out what 2 1
outside the 8 5
over invasion 1 1
over the 12 11
over their 1 1
overseas the 1 1
ownership criminal 1 1
owns the 1 1
p a 1 7
p c 6 1
p the 1 7
parenting magazine 1 1
parents awkward 1 1
parrots are 1 1
parrots managed 1 1
part in 2 1
part of 16 7
part the 1 1
participation in 2 1
parts of 3 2
pastries the 1 1
patrol officer 2 7
pattern of 2 2
paul says 1 1
paul than 1 1
pay for 1 1
people and 1 4
people brought 1 1
people have 2 2
people in 4 1
people merely 1 1
people to 3 1
people want 1 1
people who 5 1
per year 4 1
perceived as 1 1
percent as 1 2
percent in 4 3
percent of 6 11
percent reduction 2 1
performance of 2 1
period of 1 1
personnel and 1 3
perspective the 1 1
peter baruch 1 1
peter tells 1 1
pg l 1 1
pg p 1 1
phase of 2 1
photo finder 1 1
photographs on 1 1
picture of 2 1
pink pastries 1 1
place the 1 1
place to 1 1
places the 1 1
plan their 1 1
plans to 2 1
police agencies 1 46
police agency 1 5
police and 4 29
police are 2 12
police career 1 1
police chief 7 3
police chiefs 3 3
police code 1 1
police community 2 2
police department 24 9
police departments 3 24
police from 1 4
police group 2 1
police has 1 2
police have 1 2
police in 1 27
police officer 6 1
police officers 7 15
police on 1 3
police personnel 1 1
police presence 1 2
police resources 1 1
police stations 1 1
police the 4 2
police to 6 17
policing for 1 1
policing if 1 1
policing is 1 14
policing strategy 1 1
policing the 1 9
political system 1 1
pop tarts 2 2
population of 2 1
possibility of 2 1
possibility that 1 1
possible through 1 2
possible to 1 3
possibly prevent 1 1
power to 1 2
powerful computer 1 1
predict where 1 2
predictive policing 2 14
presence in 2 2
presence of 1 4
presented keas 1 1
president s 1 2
prevent many 1 1
prevents him 1 1
previous crimes 1 2
prince whose 1 1
princes foundation 1 1
priority and 1 1
priority on 1 1
privacy however 1 1
problem faster 1 1
problems and 2 2
problems in 1 1
produced a 1 1
professionalism and 1 3
profound buzzy 1 1
program was 1 1
program wii 1 1
programs and 1 1
programs that 5 1
programs the 1 1
prove it 1 1
provide a 2 2
provided by 1 2
providers in 1 1
providing the 1 1
province says 1 1
provision of 1 1
public and 2 5
public in 1 2
public s 1 6
public safety 13 2
public should 2 1
publication type 79 2
publishing inc 1 1
punch give 1 1
purpose of 1 3
pursuit of 1 1
quality of 2 7
questions why 2 1
r and 2 5
r i 2 1
race is 1 1
racial profiling 1 1
ranks of 1 1
rate of 2 1
rates are 1 1
rates in 1 1
rather than 1 7
real dude 1 1
really believe 1 1
reams of 2 1
reason even 1 1
reason to 2 2
reasons for 2 1
received more 1 1
recent years 5 4
reduce crime 2 3
reduce the 1 4
reduced the 1 1
reducing crime 1 1
reflected in 2 2
relate to 2 1
related the 1 1
related to 3 2
relationship between 1 3
release miyata 1 1
releasing its 1 1
remember the 1 1
removed from 1 1
renowned thieves 1 1
reported in 4 1
reported its 1 1
reports and 1 1
reports for 1 1
reports fuzhou 1 1
reports hiromitsu 1 1
reports load 1 1
reports the 1 1
reports wen 1 1
representing the 2 1
requests and 1 1
requests for 1 3
required to 1 1
requires the 1 1
research shows 3 1
researchers say 1 1
reserved of 63 1
residents and 3 1
residents of 1 1
resources that 1 2
resources to 1 1
respond and 1 1
responded to 6 1
responsibility for 1 1
responsible for 4 1
rest of 1 1
result in 1 1
result of 5 1
resulting in 1 1
results have 1 1
retail giant 1 1
returned to 3 1
reverse cowgirl 1 1
review the 1 1
revolutionize law 1 1
rights reserved 487 1
risk for 1 1
risk of 1 1
role in 1 5
role is 1 1
rooted in 2 2
rubin writes 1 1
ruled until 1 1
ruling on 1 1
run by 2 1
rurik a 1 1
