of documents 1 of 1
crime task force 1 1
crimes such as 3 1
criminal defense attorney 6 1
criminal defense attorneys 1 1
criminal justice professionals 1 1
criminal justice system 3 29
data driven policing 1 6
date august language 7 2
date december language 6 1
date february language 2 1
date june language 5 2
date march language 4 11
december language english 6 1
department of justice 1 6
department s crime 1 1
departments as well 1 11
did not know 1 1
did not want 2 3
directly to the 1 1
director of the 2 11
district attorney jackie 3 11
district attorney to 1 1
district of columbia 1 1
do not know 1 1
document type story 5 1
documents legal monitor 5 1
documents orange county 5 1
documents pasadena star 11 4
documents san gabriel 2 3
does not currently 1 1
domestic violence are 1 1
domestic violence cases 3 16
don t know 4 2
don t think 1 2
down on the 2 1
during the course 1 2
during the same 1 1
east los angeles 2 11
enforcement officials and 1 1
engaged in a 1 1
english document type 5 1
english publication type 43 15
evidence in the 1 1
executive chairman of 1 1
executive director of 4 11
experience in the 1 1
fact that the 1 6
february language english 2 1
federal and state 3 2
focus of the 1 2
focused on the 1 2
for a criminal 1 1
for at least 2 1
for drug trafficking 1 1
for more than 6 4
for one of 1 1
for special needs 1 1
for the new 1 1
for the police 1 2
for the proposition 1 1
for the purpose 1 7
for the second 1 1
for the third 1 1
for those who 1 2
for those with 1 1
from committing crimes 1 1
from the court 2 4
from the los 2 11
from the victim 2 1
front of the 1 1
gabriel valley tribune 2 3
going into the 2 2
going to be 2 3
group inc all 14 12
group inc and 13 10
has a previous 1 1
has been described 2 1
has committed a 1 2
has established a 1 1
has made a 1 1
has not been 2 1
has worked to 1 1
have been charged 1 1
have the legal 1 1
have to be 1 2
haven t been 1 11
he added that 1 11
he has the 1 2
he hasn t 1 1
he said los 1 11
he said the 1 13
he was arrested 1 1
he won t 1 1
help them avoid 1 1
his attack on 1 1
his own life 1 1
home in the 2 1
homicides are down 1 1
http www justice 1 1
i am really 1 1
i can t 3 1
i don t 3 14
i m a 1 1
i think the 1 1
i ve been 2 12
if an individual 1 2
if it is 1 1
if they are 1 3
in a criminal 1 1
in a number 1 2
in a parked 2 1
in accordance with 1 2
in addition to 3 7
in an area 1 1
in an attempt 1 1
in an efficient 1 1
in as a 1 1
in charge of 5 11
in connection with 3 1
in court on 1 1
in criminal justice 1 3
in custody and 1 1
in danger of 1 1
in federal prison 1 1
in front of 1 1
in january the 1 2
in lieu of 1 1
in los angeles 38 4
in mind that 1 1
in more than 2 12
in new york 1 11
in order to 3 9
in our society 1 1
in possession of 1 2
in recent years 1 2
in reducing crime 1 1
in relation to 1 1
in terms of 2 6
in the city 4 4
in the country 1 1
in the court 2 2
in the criminal 1 6
in the early 3 5
in the face 1 2
in the federal 2 6
in the field 3 3
in the first 1 3
in the home 1 1
in the interview 2 1
in the lapd 2 1
in the last 1 2
in the most 1 1
in the nation 1 12
in the new 1 3
in the next 1 1
in the past 3 5
in the public 1 6
in the s 5 7
in the same 3 5
in the state 1 2
in the th 1 4
in the u 2 1
in the united 3 8
in their home 2 1
in which a 1 5
in which the 1 13
inc all rights 475 12
inc and los 13 10
including domestic violence 1 2
information about the 3 3
information provided by 1 1
into the system 1 2
involved in the 1 12
is accused of 1 1
is an important 1 2
is beginning to 1 1
is comprised of 1 1
is connected to 1 1
is going to 1 2
is like a 1 1
is linked to 1 1
is no evidence 1 1
is not in 1 3
is one of 4 1
is part of 1 1
is subject to 1 1
is that if 1 1
is that the 1 3
is the application 1 1
is the most 1 1
is used to 1 1
issues in the 1 1
it can be 1 3
it comes to 2 5
it has a 1 1
it has been 2 2
it is not 1 6
it is the 2 2
it s a 1 1
it s been 1 11
it s not 1 3
it was a 1 1
it was introduced 1 1
it was the 1 2
it will also 1 1
it would be 1 4
journal code copyright 6 1
june language english 5 2
knowledge of the 1 2
known as the 2 1
language english document 5 1
language english graphic 1 1
language english publication 43 15
largely out of 1 2
last two decades 1 1
later in the 2 1
law enforcement agencies 2 10
law enforcement agency 3 35
law enforcement officials 1 2
law enforcement to 1 5
lawyer in the 1 1
legal monitor worldwide 13 3
length words a 5 1
length words the 8 11
level of a 1 1
limited all rights 7 1
linked to violent 1 1
live in the 1 1
load date august 7 2
load date december 444 1
load date february 2 1
load date june 5 2
load date march 4 11
local law enforcement 3 3
local pg b 4 1
look at the 1 1
looking forward to 1 1
los angeles and 6 12
los angeles county 916 51
los angeles for 1 1
los angeles has 7 1
los angeles newspaper 13 10
los angeles on 1 1
los angeles police 42 39
los angeles was 1 11
ltd all rights 1 1
majority of which 1 1
make it easier 1 1
man accused of 1 1
many of the 3 2
march language english 4 11
martin luther king 1 1
master s degree 3 11
may have been 2 2
may not be 1 3
medianews group inc 13 12
members of a 2 1
members of the 5 4
mental health and 1 1
monitor worldwide load 3 1
monitor worldwide provided 5 1
more information about 1 1
more than a 3 4
more than million 1 1
more than years 2 12
most of the 1 14
most recent case 1 1
mr bratton said 4 2
mr bratton who 1 1
much of the 1 2
named in the 5 1
national center for 3 1
nature of the 1 7
need to be 1 1
needs to be 1 3
new york and 2 3
new york city 2 22
new york s 3 1
news length words 14 13
newspaper copyright medianews 13 12
newspaper copyright orange 5 1
newspaper copyright the 2 1
newspaper group inc 13 10
newspaper journal code 9 1
no evidence that 1 1
none of the 1 1
not know the 1 1
not only in 2 1
not only the 1 1
not to be 1 4
number of people 1 2
of a car 1 2
of crime and 1 2
of criminal cases 3 1
of criminal conduct 1 1
of criminal justice 1 2
of criminal law 2 1
of data and 1 5
of documents copyright 450 5
of documents legal 5 1
of documents orange 5 1
of documents pasadena 11 4
of documents san 2 3
of documents the 12 1
of his arrest 1 1
of his career 1 11
of labor statistics 1 1
of law enforcement 1 14
of law the 1 1
of los angeles 27 1
of more than 4 3
of new york 3 8
of officers from 1 1
of our daily 1 1
of people who 1 1
of possession of 1 1
of probation and 1 1
of sexual assault 1 1
of the art 1 3
of the big 2 2
of the case 2 5
of the commission 1 1
of the community 1 11
of the crime 2 3
of the criminal 2 3
of the department 1 12
of the dna 1 2
of the fbi 2 1
of the federal 1 7
of the first 1 4
of the long 1 11
of the most 1 14
of the new 2 2
of the officer 1 4
of the past 1 1
of the police 1 12
of the same 1 6
of the search 3 3
of the state 1 7
of the suspect 1 1
of the system 1 2
of the town 1 1
of the united 3 3
of the world 2 3
of their clients 2 2
of these cases 1 1
of which were 2 1
of years of 1 1
officer in the 1 1
officers who were 1 1
officers with the 1 1
on a daily 1 1
on behalf of 2 4
on suspicion of 8 1
on the day 1 1
on the ground 1 1
on the other 1 4
on the streets 3 2
on the various 1 1
one of the 6 16
one of their 1 2
or call the 3 1
or child molestation 1 2
orange county register 10 2
our daily lives 1 1
out in the 2 1
out of the 5 12
over the last 1 4
over the next 1 1
over the past 3 1
part of a 3 2
part of our 1 1
part of the 2 20
participate in the 1 4
pasadena star news 11 4
past two years 1 1
percent decline in 1 1
percent drop in 1 1
petition the court 1 1
pg b length 4 1
pg length words 10 1
phone or in 1 1
police chief s 1 1
police department and 3 3
police department s 1 9
police departments as 1 11
police need not 1 1
police officer and 1 1
police officers who 1 1
police said they 2 1
possession of a 1 1
privacy rights in 1 1
programs and the 1 1
property crime by 1 1
property crimes the 1 1
provided by syndigate 6 1
provided to the 2 1
publication type newspaper 45 17
purpose of the 1 1
range of criminal 1 1
rank and file 1 1
reduce crime in 1 2
reduce the number 1 2
regardless of the 1 10
register all rights 5 1
related to the 1 3
relation to the 1 1
relationship with the 1 4
released from prison 1 1
reported to the 1 1
reserved of documents 48 15
result in the 1 1
result of a 1 3
retired sheriff s 1 22
returned to the 1 1
rights in the 1 1
rights reserved of 48 15
s degree in 5 11
s department in 1 11
s department of 2 6
s in a 1 1
s not just 1 2
s prison population 1 1
s top cop 2 1
said in a 7 4
said it s 2 2
said load date 1 1
said los angeles 3 12
said that the 2 1
said the department 1 1
said the new 1 11
said this is 1 12
said we have 1 1
san gabriel valley 6 3
section local pg 4 1
section news length 13 13
section of the 1 1
security and the 3 2
sense of what 1 1
serves as the 1 1
services in the 1 1
sex offenders for 1 1
sheriff s department 22 124
since the s 2 1
some form of 1 1
some of the 5 17
some of which 2 1
southern district of 1 1
star news california 11 4
started with a 1 1
starting in the 1 1
state and federal 2 2
state court the 1 1
state of the 1 3
stored in a 1 1
story publication type 5 1
struck down a 2 1
struck down the 1 2
struck in the 1 1
subject to a 1 2
such as drug 1 1
supposed to be 1 1
suspicion that the 1 1
syndigate media inc 1 1
system and the 1 1
take action to 2 3
than in the 1 1
that a defendant 1 1
that can be 2 3
that crime is 1 3
that have been 3 3
that in the 1 2
that it has 1 2
that it is 1 5
that it was 3 2
that it will 2 2
that she had 1 2
that the department 1 1
that the government 2 13
that there is 1 10
that we must 2 1
that will include 1 1
the ability of 1 5
the ability to 1 19
the amount of 1 9
the appellate court 1 1
the associated press 3 1
the bulk of 1 11
the bureau of 1 1
the capability to 1 1
the case could 1 1
the case was 2 2
the chief executive 1 1
the chief of 1 2
the city of 7 4
the city s 1 7
the conduct of 1 2
the county from 1 11
the course of 1 3
the court of 3 3
the court s 1 15
the court will 2 1
the creation of 1 2
the crime rate 1 2
the criminal defense 2 1
the criminal justice 3 27
the death penalty 1 1
the department of 3 5
the department s 2 24
the department to 1 2
the deputy commissioner 1 1
the development of 1 4
the district of 1 1
the early s 5 3
the end of 2 3
the face of 1 2
the fact that 2 11
the fbi and 2 12
the fbi as 1 1
the fbi s 4 1
the field of 2 3
the first time 1 3
the freedom of 1 7
the front lines 1 1
the government of 2 1
the help of 1 2
the house and 1 1
the importance of 1 4
the increase in 1 2
the intersection of 1 3
the last two 1 1
the law the 1 1
the level of 1 3
the long beach 2 11
the los angeles 54 45
the most recent 2 3
the name of 1 2
the nation s 1 2
the nature of 1 6
the need for 1 4
the need to 1 6
the new york 2 31
the notion that 1 2
the number of 7 15
the officer s 1 18
the officer was 1 3
the opportunity to 2 4
the past two 1 1
the people of 1 12
the person who 1 2
the point of 1 1
the police officers 1 1
the possibility of 1 3
the prosecution of 1 3
the protection of 1 2
the public through 1 1
the purpose of 2 8
the question is 1 1
the role of 1 17
the s and 2 2
the s in 1 1
the s the 1 3
the s to 1 1
the san fernando 3 11
the second time 1 1
the sheriff s 7 77
the square mile 1 11
the state for 1 1
the state of 1 2
the state s 1 9
the status of 1 1
the streets to 1 1
the subject of 1 2
the supreme court 1 52
the suspect s 2 5
the systems of 1 1
the television show 1 1
the time and 1 1
the time of 3 4
the time to 1 13
the u s 6 8
the united states 7 19
the victim s 4 16
the way it 2 1
the work of 1 15
their lives on 1 11
there has been 1 3
there is a 2 10
there is no 1 17
there was no 1 4
they are not 1 1
they can protect 1 1
they discovered the 2 1
they don t 1 1
they should be 1 2
this is a 1 1
this is the 2 1
those who use 1 1
threat posed by 1 1
threats posed by 1 2
three of the 2 1
through the internet 1 1
throughout the summer 1 1
throughout the united 1 2
time in the 1 3
time of the 2 2
to a judge 1 1
to a law 1 1
to a person 1 4
to a physical 1 1
to address the 2 5
to appear in 2 2
to ask the 1 1
to be a 2 8
to be done 1 12
to be the 2 3
to call for 1 1
to call the 1 1
to catch a 1 1
to continue to 1 2
to crack down 2 1
to deal with 5 11
to death in 2 1
to develop a 1 1
to discuss the 1 1
to engage in 3 3
to ensure the 3 1
to examine these 1 1
to find a 1 1
to find the 2 2
to five years 1 1
to have a 3 4
to have suffered 2 1
to life in 1 2
to look at 1 2
to make it 1 2
to make the 3 3
to obtain a 1 1
to participate in 1 9
to protect the 1 12
to protect their 1 1
to provide the 1 2
to reduce crime 2 8
to reduce the 1 3
to rule on 1 1
to see if 1 1
to set a 1 1
to stop the 2 1
to study and 1 1
to support the 1 1
to take a 1 3
to talk about 2 1
to the arrest 1 2
to the criminal 2 1
to the extent 1 6
to the level 1 1
to the new 1 1
to the police 1 5
to the public 1 11
to the san 1 11
to the state 1 4
to the victim 4 4
took place in 1 1
traveling abroad in 1 1
two of the 1 1
two years with 1 1
type newspaper copyright 36 16
type newspaper journal 9 1
type story publication 5 1
u s department 1 6
u s in 1 4
under the state 1 1
understanding of the 1 1
united states and 2 1
up to a 1 1
up with a 1 2
url http www 5 1
used by the 1 2
used in the 1 2
used to make 1 2
valley tribune california 2 3
victim of the 1 1
view of the 1 2
violation of the 1 7
violence and the 2 2
violence cases is 1 1
violent crime by 1 1
was arrested after 1 1
was assigned to 1 1
was brought back 1 1
was in the 2 1
was involved in 1 2
washington d c 1 3
we are here 1 1
we are looking 1 1
we need to 1 3
we re just 1 1
we won t 1 1
well as the 1 4
were able to 1 2
were expected to 3 1
what is the 1 1
when it comes 2 5
where he lives 1 1
where i can 2 1
where there is 1 1
whether or not 1 2
which can be 1 2
which the court 1 3
who did not 3 2
who do not 1 1
who had provided 1 1
who use the 1 1
wide range of 1 2
will need to 1 2
will result in 1 1
willing to provide 1 1
with domestic violence 3 1
with law enforcement 1 3
with many other 2 1
with the federal 1 1
with the five 1 1
with the help 1 1
with the same 1 2
with their clients 1 1
with years of 1 1
without a warrant 1 3
women in the 2 1
worldwide load date 3 1
worldwide provided by 5 1
would have been 1 5
writer section local 4 1
www justice gov 1 1
year after the 1 1
years in the 1 1
years of experience 2 2
years worth of 1 2
york and los 2 2
york city s 1 1
you have a 1 1
