of 1 of 1
california march 1 9
california s 3 2
call for 1 1
call the 4 3
called the 3 2
came back 3 1
came to 3 3
can be 6 58
can lead 1 4
can protect 1 2
can t 4 3
can take 1 1
cannot be 2 3
capability to 1 1
care the 1 1
carried out 1 5
case against 1 1
case could 1 2
case in 1 8
case involving 1 1
case of 3 6
case the 1 4
case was 2 3
cases and 1 5
cases are 5 1
cases in 1 2
cases is 1 4
cases may 1 2
cases of 1 2
cases that 2 4
cases the 1 5
cases to 2 3
catch a 1 1
cause of 2 1
caused by 2 1
cbs new 1 1
center for 5 2
center on 2 1
center the 1 13
century of 1 1
certain types 2 1
chairman of 2 1
challenge to 2 4
challenges with 2 1
chance that 1 1
change in 2 2
character and 1 1
charge of 6 11
charged with 10 14
charges for 2 1
charlie beck 5 2
chief executive 1 1
chief justice 1 4
chief of 4 17
chief s 1 1
chief william 1 11
child abuse 2 1
child molestation 1 4
child pornography 15 2
children and 5 5
choice and 1 2
circumstances that 1 2
circumstances the 2 2
cities can 1 1
cities have 1 3
cities that 1 1
city and 1 1
city but 2 2
city has 1 1
city of 7 18
city police 2 8
city s 2 8
city the 3 2
civil rights 1 3
claimed that 1 2
claiming as 1 1
classified as 1 1
clear that 1 6
clients are 1 1
clients in 4 2
clients with 4 1
close to 3 1
co ltd 1 1
code copyright 6 1
collaborate with 1 1
collection of 1 18
com in 1 1
come to 2 6
come with 1 1
comes to 2 5
command officers 2 1
comment the 2 1
commission s 1 8
commissioner bill 2 1
commissioner of 1 5
committed a 2 3
committed and 1 4
committed the 1 1
committing a 2 1
committing crimes 2 1
common in 1 1
community supervision 1 1
company and 1 1
compared to 2 6
complaint from 1 1
complaint the 1 1
component of 1 2
comprised of 1 1
compstat system 1 1
concerned about 2 8
concerned that 1 3
condition of 1 1
conduct of 1 3
conducted by 1 2
conducting a 1 3
conference we 1 1
confining the 1 1
confused with 1 1
connected to 3 1
connection to 1 1
connection with 3 2
consequences for 1 5
considered for 1 1
consultation with 1 2
contact with 1 14
continue to 1 10
continues to 3 6
continuing with 1 1
contract is 1 2
control of 1 10
control the 2 4
controlled by 1 2
convicted of 8 16
conviction for 1 1
convictions in 3 1
copyright legal 5 1
copyright medianews 13 12
copyright orange 5 1
copyright the 3 1
corrections and 1 1
could avoid 1 1
could be 4 17
could do 1 2
could not 3 8
could only 1 1
could take 1 2
country for 1 1
county district 5 11
county from 1 22
county has 1 12
county police 1 1
county register 10 2
county s 2 11
county sheriff 19 22
course of 2 9
court and 2 5
court for 1 2
court in 1 5
court judge 3 2
court of 5 10
court on 2 2
court ordered 1 2
court rejected 1 4
court s 2 27
court struck 2 2
court system 1 2
court the 3 1
court to 1 3
court which 1 1
court will 2 1
courts are 1 2
courts that 1 1
crack down 2 1
creating a 2 2
creation of 1 2
credited the 1 1
credited with 1 1
crime and 6 11
crime are 1 1
crime as 2 2
crime at 1 2
crime but 1 14
crime by 3 8
crime data 2 20
crime for 1 2
crime has 2 3
crime in 11 21
crime is 6 14
crime lab 1 1
crime of 2 3
crime or 2 4
crime prevention 3 4
crime rate 1 6
crime rates 1 7
crime scene 5 5
crime scenes 1 1
crime statistics 1 2
crime task 1 1
crime the 3 3
crime to 2 5
crime was 5 1
crime while 2 1
crime would 1 1
crimes and 6 3
crimes are 3 4
crimes from 1 1
crimes in 2 1
crimes or 1 2
crimes such 3 1
crimes that 1 2
crimes the 2 3
crimes were 1 1
criminal activity 1 50
criminal cases 4 4
criminal conduct 1 5
criminal defense 11 4
criminal history 1 7
criminal justice 6 49
criminal law 3 15
criticism of 1 1
culminated in 1 1
current law 1 1
custody and 1 2
d a 2 1
d c 1 8
d love 2 1
daily basis 1 1
daily lives 1 2
daily news 1 5
danger of 1 3
dangerous to 1 1
data and 1 19
data driven 1 8
data from 1 11
data is 1 21
date august 7 2
date december 444 1
date february 2 1
date june 5 2
date march 4 11
david j 6 1
day the 1 1
day when 1 1
days of 1 2
deal with 5 11
dealing with 1 5
deals with 1 3
dealt with 2 1
death in 2 1
death penalty 1 4
death row 1 4
decades ago 1 1
decades of 1 2
decades the 1 1
december friday 1 1
december language 6 1
deciding that 1 1
decision by 1 1
decision that 1 1
decline in 2 3
declined to 1 1
defendant is 1 1
defendant was 1 1
defense attorney 6 2
defense attorneys 2 2
degree in 6 11
department and 5 15
department has 1 11
department in 1 11
department of 10 13
department s 7 33
department to 1 14
department was 1 11
department we 1 11
departments as 1 11
depending on 2 1
deputies and 2 11
deputy commissioner 1 2
derived from 1 4
described the 1 3
designed by 1 1
designed to 2 9
details on 1 1
determine the 1 5
determine whether 1 8
develop a 1 3
develop and 1 2
developing a 1 1
development of 1 6
device to 1 1
did not 6 25
different legal 1 2
difficulty in 1 1
directly to 1 6
director of 4 13
discovered the 2 1
discuss the 1 1
disguising their 1 1
distribution of 4 6
district attorney 13 12
district court 1 6
district of 4 3
dna evidence 1 2
do not 5 37
do you 2 2
document type 5 1
documents copyright 450 5
documents legal 5 1
documents orange 5 1
documents pasadena 11 4
documents san 2 3
documents the 13 1
does not 1 56
doesn t 2 5
domestic violence 8 187
dominate the 1 2
don t 7 20
donald p 8 1
done the 1 1
down a 2 1
down on 2 3
down the 2 5
driven policing 1 6
drop in 1 3
drops in 1 1
drug dealing 6 3
drug related 1 1
drug sniffing 1 4
drug trafficking 3 1
due to 2 16
during a 3 4
during his 1 2
during the 13 18
each of 2 1
each person 1 1
each year 4 1
early s 5 5
east los 2 11
effects of 1 6
either the 1 2
eleven years 1 1
elizabeth m 4 2
employed by 1 1
employment history 1 1
end of 2 3
enforcement agencies 2 10
enforcement agency 3 35
enforcement officials 1 2
enforcement the 1 1
enforcement to 1 5
engage in 5 7
engaged in 2 4
english document 5 1
english graphic 1 1
english publication 43 15
ensure the 3 2
entered the 2 1
established a 1 1
even a 1 2
even if 1 18
even in 1 18
even more 1 2
even when 1 5
every year 2 1
everything we 1 2
evidence in 1 1
evidence that 1 15
evidence to 1 2
examination and 1 1
examine these 1 1
executive chairman 1 1
executive director 5 11
executive officer 1 1
expansion of 1 3
expect that 1 2
expected to 6 1
experience in 4 3
experience to 1 5
face of 1 2
faces of 1 2
fact that 2 11
failed to 2 4
fall of 2 1
families and 1 2
family and 1 2
family in 2 1
family law 2 3
family members 1 4
family the 2 1
far from 2 1
far in 1 1
fast food 1 1
fbi and 2 12
fbi as 1 1
fbi s 4 2
february language 2 1
february tuesday 1 1
federal and 6 2
federal indictment 2 11
federal law 2 4
federal prison 1 3
field of 2 3
fight for 1 3
filed a 2 3
find a 1 2
find the 2 4
fined for 1 1
first time 1 3
five years 3 8
flight from 1 2
focus of 1 2
focus on 4 6
focused on 2 6
follow the 1 3
followed a 3 1
following a 2 1
following the 1 1
for a 14 61
for all 1 4
for and 1 1
for another 1 7
for any 1 3
for assault 1 2
for at 2 1
for children 3 1
for criminal 1 4
for drug 3 3
for fourth 1 5
for further 1 4
for help 1 1
for her 2 6
for herself 1 2
for his 5 4
for in 1 2
for it 2 1
for its 2 4
for law 1 8
for more 11 4
for one 1 5
for police 1 5
for sentencing 1 1
for special 1 1
for the 36 106
for their 1 11
for this 1 6
for those 2 5
for two 3 1
for various 1 12
for victims 1 3
for years 4 1
form of 2 11
former chief 1 11
former sheriff 6 11
forms of 1 2
forward to 2 2
found a 2 3
found in 2 4
found to 1 2
foundation of 10 3
founder of 1 2
four years 2 24
free and 1 1
freedom and 1 1
freedom of 1 20
freedom to 1 2
from a 7 29
from being 1 4
from committing 1 1
from his 4 7
from its 2 2
from jail 1 1
from prison 1 3
from probation 1 1
from several 1 1
from that 1 1
from the 24 115
from their 1 4
from to 3 2
front lines 1 1
front of 1 1
full time 1 1
further investigation 1 7
g w 1 2
gabriel valley 6 3
gang members 5 1
gang related 3 1
gang unit 1 1
gangs and 2 1
gave a 1 1
generation of 1 1
get a 2 2
get the 1 2
given that 1 1
given the 1 9
given to 1 2
go to 3 4
goal of 1 3
going into 2 2
going to 5 21
got to 1 1
government has 1 4
government of 2 3
government s 1 36
grand jury 3 2
grants and 1 1
greg risling 1 1
group inc 27 23
group of 1 2
had a 3 17
had been 7 20
had his 1 1
had lived 1 1
had no 2 2
had not 1 2
had provided 1 1
had some 1 1
had the 4 3
half of 2 13
hard to 1 1
has a 4 12
has also 2 6
has an 1 5
has become 1 2
has been 22 68
has changed 1 2
has committed 1 3
has decreased 1 1
has earned 1 1
has ended 1 1
has established 1 1
has extended 1 1
has gone 2 2
has helped 2 1
has increased 1 2
has made 2 3
has not 2 2
has received 2 2
has said 1 1
has seen 3 1
has some 1 1
has the 4 42
has to 2 4
has worked 3 1
hasn t 1 2
have a 6 19
have already 2 4
have an 1 3
have become 1 3
have been 8 29
have prompted 1 1
have recently 1 1
have suffered 2 1
have the 2 11
have their 2 1
have to 5 18
haven t 4 11
he added 1 37
he also 1 1
he could 1 2
he did 1 4
he had 1 5
he has 7 11
he hasn 1 1
he is 5 11
he lives 1 1
he ll 1 2
he made 1 1
he may 1 2
he recalled 1 1
he returns 1 1
he s 5 2
he said 14 56
he should 1 11
he was 21 15
he will 2 3
he won 1 1
he would 2 5
headed by 1 2
headlines in 1 1
health and 1 3
health care 1 7
hearing in 3 1
hearing on 1 1
held on 2 1
help of 1 2
help police 1 4
help them 1 2
helping to 3 3
her is 1 1
high profile 1 1
high rise 1 1
high tech 1 4
higher than 1 1
highlight the 1 1
him briefly 1 1
him to 2 5
his arrest 3 2
his attack 1 1
his career 3 11
his employment 1 1
his job 1 1
his office 1 1
his own 2 11
his second 1 1
his weapon 1 1
his wife 1 3
history and 1 2
hit by 1 1
home against 1 1
home and 1 1
home for 1 1
home in 2 3
home on 1 1
home or 1 4
home the 2 1
homeland security 3 16
homes and 1 1
homicides are 1 1
hours before 2 2
house and 1 1
house of 1 1
housing project 1 1
how and 1 1
how their 1 2
how to 2 7
http www 9 162
hundreds of 1 3
i am 5 3
i and 1 3
i believe 1 23
i can 6 2
i d 1 11
i do 1 1
i don 3 14
i feel 1 2
i get 1 2
i have 1 23
i know 2 3
i m 5 16
i think 3 19
i ve 4 15
i would 3 1
idea of 1 2
identification and 1 7
identified the 1 3
identifying and 1 1
identity and 1 1
if an 1 5
if it 2 4
if the 2 32
if there 3 7
if they 1 6
if you 2 2
image of 1 2
images of 1 4
impact on 1 2
importance of 1 6
important that 1 1
important to 1 4
imprisoned for 1 1
in a 31 154
in accordance 1 2
in addition 5 12
in after 1 1
in america 1 5
in an 14 17
in and 7 23
in any 2 2
in april 9 1
in as 2 1
in august 2 1
in back 1 11
in boston 1 1
in both 1 5
in california 2 4
in car 1 1
in case 3 2
in charge 7 11
in connection 3 1
in court 3 6
in crime 6 2
in criminal 1 13
in custody 5 1
in cyberspace 1 2
in danger 1 2
in developing 1 1
in different 1 2
in early 1 1
in either 1 1
in every 1 5
in february 3 1
in federal 3 2
in first 1 1
in for 1 2
in front 1 1
in half 1 1
in her 1 8
in his 3 21
in identifying 1 1
in in 2 2
in it 1 2
in its 2 9
in jail 2 14
in january 1 5
in june 1 1
in lieu 1 1
in los 38 4
in may 1 1
in mind 1 2
in more 2 12
in most 1 2
in mr 2 1
in national 1 1
in new 1 14
in november 1 1
in oakland 2 2
in on 1 2
in order 3 9
in other 2 9
in our 1 11
in person 1 1
in plain 2 2
in possession 2 2
in prison 7 3
in progress 2 11
in pursuing 1 1
in recent 1 5
in reducing 1 1
in relation 1 1
in response 2 9
in santa 4 1
in terms 2 6
in that 2 4
in the 134 523
in their 4 22
in this 11 18
in those 2 1
in three 1 2
in to 2 3
in two 4 3
in various 2 2
in washington 2 1
in which 2 53
inc all 475 12
inc and 13 10
incident or 1 2
incident which 1 1
incidents and 1 3
incidents of 2 3
include the 1 9
included a 2 1
includes the 1 1
including a 2 1
including domestic 1 2
including the 6 6
increase in 3 5
increased the 1 1
individual and 1 3
individual or 1 2
influence of 1 1
information about 4 20
information and 2 14
information is 3 7
information officer 1 1
information or 1 1
information provided 1 2
information system 450 2
information that 1 18
innocent people 1 1
inside the 2 3
inspector general 3 1
intend to 1 1
intent to 1 1
interested in 1 3
interests and 1 2
interfere with 1 1
intersection of 1 4
into a 3 19
into the 11 26
into this 1 2
investigation and 1 2
investigation into 4 1
investigation the 4 1
investigations and 1 2
investigations for 1 1
involved in 3 17
involving the 1 6
is a 12 88
is about 1 4
is accused 1 1
is also 2 17
is an 3 27
is at 1 8
is available 1 1
is beginning 1 1
is being 3 9
is best 1 3
is comprised 1 1
is connected 1 1
is considered 4 1
is expected 2 1
is far 2 1
is going 1 2
is great 2 1
is his 1 1
is investigating 1 1
is leading 1 1
is like 1 3
is linked 1 1
is made 4 1
is making 2 1
is much 2 3
is no 1 20
is not 8 73
is now 2 4
is one 4 1
is only 1 11
is part 1 2
is quite 1 3
is seen 1 1
is so 1 1
is some 1 2
is subject 1 1
is that 2 17
is the 11 50
is to 5 17
is too 1 11
is used 1 6
is very 2 2
is whether 1 3
is working 1 3
issue are 2 1
issued a 2 2
issues in 1 3
issues that 3 12
issues we 1 2
issues with 1 4
it a 1 3
it also 2 14
it any 1 1
it can 1 6
it comes 2 8
it could 2 2
it deals 1 2
it does 1 6
it easier 1 1
it going 1 2
it has 5 13
it is 12 66
it s 19 38
it said 2 1
it takes 1 1
it was 10 22
it when 2 1
it will 6 10
it with 1 1
it works 2 11
it would 1 9
its crime 1 1
its current 1 3
jackie lacey 3 11
jail for 1 1
jail time 1 1
january the 2 2
january to 1 1
john w 4 1
joined by 1 2
joined the 1 2
journal code 9 1
judge and 6 1
judge the 1 1
june at 2 4
june in 1 1
june language 5 2
just over 1 1
justice and 1 2
justice gov 1 1
justice professionals 1 1
justice system 3 31
kevin j 2 1
know how 1 1
know the 1 2
know whether 1 2
knowledge of 2 6
known as 9 6
known for 2 11
known to 1 3
l a 24 9
labor statistics 1 1
lack of 2 9
language english 50 17
lapd s 2 1
largely out 1 2
lasd as 2 11
last month 2 2
last two 1 1
last updated 450 1
last week 5 2
last weekend 1 1
last year 5 12
later in 2 1
law and 1 18
law at 1 2
law enforcement 10 153
law in 1 6
law is 1 1
law it 1 1
law that 1 2
law the 3 2
lawyer and 1 1
lawyer in 4 2
lawyer is 1 1
lawyer the 1 1
lawyer to 1 3
lawyers to 1 3
lawyers who 1 1
lead in 1 1
lead to 1 12
least one 1 1
least three 2 3
led the 1 1
legal monitor 13 3
length words 50 22
lessons for 1 2
level of 1 16
license plate 1 13
lieu of 1 1
life in 1 5
like a 1 17
like many 1 1
like this 2 1
likely to 1 39
limited all 7 1
line of 2 4
linked to 4 4
listening to 1 1
little to 1 2
live in 1 2
lives on 2 11
living in 1 2
load date 500 17
local agencies 3 1
local law 3 3
local pg 4 1
local police 1 2
long after 1 2
long beach 10 11
look at 3 7
looking at 1 2
looking for 2 2
looking forward 1 1
los angeles 1608 142
lost the 1 1
lot of 1 3
ltd all 1 1
luther king 1 1
m a 2 1
made a 1 5
made an 1 1
made the 1 1
majority of 1 20
make a 1 17
make illegal 1 1
make it 1 7
make the 4 3
make their 1 1
makes the 1 2
man accused 1 1
man and 3 1
many of 7 8
many other 3 4
many people 1 1
many police 1 2
march friday 1 4
march language 4 11
march saturday 1 4
martin luther 1 1
master s 4 11
match the 1 2
matter into 1 1
may be 3 49
may commit 1 1
may find 1 2
may have 3 30
may not 1 18
me to 2 1
me today 1 1
meaning that 1 1
measures used 1 1
media group 1 1
media inc 1 2
medianews group 13 12
members and 1 2
members of 9 19
members or 1 2
members to 1 5
men in 3 1
mental health 1 12
mental illness 1 11
mentally ill 1 11
message to 1 2
michael a 2 1
might be 1 10
might require 1 2
million in 1 1
mind that 1 1
minor offenses 1 2
model for 2 2
monitor worldwide 13 3
month period 1 1
more about 2 2
more effective 1 2
more for 1 1
more information 4 1
more serious 3 2
more than 25 73
morning the 1 1
most of 3 16
most recent 2 5
moved to 1 1
moving out 2 1
mr bratton 5 25
much as 1 4
much more 1 3
much of 1 5
much safer 2 1
murders in 1 1
name is 1 1
name of 1 2
name to 1 2
named in 6 1
narcotics arrest 1 1
narcotics trafficking 1 4
nation s 1 2
national center 4 1
nature of 1 13
near the 1 1
need for 1 5
need not 1 4
need to 5 37
needed a 1 1
needed to 1 15
needs to 1 4
nelson s 1 2
network and 1 1
network in 1 1
new england 1 4
new mexico 1 2
new york 10 78
news california 11 7
news length 14 13
news local 1 1
news release 4 1
news reported 1 1
newspaper copyright 36 16
newspaper group 13 10
newspaper journal 9 1
newspapers and 1 1
next to 1 2
no crime 2 1
no evidence 1 1
no longer 2 9
none of 1 1
not a 1 13
not an 1 3
not be 3 18
not been 3 5
not currently 1 1
not in 1 9
not just 1 9
not know 2 3
not on 1 1
not only 3 20
not sure 2 1
not to 2 16
not very 1 1
not want 2 10
notion that 1 4
now being 1 1
now i 2 1
number of 11 39
oakland s 3 1
obtain a 1 1
occurred in 2 3
of a 27 188
of action 1 5
of all 3 5
of an 1 34
of anonymity 1 15
of anti 1 1
of any 3 5
of appeals 2 3
of aug 1 1
of being 1 17
of blood 1 1
of business 1 2
of california 3 4
of cases 2 4
of child 6 1
of children 5 1
of citizens 1 3
of columbia 1 1
of crime 2 36
of crimes 1 9
of criminal 10 33
of current 1 3
of data 1 41
of death 2 2
of documents 500 23
of experience 2 2
of family 1 1
of fbi 1 1
of federal 4 4
of first 2 5
of four 1 1
of his 6 26
of home 1 1
of homicide 1 1
of how 1 4
of in 1 2
of incidents 1 3
of june 1 3
of justice 1 44
of l 1 2
of labor 1 2
of law 4 38
of legal 1 5
of life 1 2
of los 27 1
of major 1 1
of many 1 3
of may 1 1
of misdemeanor 1 1
of more 4 4
of multiple 1 1
of my 1 2
of narcotics 1 4
of nearly 1 2
of new 5 22
of not 1 2
of oakland 1 2
of officers 1 3
of others 3 2
of our 3 16
of over 1 1
of people 2 6
of police 4 22
of possession 1 1
of probation 1 1
of property 1 3
of robbery 1 4
of santa 3 1
of science 2 1
of sending 1 1
of serious 1 1
of services 1 4
of sexual 1 2
of situations 1 2
of something 1 2
of street 1 2
of students 1 1
of such 2 10
of supervisors 1 11
of technology 1 5
of the 121 651
of their 4 27
of these 1 34
of this 4 24
of those 10 28
of three 2 5
of two 2 13
of urban 1 1
of various 1 1
of victims 2 5
of violent 1 1
of what 5 9
of which 4 8
of years 4 1
off the 2 1
offenders for 1 2
offenders who 1 1
offenses and 2 1
offenses is 1 2
office and 2 11
office is 3 2
office of 1 8
officer and 1 1
officer in 1 3
officer s 1 31
officer was 1 3
officers from 4 2
officers on 1 2
officers under 1 1
officers who 2 1
officers with 1 5
officials and 2 2
