of documents 1 of 1
high rate of 1 2
high rates of 1 2
his home in 2 1
his son s 1 1
homicides in the 1 2
how law enforcement 1 1
how to deal 1 1
html load date 1 2
http www nytimes 1 40
i didn t 1 6
i don t 1 5
i think there 2 3
i ve been 2 2
if there s 1 1
if they were 1 1
if we are 1 2
if you don 2 1
image of a 1 1
impact on law 1 1
important to the 1 3
in a coordinated 1 1
in a hit 1 2
in a new 1 4
in a police 1 2
in addition the 1 1
in addition to 4 10
in aggravated assaults 2 1
in an email 1 3
in an environment 1 1
in an interview 4 2
in areas where 1 1
in collaboration with 2 2
in connection with 1 2
in crime and 2 2
in crime as 1 1
in crime in 3 3
in crime the 1 1
in excess of 1 2
in federal court 1 10
in his annual 2 1
in in the 1 2
in l a 2 2
in law enforcement 3 9
in los angeles 41 26
in more than 3 4
in new york 1 80
in of the 1 1
in one of 1 2
in order to 1 64
in other jurisdictions 1 4
in other words 1 36
in our communities 2 3
in part because 1 4
in place to 2 1
in prison on 1 2
in property crime 3 2
in recent years 4 10
in response to 2 8
in san francisco 1 2
in some of 1 4
in south los 1 2
in the aftermath 2 1
in the area 2 5
in the areas 1 1
in the back 1 2
in the big 1 1
in the building 1 1
in the case 1 21
in the city 7 18
in the community 1 6
in the country 5 3
in the crime 1 2
in the drug 1 5
in the early 1 7
in the fall 1 1
in the first 5 19
in the introduction 1 1
in the investigation 1 2
in the last 2 8
in the los 2 3
in the nation 3 2
in the nature 1 1
in the neighborhood 1 2
in the next 1 5
in the number 2 3
in the online 1 1
in the privacy 1 3
in the process 1 3
in the same 2 19
in the state 1 3
in the u 2 20
in the ultimate 2 1
in the united 3 34
in the wake 1 12
in the west 1 2
in the world 1 4
in there were 1 3
in this city 1 1
in to in 1 5
in touch with 1 1
in united states 1 4
in violent crime 10 3
in violent crimes 1 1
in washington d 1 4
in which police 2 4
inc all rights 475 2
inc and ang 1 1
incident to the 1 1
incidents in the 1 1
include not only 1 1
increase in crime 1 2
increased accuracy of 2 1
increased by about 1 1
indicating that the 1 2
indicator of the 1 1
information about the 4 8
information on the 1 1
information to police 2 1
interest in the 1 1
investigate whether the 2 1
investigated by the 1 1
investigation by the 1 2
involved in a 1 5
is a concern 1 1
is a good 1 6
is a lot 1 1
is accused of 1 1
is armed with 2 1
is currently in 1 2
is expected to 1 1
is focused on 1 2
is if the 1 2
is important to 1 2
is in a 1 1
is in the 2 5
is little they 1 2
is nothing more 1 1
is on the 1 5
is one of 2 7
is the officer 1 1
is the result 1 1
is to provide 1 1
is to reach 1 1
issue on the 1 1
it and it 2 1
it could have 1 1
it doesn t 1 10
it down to 1 3
it is a 1 25
it is also 1 9
it is the 1 15
it is unclear 1 1
it reduced the 3 1
it s more 1 1
it s still 1 1
it s the 2 4
it to other 1 1
it would be 1 16
itself in the 1 1
johnson said in 1 1
journal code bu 1 1
journal code copyright 1 1
july language english 4 1
june language english 4 5
killed by a 1 1
know about the 1 2
known to the 1 2
l a area 1 2
l a county 4 2
l a is 1 1
l a times 1 16
language english acc 1 2
language english document 1 4
language english graphic 3 5
language english publication 35 18
lapd chief charlie 4 1
lapd los angeles 1 2
large amounts of 1 8
last five years 1 2
last month that 1 1
last year a 1 2
last year the 1 3
last year to 3 1
late edition final 1 2
law enforcement a 1 1
law enforcement agencies 4 39
law enforcement authorities 1 1
law enforcement have 3 1
law enforcement in 1 7
law enforcement is 1 10
law enforcement officials 1 9
law enforcement to 1 24
law enforcement will 1 1
lead to the 2 1
leader glendale calif 3 3
leader glendale california 1 1
leader of documents 1 1
led to a 2 5
length words dateline 3 6
length words los 7 2
length words new 1 1
length words the 3 2
less than a 3 6
less than percent 2 4
license plate number 1 1
likely to kill 1 1
limited all rights 1 8
linked to the 2 2
little they can 1 2
lived on the 1 1
llc load date 1 2
load date april 5 3
load date august 3 2
load date december 276 1
load date july 4 1
load date june 5 5
load date november 4 1
load date october 3 4
load date september 1 4
local law enforcement 5 14
long history of 1 3
long investigation by 1 1
looking at the 1 1
los angeles a 5 2
los angeles and 4 7
los angeles as 1 1
los angeles ca 460 1
los angeles county 954 5
los angeles has 2 1
los angeles international 2 2
los angeles is 3 3
los angeles length 1 1
los angeles police 39 36
los angeles river 1 1
los angeles s 1 1
los angeles that 3 2
los angeles the 3 4
los angeles this 1 1
los angeles times 10 1
los angeles to 2 3
los angeles will 1 2
louis post dispatch 2 4
ltd all rights 2 6
made mistakes in 1 2
major role in 1 1
make up the 1 1
man dies after 1 1
many in law 3 1
many of them 1 4
may be a 1 3
may not know 1 1
mayor de blasio 2 1
media solutions private 1 5
medianews group inc 12 1
member of the 1 3
members of the 9 10
men and women 2 1
misconduct in the 1 1
months of this 1 1
more difficult to 1 3
more difficult with 1 1
more hardened criminals 3 1
more likely to 1 58
more of a 1 5
more than a 3 18
more than in 1 2
more than one 1 1
more than people 1 3
more than years 1 1
most of our 1 1
motor vehicle theft 1 2
movement in the 1 1
much of it 1 1
much of the 1 12
murders in the 1 1
must file a 2 1
n y p 1 1
nation s largest 1 3
new information is 1 1
new police officers 1 1
new york police 1 13
new york times 2 13
news length words 12 6
newspaper copyright medianews 12 1
newspaper copyright the 5 4
newspaper copyright toronto 1 3
newspaper journal code 4 5
newspapers all rights 1 1
newspapers ltd all 1 1
newswire copyright plus 1 5
no money for 1 1
non violent crimes 1 1
not an end 1 1
not going to 2 2
not only was 1 1
november language english 4 1
now they re 1 2
number of homicides 3 1
number of officers 1 6
number of victims 1 2
numbers that make 1 1
nytimes com us 1 12
october language english 3 4
of a child 1 1
of a civil 1 1
of a crime 1 7
of a felony 3 2
of a minor 1 1
of a new 3 2
of a number 1 2
of a public 1 1
of a sudden 3 2
of a year 1 1
of being a 1 1
of bratton s 1 1
of california at 1 4
of corruption and 1 1
of crime in 2 3
of documents burbank 1 1
of documents copyright 460 11
of documents the 13 14
of documents us 1 5
of domestic violence 1 7
of everyone in 1 1
of federal funds 2 2
of force incidents 2 8
of force is 3 1
of force the 1 3
of homeland security 1 2
of homicides in 1 1
of how to 1 2
of interest in 1 1
of justice office 2 2
of l a 2 2
of law enforcement 1 28
of los angeles 27 25
of more than 1 7
of officers and 1 2
of officers walking 1 1
of people who 1 6
of santa monica 1 1
of southern california 3 3
of the biggest 1 1
of the car 1 1
of the cases 1 4
of the city 11 22
of the community 2 6
of the crime 1 17
of the department 2 9
of the goals 1 1
of the group 1 2
of the home 2 2
of the internet 1 8
of the lapd 1 3
of the last 2 4
of the los 4 5
of the more 1 3
of the most 1 16
of the opinion 1 1
of the organization 1 2
of the police 2 25
of the prison 1 1
of the public 1 9
of the rising 1 1
of the state 1 5
of the task 1 1
of the united 1 6
of the victims 1 2
of the violent 1 3
of the work 1 2
of the year 2 5
of their investigation 1 2
of this year 3 2
of those factors 1 1
of thousands of 1 7
of trying to 1 2
of up to 1 2
of use of 3 3
of violent crime 3 4
of what we 1 2
of which are 1 3
of which have 1 1
of which were 1 3
of year old 1 1
off the streets 1 4
officer of the 1 2
officer on the 2 2
officers and the 1 4
officers assigned to 1 2
officers at the 1 2
officers use of 1 2
official news april 1 2
on a number 1 2
on charges of 1 1
on he said 1 1
on law enforcement 1 7
on par with 1 2
on suspicion of 3 2
on the case 1 1
on the city 1 3
on the cusp 2 4
on the floor 1 1
on the ground 1 12
on the lapd 1 1
on the los 1 2
on the new 2 4
on the police 2 2
on the public 1 1
on the rise 1 1
on the side 1 2
on the street 6 15
on the use 1 2
on the west 1 4
on why the 1 1
one of a 1 1
one of his 1 2
one of the 5 63
one of them 1 4
operation of a 1 1
or any other 1 1
or if the 1 1
or whether they 1 2
out of prison 3 1
out of the 4 9
out to the 1 1
over the last 2 10
over the past 1 9
over to the 1 2
overall crime rate 1 1
overall reduction in 1 1
overall violent crime 1 1
part of a 1 27
part of an 1 3
part of the 2 34
participate in a 1 1
partnership with the 1 1
people don t 1 2
people were killed 1 1
people who are 1 9
people who have 1 4
people who were 1 1
percent between and 2 1
percent drop in 7 1
percent increase in 7 1
percent last year 2 1
percent of all 1 4
percent of the 4 6
percent so far 1 1
person who could 1 1
pg a length 1 3
pg length words 16 6
place at the 1 3
place in the 2 1
played a significant 3 1
pleaded guilty to 2 2
plus media solutions 1 5
pointed to the 1 1
police and the 1 12
police as a 1 1
police chief charlie 2 1
police commissioner ray 1 2
police department and 2 3
police department in 1 2
police department is 1 6
police department s 1 15
police department said 2 1
police department the 1 2
police departments across 1 5
police executive research 1 2
police have a 2 2
police homicide unit 1 1
police in other 1 1
police officer is 1 2
police officers and 1 26
police officers will 2 2
police use of 1 17
police went to 1 1
policing in the 1 9
possession of a 2 1
possibility that the 1 1
precursor to the 2 1
predict and prevent 1 5
president of the 2 1
prison sentence for 1 1
private limited all 1 5
program to help 1 1
property and violent 2 1
property crimes with 1 1
prove to be 1 1
provided by syndigate 1 1
providing information about 1 1
public safety is 1 2
publication type newspaper 38 24
publication type newswire 1 5
quality of life 1 11
question of how 1 1
questions about how 1 3
rate in the 1 3
rather than a 1 10
re coming after 1 2
re going to 2 3
reach out to 3 3
recent years the 1 1
reduction in crime 1 1
regional news length 1 2
related to a 1 1
related to the 1 7
reported by the 1 1
reported that the 1 1
reserved of documents 37 22
residents of the 1 1
response to the 2 7
result in a 1 6
result in the 2 3
result of a 2 1
resulted in a 1 8
review of the 1 7
rights reserved of 37 22
role in that 1 1
role in the 3 5
s an incredible 1 1
s department and 1 1
s department said 2 1
s efforts to 2 1
s in the 1 1
s office the 2 1
s office to 2 2
s streets he 1 1
s to the 1 2
said he added 1 1
said he took 1 1
said in a 11 2
said it s 1 2
said los angeles 3 1
said of the 1 1
said that it 2 1
said the department 3 1
said they re 1 1
said they were 1 3
said this is 1 1
same period of 1 1
same time period 1 1
san fernando valley 3 3
section news length 10 2
section state and 1 2
seen in a 1 1
seen in the 1 2
seen in this 1 1
send a message 1 1
sentenced to years 1 2
september language english 1 4
series of incidents 2 1
set up a 1 2
sexual assault and 1 1
she has a 1 1
she would be 1 1
sheriff jim mcdonnell 7 1
sheriff s department 18 5
sheriff s office 1 3
shooting of a 1 1
showed a reduction 1 1
showed that the 1 4
side of the 2 4
significant increase in 2 1
significant role in 8 1
since then the 1 2
six months of 2 1
slight uptick in 1 1
small amounts of 3 1
so far in 1 1
so far this 6 2
solely on the 1 4
solutions private limited 1 5
solve the problem 1 1
some of the 3 26
some people who 1 1
south los angeles 1 2
special agent in 1 1
spike in crime 3 1
spike in violent 1 1
spokesman for the 3 1
st louis post 2 4
staff writer section 1 1
star newspapers ltd 1 1
state and local 1 14
state and regional 1 2
state of the 8 2
states department of 2 2
states district court 1 2
stay out of 1 2
struck by gunfire 1 1
suburb of los 1 1
surveillance in the 1 2
suspects in the 1 1
syndigate media inc 1 1
system has been 2 1
t want to 1 6
take advantage of 1 3
take many forms 1 1
take place in 1 1
take the lead 1 1
taken into custody 3 2
task force on 1 8
teamed up with 1 2
tens of thousands 1 3
than a decade 3 3
than a year 3 3
than ever before 2 3
than percent of 2 5
that are being 1 1
that could have 1 3
that didn t 1 1
that have been 4 6
that he has 2 2
that his client 1 1
that i would 2 1
that is so 1 1
that it is 1 24
that it was 2 2
that lead to 1 2
that leads to 1 1
that led to 1 3
that of all 1 3
that prosecutors have 1 1
that result in 2 2
that s a 1 2
that s not 2 4
that s where 1 8
that s why 1 6
that she is 1 2
that some people 1 1
that sort of 1 1
that the agency 1 2
that the federal 1 2
that the nypd 1 12
that the police 2 24
that the use 1 4
that there is 1 16
that there were 1 2
that they have 2 4
that this is 2 6
that will be 2 3
the absence of 1 25
the aftermath of 3 2
the amount of 1 18
the approval of 1 3
the associated press 7 2
the author of 2 1
the beginning of 1 4
the board of 2 2
the board s 1 1
the body of 1 1
the burbank leader 2 3
the business of 1 1
the case and 1 3
the case was 1 5
the change in 1 1
the charges against 1 1
the chicago police 1 19
the city as 1 1
the city council 5 3
the city for 1 1
the city has 1 3
the city of 3 18
the city s 15 34
the city the 4 4
the city to 1 1
the community and 1 3
the community policing 2 2
the country and 1 2
the country in 2 1
the county s 2 3
the creation of 3 3
the crime in 1 1
the crime scene 1 4
the current administration 1 1
the cusp of 2 4
the department according 1 1
the department and 1 3
the department of 1 18
the department on 1 1
the department s 7 15
the department will 1 1
the drop in 1 2
the early s 1 11
the east side 2 2
the enactment of 1 1
the end of 2 14
the exact same 2 1
the executive director 1 1
the fbi s 6 5
the federal government 1 15
the first half 4 1
the goals of 1 4
the ground as 1 1
the human rights 1 2
the idea for 1 1
the incident to 1 1
the incident was 1 1
the incident which 1 1
the increase in 3 3
the influence of 1 9
the intent to 4 1
the intersection of 1 3
the investigation and 1 1
the job of 1 1
the l a 6 3
the lapd is 2 1
the lapd s 4 2
the lapd said 1 1
the largest increase 1 1
the last decade 1 3
the last five 1 1
the last year 3 2
the last years 1 2
the law enforcement 1 8
the location in 1 1
the los angeles 56 31
the man who 1 2
the mayor s 5 2
the nation s 4 11
the national average 1 2
the nature of 1 10
the need to 1 16
the needs of 1 4
the neighborhood where 1 1
the new york 4 42
the next one 1 1
the number of 8 31
the nypd is 1 1
the nypd s 1 27
the office of 1 4
the opportunities that 1 1
the overall crime 1 1
the passage of 3 2
the past three 1 3
the people who 1 6
the police as 1 3
the police can 1 4
the police commission 2 2
the police department 1 16
the police have 1 17
the police in 1 7
the police see 1 1
the police that 1 3
the police union 1 1
the possibility that 1 6
the problems that 1 1
the process of 1 9
the prosecution of 1 1
the protection of 1 2
the public s 6 1
the ranks of 2 1
the reason they 1 1
the responsibility of 1 1
the result of 1 8
the result so 2 1
the rise in 4 1
the rules of 1 5
the s the 1 4
the same time 2 16
the san fernando 2 3
the scene of 2 1
the sheriff s 5 2
the shooting of 1 1
the side of 1 2
the situation to 2 1
the so called 1 9
the state of 2 12
the state s 3 6
the state to 1 2
the street for 1 1
the suspect and 1 2
the suspect is 2 10
the suspect s 1 12
the suspects were 1 1
the target of 1 2
the things that 1 1
the threat of 3 4
the time he 1 1
the tip of 1 1
the two were 1 1
the u s 4 64
the united states 7 62
the university of 1 26
the use of 2 86
the victim s 1 2
the victim was 2 1
the victims of 2 2
the violent crime 1 3
the wake of 1 12
the walls of 1 1
the west side 1 2
the white house 1 4
the world that 1 1
the year after 1 2
the year old 5 3
the years and 1 1
theft and grand 1 1
their use of 1 2
them to a 2 1
there are many 1 5
there are more 1 4
there are some 1 5
there have been 1 5
there is a 1 32
there is little 1 8
there is nothing 1 2
there s a 1 13
there s been 1 3
there s no 2 1
there was little 1 1
there were homicides 1 2
these kinds of 1 2
they are the 1 4
they can be 1 6
they can do 1 2
they continue to 2 2
they re not 4 2
they were in 1 1
they were not 1 2
things such as 1 1
think there s 1 3
this article or 1 5
this city has 1 1
this is a 4 17
this is an 2 4
this is not 1 14
this kind of 1 5
this year the 3 1
this year to 2 1
those charged with 1 1
those who have 3 3
thousands of new 1 1
threat of a 3 2
three months in 1 1
throughout the city 1 1
throughout the country 1 1
time in the 1 2
time the police 1 2
times company of 1 2
tip of the 1 1
to a call 1 3
to a police 1 1
to an increase 1 3
to appear at 2 1
to arrest the 1 2
to assist in 1 2
to be a 1 22
to be in 1 8
to be the 2 12
to bring the 2 2
to come out 2 1
to comment on 1 4
to commit crimes 2 9
to continue to 1 4
to court records 1 2
to deal with 5 5
to escape from 1 2
to establish a 2 2
to fight the 1 1
to find a 1 6
to four years 1 2
to get the 1 3
to have a 1 11
to have been 1 1
to have their 2 1
to have to 1 1
to help them 1 1
to hire more 1 1
to investigate whether 2 1
to know who 1 2
to law enforcement 1 38
to live in 1 4
to los angeles 5 2
to make it 2 4
to meet the 1 5
to move away 1 1
to participate in 1 2
to pay for 2 1
to police and 2 3
to police the 1 1
to predict and 1 5
to provide a 1 5
to reach out 3 3
to report the 1 3
to report to 2 4
to reveal the 1 4
to review the 1 2
to say that 1 17
to seek the 1 3
to sell the 1 1
to support his 1 3
to the board 2 1
to the chicago 1 1
to the city 6 6
to the crime 2 1
to the department 1 9
to the fbi 1 1
to the human 1 1
to the l 1 2
to the lapd 1 1
to the los 3 1
to the mayor 2 1
to the national 1 1
to the police 1 21
to the president 1 2
to the public 2 9
to the two 1 1
to the u 1 4
to them the 1 2
to this article 1 3
to work with 1 2
to years in 2 1
too early to 1 1
took place in 2 3
toronto star newspapers 1 3
treated as a 1 1
treatment does not 2 1
tribune content agency 2 4
trust between police 1 1
two examples of 1 1
two of which 1 1
two or three 1 1
type newspaper copyright 33 19
type newspaper journal 4 5
type newswire copyright 1 5
u s attorney 1 4
u s cities 1 6
u s city 2 2
u s district 1 1
u s in 1 3
under the current 1 6
united states department 2 3
united states district 1 2
united states government 1 1
united states in 1 3
university of california 1 15
up in the 1 5
up we re 1 1
up with the 1 9
uptick in violent 1 1
url http www 2 2
us official news 1 5
use is a 3 2
use of force 16 70
uses of force 1 6
vehicle theft and 1 2
very well may 1 1
victims in the 1 1
victims of crime 2 2
victims of violent 2 2
violence in the 1 3
violent crime in 4 2
violent crime rates 1 3
violent crimes the 2 1
visit the burbank 1 1
walking in a 1 1
walls of the 1 1
want to be 1 2
want to know 1 5
wanted by the 1 2
warrant to search 1 4
was arrested in 2 1
was asked to 2 1
was at the 1 1
was being used 1 1
was convicted of 2 1
was found in 2 1
was in the 1 1
was involved in 1 1
was one of 2 4
was placed in 1 1
was seen in 1 1
was sentenced in 1 1
was struck by 1 1
was the first 1 3
washington d c 2 23
we are going 1 2
we are in 1 2
we believe that 2 1
we can learn 1 1
we can t 2 2
we couldn t 1 1
we do have 1 5
we have an 1 1
we re all 1 1
we re at 1 3
we re coming 1 2
we re going 2 3
we re not 2 1
we re using 1 1
we ve had 1 1
well as in 1 1
were charged with 1 2
were killed in 1 2
were responsible for 1 3
what amounts to 1 2
what we ve 1 3
when the crime 1 1
when the fbi 1 1
when you have 1 1
where he was 1 2
where there were 1 1
whether they would 1 2
which have been 1 2
which is based 1 1
which resulted in 1 1
while he was 1 1
who aren t 2 3
who had been 1 5
who has been 2 2
who has worked 1 1
who have been 3 2
who wish to 1 2
will also be 1 2
will be in 1 1
will be prosecuted 1 1
will be the 1 5
will continue to 1 5
will expand to 1 3
will prove to 1 1
will soon be 1 2
with a warrant 1 1
with a year 2 1
with more than 1 3
with respect to 1 12
with the approval 1 3
with the community 1 2
with the intent 4 1
with the investigation 1 1
with the los 3 3
with the police 1 12
with the public 1 5
with the same 1 2
with the victim 1 1
with them and 1 1
with use of 1 1
words los angeles 7 2
work with the 1 2
worked to help 1 2
working with the 1 2
would otherwise be 1 2
would send a 1 1
www burbankleader com 1 1
www fbi gov 1 20
www nytimes com 1 41
year prison sentence 1 1
years in prison 3 3
years of age 1 3
years of crime 3 2
york police department 1 8
york times company 1 3
you can have 1 1
you don t 3 2
you want to 1 3
young people that 1 1
