of documents 1 of 1
in england and 2 8
in gang related 1 1
in its crime 1 1
in june said 1 1
in l a 2 1
in los angeles 7 8
in october that 1 1
in particular and 1 1
in property crime 1 1
in rape and 1 1
in represented an 1 1
in robbery aggravated 1 1
in robbery and 1 1
in southern california 1 2
in the case 1 1
in the city 4 9
in the country 2 1
in the drop 2 1
in the early 1 3
in the last 1 6
in the los 2 1
in the overall 1 1
in the past 1 9
in the s 1 11
in the same 1 1
in the united 1 32
in violent crimes 1 1
in was percent 1 1
in years though 1 1
inc all rights 495 4
inc and los 1 3
included a provision 1 1
incoming mayor whoever 1 1
increase for the 1 1
increase in cellphone 1 1
increase in los 1 1
increase in property 1 1
increase why don 1 1
increases in rape 1 1
instead of parole 1 1
intends to continue 1 1
is a remarkable 1 1
is no way 1 1
is not allowed 1 1
is the lowest 1 1
it and i 1 1
it and you 1 1
it can be 1 2
it he advised 1 1
it hide it 1 1
it may be 1 6
it s always 1 3
it would be 1 1
its crime suppression 1 1
its downward trend 1 1
its lowest level 1 1
its ranks swelled 1 1
january language english 4 2
january tuesday valley 1 1
jerry brown included 1 1
june said he 1 1
keep it he 1 1
keeping your property 1 1
know the consequences 1 1
l a falls 1 1
ladnvillacorte load date 1 1
language english publication 8 11
lapd in the 1 1
lapd is not 1 1
lapd recently hit 1 1
lapd would continue 1 1
laser which closely 1 1
last five years 1 1
last year it 1 2
last year s 1 1
last year there 1 1
last year were 1 1
law backed by 1 1
law to be 1 1
length words the 1 3
length words violent 1 1
level in decades 1 1
level in the 1 1
lie he added 1 1
like to have 1 1
likely to do 1 1
ll keep it 1 1
load date january 4 2
load date march 491 1
load date september 1 1
lock it hide 1 1
logarithms to predict 1 1
long term to 1 1
los angeles beck 2 1
los angeles by 1 1
los angeles fell 1 1
los angeles had 1 1
los angeles if 1 1
los angeles is 1 1
los angeles january 1 1
los angeles newspaper 1 3
los angeles police 4 19
los angeles remains 1 1
los angeles since 1 1
los angeles who 1 1
lower crime rates 1 1
lowest level in 1 1
lowest violent crime 1 1
make the city 1 1
make the continued 1 1
may be will 1 1
mayor and police 1 1
mayor antonio villaraigosa 1 1
mayor s gang 1 1
mayor whoever it 1 1
measure to boost 1 1
media all rights 1 1
medianews group inc 1 3
members of the 1 4
members so they 1 1
milestone when its 1 1
minimizing something that 1 1
monday our data 1 1
monitor ex cons 1 1
more closely taken 1 1
more officers long 1 1
more than the 1 1
most of the 1 3
most underpoliced big 1 1
new york and 1 3
new york chicago 1 1
news conference last 1 1
news length words 1 11
news of los 1 1
news pg a 1 1
newspaper copyright digital 1 1
newspaper copyright medianews 1 3
newspaper group inc 1 3
no way i 1 1
not allowed to 1 1
not in the 1 2
not seem up 1 1
noting the gang 1 1
number of officers 1 2
numbers are a 1 1
numbers down noting 1 1
numbers the declining 1 1
observation that last 1 1
occur and to 1 1
occurred he said 1 1
october that law 1 1
of america mayor 1 1
of continued violent 1 1
of documents copyright 491 1
of documents pasadena 1 2
of documents the 4 6
of growing our 1 1
of it and 1 1
of los angeles 1011 5
of officers as 1 1
of our commitment 1 1
of parole when 1 1
of percentage points 1 1
of police officers 1 5
of some of 1 1
of the city 2 16
of the criminal 1 2
of the increase 1 1
of the lapd 2 1
of the los 2 1
of the most 1 8
of the state 2 1
of thefts burglaries 1 1
office he also 1 1
officers a priority 1 1
officers as well 1 1
officers long term 1 1
offset increases in 1 1
on a percent 1 1
on probation instead 1 1
on suspicion of 2 1
on twitter at 1 1
on yourself for 1 1
one of the 3 24
only percent for 1 1
operation ceasefire which 1 1
operation laser which 1 1
originally announced i 1 1
other cities that 1 1
our commitment to 1 1
our data shows 1 1
our police department 1 1
out of a 1 4
over for a 1 1
over the last 1 1
overall crime rate 1 1
overall crimes receded 1 1
overall drop in 1 1
overall helped drive 1 1
par you re 1 1
parker was chief 1 1
parole when realignment 1 1
particular and he 1 1
partnerships with the 1 1
parts of the 1 7
pasadena star news 1 2
past and are 1 1
people who have 1 2
per capita than 1 1
percent beck however 1 1
percent drop in 2 3
percent for a 1 1
percent in the 1 1
percent increase in 1 3
percent slide from 1 1
percent the smallest 1 1
percent villaraigosa whose 1 1
percentage decline in 1 1
percentage points because 1 1
pg a length 1 1
pg length words 3 6
placed certain ex 1 1
points because of 1 1
police can monitor 1 1
police chief announced 1 1
police chief charlie 2 1
police department of 1 1
police do not 1 1
police hiring villaraigosa 1 1
police officers a 1 1
policing beck vowed 1 1
policing which uses 1 1
posted a slight 1 1
precautions to prevent 1 1
predict where crime 1 1
predicted property crime 1 1
predictive policing which 1 3
prevent their various 1 1
priority he said 1 1
probation instead of 1 1
property crime reversed 1 1
property crime to 1 1
property crime would 1 1
property crimes in 1 1
property crimes increase 1 1
property safe if 1 1
proposed ballot measure 1 1
provision that placed 1 1
public to take 1 1
publication type newspaper 7 28
put the responsibility 1 1
ranks swelled to 1 1
rape and homicide 1 1
rate did not 1 1
rates by remaining 1 1
rates don t 1 1
rates in the 1 1
re minimizing something 1 1
realignment was originally 1 1
realignment which took 1 1
receded percent in 1 1
recently hit a 1 1
recession overall crimes 1 1
recorded in represented 1 1
reduce crime in 1 1
reduction and youth 1 1
reduction in robbery 1 1
reflection of growing 1 1
refused to back 1 1
related crimes overall 1 1
related homicides last 1 1
remaining data driven 1 1
remains the most 1 1
remarkable achievement he 1 1
represented an percent 1 1
reserved of documents 7 19
response of officers 1 1
responsibility on yourself 1 1
result of a 1 2
reversed its downward 1 1
review of the 1 2
rights reserved of 7 19
robbery aggravated assault 1 1
robbery and aggravated 1 1
row to its 1 1
row we saw 1 1
s and s 1 3
s beck said 1 1
s gang reduction 1 1
s percent drop 1 1
safe if you 1 1
said at a 1 3
said calling for 1 1
said during a 1 1
said he added 1 1
said he hopes 1 1
said the lapd 1 1
said the violent 1 1
said these numbers 1 1
said why don 1 1
sales tax if 2 2
saw fewer than 1 1
saw property crimes 1 1
section news length 1 4
section news pg 1 2
seem up to 1 1
september language english 1 1
sheriff s department 2 8
shootings are very 1 2
showed significant decreases 1 1
shows that in 1 1
significant decreases in 1 1
since the early 2 1
since william parker 1 1
slide from the 1 1
slight uptick the 1 1
smallest percentage decline 1 1
so again christina 1 1
so that police 1 1
so they can 1 1
so they know 1 1
some of the 2 11
something that is 1 2
star news california 1 2
states of america 1 1
statistics showed significant 1 1
stolen lock it 1 1
strategies and by 1 1
support a sales 1 1
suppression strategies and 1 1
swelled to but 1 1
t continue police 1 1
t lie he 1 1
t you ask 2 2
take precautions to 1 1
taken together the 1 1
talking to gang 1 1
tax if the 1 1
tax if we 1 1
term ends in 1 1
term to the 1 1
th year in 1 1
th year violent 1 1
than any big 1 1
than homicides he 1 1
that had an 1 1
that has occurred 1 1
that he had 1 3
that in los 1 1
that is a 1 3
that last year 1 2
that law backed 1 1
that placed certain 1 1
that police can 1 3
that then i 1 1
that were not 1 1
the city and 1 5
the city however 1 1
the city of 4 6
the city s 2 19
the city so 1 1
the communities there 1 1
the consequences of 1 1
the continued hiring 1 1
the country he 1 1
the county of 1 1
the daily news 1 1
the declining crime 1 1
the door to 1 1
the drop was 2 1
the early s 2 2
the fewest in 1 1
the fewest violent 1 1
the first time 2 5
the gang related 1 1
the incoming mayor 1 1
the increase in 1 1
the lapd in 1 1
the lapd is 1 1
the lapd recently 1 1
the lapd would 1 3
the last five 1 1
the law to 1 1
the list was 1 1
the los angeles 7 16
the lowest violent 1 1
the mayor and 1 1
the mayor s 1 1
the most underpoliced 1 1
the number of 3 14
the numbers down 1 1
the observation that 1 1
the other cities 1 1
the overall crime 1 1
the overall drop 1 1
the past and 1 1
the person who 1 4
the police and 1 10
the problem of 1 2
the public s 1 1
the public to 1 1
the recession overall 1 1
the response of 1 1
the responsibility on 1 1
the s and 1 3
the sales tax 1 1
the sheriff s 2 4
the smallest percentage 1 1
the th year 1 1
the third year 1 1
the toughest parts 1 1
the types of 1 1
the united states 2 29
the uptick on 1 1
the victim who 1 2
the violent crimes 1 1
the way for 1 1
the year before 1 2
theft and for 1 1
thefts burglaries and 1 1
thefts in particular 1 1
their various electronic 1 1
then i can 1 1
there he also 1 1
there is no 1 17
there was a 2 6
these numbers are 1 1
these numbers the 1 1
they can form 1 1
they know the 1 1
they weren t 1 1
they would like 1 1
third year in 1 1
this is the 1 1
this work is 1 2
those in los 1 1
those who have 2 1
though by only 1 1
time in years 1 1
to back a 1 1
to be tweaked 1 1
to boost the 1 1
to but added 1 1
to community policing 1 1
to continue growing 1 1
to continue operation 1 1
to control the 1 1
to do so 1 9
to expand predictive 1 1
to gang members 1 1
to have percent 1 1
to its lowest 1 1
to lower crime 1 1
to make sure 1 1
to make the 1 2
to name a 1 1
to par you 1 1
to predict where 1 5
to prevent their 1 1
to realignment which 1 1
to reduce crime 1 2
to take precautions 1 1
to the los 1 1
to the toughest 1 1
together the overall 1 1
took effect in 1 1
total of thefts 1 1
toughest parts of 1 1
tracks people who 1 1
trend and posted 1 1
tuesday valley edition 1 1
tweaked so that 1 1
twitter com ladnvillacorte 1 1
type newspaper copyright 7 18
underpoliced big city 1 1
united states a 1 1
united states of 1 1
up to par 1 1
uptick on a 1 1
uptick the mayor 1 1
urged the public 1 1
uses logarithms to 1 1
valley edition for 1 1
various electronic gadgets 1 1
very difficult to 1 2
villacorte dailynews com 1 1
villaraigosa said during 1 1
villaraigosa said these 1 1
villaraigosa whose term 1 1
violent crime in 2 5
violent crime level 1 1
violent crimes and 3 3
violent crimes in 1 1
violent crimes per 1 1
violent crimes recorded 1 1
vowed the lapd 1 1
vowed to expand 1 1
was a citywide 1 1
was chief of 1 1
was on the 1 2
was originally announced 1 1
was percent beck 1 1
was percent the 1 1
way i would 1 1
we don t 1 7
we saw fewer 1 1
well as more 1 1
were able to 1 3
were the fewest 1 1
what s happening 1 2
when its ranks 1 1
when officers are 1 1
when realignment was 1 1
where crime will 1 1
which calls for 1 1
which closely tracks 1 1
which took effect 1 1
which uses logarithms 1 1
who have been 1 2
who have committed 1 1
who worked for 1 1
whoever it may 1 1
whose term ends 1 1
why don t 2 3
will make the 1 1
will occur and 1 1
william parker was 1 1
with the communities 1 1
with the mayor 1 1
words the city 1 1
words violent crime 1 1
working closely with 1 3
would be the 1 1
would continue to 1 1
would increase in 1 1
would like to 1 5
would support a 1 1
year before statistics 1 1
year in a 3 2
year s percent 1 1
year there was 1 1
year violent crime 1 1
year were the 1 1
years in during 1 1
years though by 1 1
york and los 1 1
york chicago the 1 1
you ask new 1 1
you ask the 1 1
you do that 1 1
you ll keep 1 1
you re minimizing 1 1
your property safe 1 1
yourself for keeping 1 1
youth development office 1 1
