of documents 1 of 1
a sustained effort 2 1
a symbol of 1 1
a system of 2 5
a system that 1 3
a system to 3 1
a task force 3 4
a taskforce to 2 2
a third straight 4 1
a threat to 9 3
a three year 7 1
a time and 6 1
a time of 2 2
a time when 1 1
a to point 2 1
a tool for 3 2
a tool to 1 1
a total of 13 2
a town of 1 1
a toy gun 2 1
a tradesman and 1 1
a traffic stop 2 1
a variety of 10 19
a very difficult 3 1
a vested interest 1 1
a video of 5 2
a warrant for 5 1
a washington post 1 1
a wave of 6 1
a way that 3 8
a way to 7 11
a white man 5 1
a whole host 1 1
a wide range 11 13
a world of 1 2
a world where 1 2
a year in 11 2
a year old 71 1
a young man 1 1
ability to get 4 1
ability to obtain 1 1
able to get 1 1
able to help 5 1
able to identify 2 1
about a week 6 1
about crime in 22 2
about crimes in 1 1
about eight years 1 2
about even beck 1 1
about force and 1 1
about how these 1 1
about immigration national 1 1
about in both 1 1
about in the 3 1
about is the 2 1
about percent so 1 1
about percent today 1 1
about said craig 1 1
about the effects 11 1
about the power 4 2
about the relationship 1 1
about the specific 4 1
about trying to 1 1
about what they 5 1
about whether the 4 4
absent from the 1 1
abstract meet the 1 1
abuse of a 2 1
abuse with marijuana 1 1
access to a 3 1
access to the 1 5
according to a 36 2
according to county 6 2
according to one 1 1
according to police 10 1
according to the 167 7
account of how 1 2
account of the 2 7
accountability and transparency 1 3
achilles heel is 1 1
across ranks sherman 1 1
across the city 6 1
across the country 12 10
across the county 7 1
across the entire 1 1
across the nation 5 1
across the state 9 4
across the united 4 2
across the us 1 1
act and the 2 5
act of violence 2 1
action at the 4 1
action plan for 1 1
active or where 1 1
activity in the 2 1
acts such as 3 1
actually resulted in 1 1
adapting to changes 1 1
added a lot 1 1
added as a 2 1
added were about 1 1
addition to a 1 2
addition to the 10 6
address the problem 1 3
adherence to the 1 1
advanced you get 1 1
advantage of a 1 1
advantage of his 1 1
advantage of the 1 3
advocates have argued 1 1
affair one of 1 1
affected by the 2 4
affordable housing for 1 2
affordable housing to 1 1
african american and 2 14
african american man 10 4
african american men 4 8
african americans and 1 31
african americans in 4 6
african americans the 2 2
african americans were 2 3
african americans who 2 1
after finding no 1 1
after it was 4 1
after p m 6 1
after predecessor robert 1 1
after the alleged 2 1
after the fact 4 2
after the incident 4 1
after the passage 2 1
aftermath of the 2 3
again with the 1 1
against creating a 2 1
against the city 14 1
against the need 2 1
agencies including the 1 1
agencies will also 2 2
agency in the 1 1
agency llc load 3 2
agents in the 10 1
aggravated assaults he 1 1
aggressive stance on 1 1
ago unfortunately property 1 1
agreement with the 2 5
aid in the 2 1
aims to encourage 1 1
alicia a caldwell 3 1
all aspects of 1 4
all available tools 1 1
all have been 1 1
all of that 1 4
all of the 16 9
all of them 2 4
all of these 1 8
all of this 1 2
all of which 1 3
all over the 1 1
all rights reserved 490 17
all sorts of 1 1
all started their 1 1
all strategies that 4 2
alleged that the 2 3
allegedly trying to 3 1
allow him to 2 1
allow them to 2 4
allowed to have 4 1
allowing officers to 10 2
alone in the 1 1
along the way 1 1
along with a 3 1
along with the 6 5
also are using 1 1
also as a 1 2
also be a 4 1
also contributed to 2 1
also created a 2 1
also found that 5 1
also in the 2 3
also joined the 3 2
also known as 24 7
also means that 3 1
also on the 2 1
also point to 2 1
also said he 4 1
also to make 1 1
also understanding strategies 1 1
also will be 3 1
although not all 1 1
although there is 2 2
always succeed the 1 1
am cautiously optimistic 1 1
america s most 4 1
american bar association 2 2
american born in 4 1
american civil liberties 7 6
american communities the 1 1
american man in 4 1
american men in 2 2
american society is 1 1
americans and the 1 8
americans are being 4 3
americans do not 4 1
among minority communities 4 1
among other things 1 10
among others the 1 1
among the most 1 2
among the seven 1 1
amount of money 1 2
an account of 2 3
an act of 3 1
an african american 11 3
an agreement with 2 1
an alternative to 1 5
an anonymous tip 4 2
an arrest warrant 5 2
an attempt to 7 1
an average of 3 1
an award from 5 1
an early intervention 1 1
an effort to 11 9
an elderly man 1 1
an emphasis on 3 2
an enthusiastic kind 1 1
an environment where 1 1
an examination of 1 1
an executive but 1 1
an immigration detainer 1 1
an important part 2 1
an important role 1 1
an increase in 17 2
an increase of 5 1
an integral part 4 2
an interview conducted 1 8
an interview that 1 1
an interview with 5 3
an investigation of 3 1
an obligation to 2 1
an officer assigned 1 1
an opportunity to 9 7
an unarmed black 4 3
an undocumented immigrant 10 1
an unprecedented influx 1 2
analysis by the 1 1
analysis of the 1 13
and a fellow 2 1
and a friend 2 1
and a half 1 1
and a host 1 1
and a huge 1 1
and a lesser 2 1
and a mandatory 1 1
and a relentless 1 1
and african americans 1 4
and against the 2 1
and all of 1 1
and all the 1 2
and also understanding 1 1
and arguing that 1 6
and around the 7 1
and arrested him 2 1
and as an 2 1
and assess the 1 1
and at least 3 1
and at the 3 2
and avoid the 1 1
and beefed up 1 1
and being a 1 2
and beyond the 1 1
and black and 1 1
and border protection 10 1
and california crime 1 1
and california s 2 1
and called the 2 1
and civil rights 2 5
and commanding officer 1 1
and compassionate leader 1 1
and constitutional policing 2 2
and continued to 2 1
and continues to 1 3
and cooperation from 1 1
and county departments 1 1
and county officials 5 1
and create a 2 3
and creating a 1 3
and crime statistics 2 1
and date comdr 1 1
and devonshire patrol 1 1
and did not 9 1
and differences between 1 1
and disclosed to 3 1
and discovered a 2 1
and don t 2 1
and drive through 1 1
and driver s 2 1
and economic development 4 2
and encouraging residents 1 1
and energy to 1 1
and engage the 1 1
and even though 1 1
and experience of 1 3
and failed to 1 1
and failures of 3 1
and federal laws 1 1
and file officers 1 52
and file police 2 4
and for the 1 3
and found a 4 1
and found that 2 3
and from other 1 1
and gang related 3 1
and had to 1 1
and has a 1 2
and has been 4 1
and has three 1 1
and has written 1 1
and have been 1 3
and help keep 1 1
and helps train 1 1
and her friend 2 2
and her mother 2 1
and her sister 1 1
and his friends 2 4
and hollywood areas 1 1
and how many 1 1
and how to 4 6
and human rights 4 4
and i can 3 2
and i do 2 1
and i guess 1 1
and if there 2 1
and if they 2 1
and implementation of 1 1
and in a 3 2
and in fact 1 3
and in some 5 5
and in the 7 11
and is a 2 1
and is about 1 1
and is being 9 2
and is making 3 1
and it also 1 1
and it is 4 11
and it s 13 4
and it was 6 3
and it will 1 1
and it would 2 2
and its data 1 1
and its implications 1 2
and justice the 4 2
and killed by 5 1
and law enforcement 11 22
and limit the 2 1
and living in 1 1
and local agencies 4 1
and local governments 3 5
and local law 19 10
and local levels 1 2
and looking for 3 1
and los angeles 192 2
and make it 1 2
and many other 5 1
and many others 1 1
and many police 5 2
and members of 6 2
and mental health 7 2
and methamphetamines he 1 1
and might even 2 2
and mobilize our 1 1
and more than 6 2
and motor vehicle 1 1
and must be 6 3
and national policing 1 1
and new york 4 4
and no one 1 1
and not the 2 2
and one of 5 1
and one s 1 1
and operated by 1 1
and ordered him 2 1
and other cases 1 1
and other low 1 1
and other major 1 1
and other measures 1 1
and other organizations 1 1
and other property 3 1
and others as 1 1
and others have 1 2
and others who 3 1
and out of 6 2
and particularly the 2 1
and people who 4 2
and police force 2 1
and police officers 4 1
and public safety 16 6
and punishment in 1 1
and quality of 2 2
and racial disparities 1 2
and raised in 5 1
and regional news 3 2
and respond to 4 4
and said i 1 1
and san bernardino 4 1
and services and 1 1
and set up 1 1
and should be 1 1
and so on 1 3
and social media 4 15
and social science 3 2
and state law 4 2
and state laws 2 1
and tactics that 1 1
and technology to 3 1
and that he 2 1
and that is 1 2
and that it 4 1
and that s 14 1
and that she 5 1
and that the 6 7
and that this 2 1
and that work 1 1
and the anti 2 2
and the california 3 1
and the case 1 1
and the city 4 4
and the county 2 10
and the court 1 2
and the creation 1 1
and the department 4 2
and the development 1 3
and the fbi 2 1
and the fire 2 1
and the group 1 1
and the importance 1 1
and the jump 1 1
and the lapd 3 1
and the like 2 5
and the long 1 1
and the los 31 1
and the mayor 2 1
and the more 1 4
and the nation 1 3
and the national 1 3
and the need 1 5
and the new 2 5
and the newly 11 1
and the number 5 2
and the officer 1 2
and the officers 1 1
and the one 1 2
and the only 1 1
and the planning 4 1
and the police 6 22
and the president 2 1
and the public 7 7
and the quality 3 1
and the right 3 3
and the sheriff 6 1
and the state 1 1
and the u 5 4
and the united 5 1
and the use 1 2
and the valley 1 1
and their business 1 1
and then the 1 1
and there are 2 3
and there is 2 1
and they do 1 1
and they ll 1 1
and they must 1 2
and this is 2 1
and thorough investigation 1 2
and those with 1 1
and threatened to 5 1
and threats to 4 1
and three grandchildren 1 1
and tips he 1 1
and to be 2 1
and to ensure 2 1
and to hold 2 1
and to provide 1 3
and took his 1 1
and training of 1 1
and tried to 14 1
and u s 10 1
and use that 2 1
and used it 1 1
and using it 1 1
and video surveillance 1 1
and violent crime 4 5
and violent crimes 2 1
and was closely 1 1
and was not 4 1
and we re 8 1
and well to 1 1
and what they 3 4
and when a 2 1
and when they 2 1
and whether an 1 1
and why they 2 1
and why we 2 1
and will likely 4 2
and with a 1 1
and with the 1 2
and young people 1 2
angeles and other 1 1
angeles and the 6 1
angeles april wednesday 3 1
angeles california had 1 1
angeles chapter of 3 1
angeles deputy sheriffs 4 1
angeles has nearly 1 1
angeles in the 2 1
angeles los angeles 6 1
angeles police department 159 10
angeles police divisions 1 1
angeles police protective 12 2
angeles police stations 1 1
angeles the lapd 3 1
angeles the police 1 2
angeles times all 40 1
angeles times july 3 1
angeles times report 2 1
angeles to the 1 1
angeles university of 1 1
announced in that 1 1
announced the figures 1 1
annually in the 2 1
anonymous crime tips 3 1
another example of 1 2
another type of 2 1
another way to 2 1
answer questions about 2 1
any evidence that 1 1
any interest in 1 1
any kind of 2 4
any number of 2 3
any of the 11 3
any of those 7 2
any other content 1 3
any particular crime 6 1
any query regarding 15 4
any query with 1 3
any steps to 1 1
any use of 1 1
anyone to pat 2 1
anyone who has 2 2
anything else while 1 1
anything in life 1 1
anything other than 8 1
appear to be 8 10
appear to give 1 1
appear to have 1 3
appeared to be 5 1
appears to be 13 4
application of things 1 1
approach to the 5 1
april language english 44 2
april wednesday new 1 1
are able to 2 4
are allowed to 1 1
are already in 6 1
are among the 2 3
are and drive 1 1
are at least 1 1
are at risk 5 3
are available to 1 1
are based on 4 9
are believed to 2 1
are concerned with 1 1
are designed to 1 2
are due to 1 2
are entitled to 1 4
are expected to 12 2
are far from 1 1
are fears that 1 1
are going to 2 3
are in the 7 7
are living in 1 3
are looking at 1 5
are looking for 4 1
are made by 1 2
are making progress 3 2
are mandated to 1 1
are more likely 2 12
are more than 1 2
are more ways 1 1
are not a 1 3
are not associated 1 1
are not only 1 1
are not suitable 1 1
are not the 1 3
are only a 1 1
are part of 12 4
are property crimes 1 1
are referred to 2 1
are related to 1 1
are required to 1 1
are responsible for 1 2
are similar to 11 1
are so many 2 1
are subject to 1 4
are supposed to 2 3
are suspected of 3 1
are the best 4 2
are the only 2 1
are the two 11 2
are thrown in 1 1
are trying to 12 2
are u s 4 1
are up about 1 1
are using predictive 1 1
are working to 1 2
area and commanding 1 1
area before moving 1 1
area first assistant 1 1
areas depicted by 1 1
areas he worked 1 1
areas of public 4 1
areas of the 2 9
areas where gangs 1 1
areas where there 1 2
argued that the 4 7
arguing that the 1 7
argument that the 1 2
around p m 8 1
around the country 10 2
around the county 1 3
arrest and conviction 2 2
arrest of a 6 1
arrest potential criminals 1 1
arrest warrant for 3 1
arrest warrant was 3 1
arrest was not 2 1
arrested for a 2 1
arrested for allegedly 2 1
arrested for crimes 1 1
arrested over the 2 1
article or any 1 3
article or other 15 4
as a consequence 1 2
as a crime 4 3
as a future 1 1
as a high 1 1
as a last 2 1
as a lieutenant 1 1
as a member 1 1
as a patrol 1 1
as a person 1 1
as a police 3 1
as a potential 1 4
as a primary 2 1
as a reason 3 3
as a response 1 7
as a result 50 28
as a serious 1 3
as a special 1 1
as a strong 1 1
as a suspect 1 2
as a symbol 1 1
as a threat 9 1
as a tool 1 2
as a tradesman 1 1
as a white 6 2
as a whole 9 7
as african americans 5 1
as an executive 2 1
as an officer 1 2
as an opportunity 4 1
as can be 1 1
as captain at 1 1
as compared to 1 2
as early as 3 2
as easily be 1 1
as for the 4 1
as i can 1 1
as in the 3 4
as it is 2 6
as it was 3 2
as long as 10 8
as los angeles 6 1
as low as 2 1
as much as 6 7
as much information 1 1
as necessary to 2 1
as not only 1 1
as of july 1 1
as of late 1 1
as one of 9 1
as opposed to 2 9
as part of 45 20
as possible for 4 1
as proposed in 1 1
as san francisco 1 1
as simple as 11 2
as social networks 1 1
as soon as 2 2
as state and 3 3
as the assistant 1 1
as the commanding 1 1
as the first 3 1
as the former 2 1
as the naacp 4 1
as the no 1 4
as the number 1 2
as the police 1 5
as the s 3 1
as the san 1 1
as the state 1 1
as they have 1 1
as they re 1 1
as to whether 1 8
as useful as 1 1
as was the 5 1
as we have 3 1
as well a 7 2
as well as 81 80
as well in 1 1
as you re 3 1
asked by the 3 1
asked for a 1 3
asked if he 1 1
asked whether the 1 1
aspect of the 1 4
assaults he added 1 1
assigned to lapd 1 1
assistance from the 1 2
assistant chief michelmoore 1 1
assistant commanding officer 1 1
assistant to the 1 1
assisted diversion program 1 1
associated with the 8 2
at a fourth 1 1
at a hearing 1 1
at a high 7 4
at a large 1 1
at a later 6 1
at a time 20 2
at all and 1 2
at content services 1 1
at home and 2 1
at http www 2 2
at it as 4 1
at its peak 1 1
at least a 2 6
at least in 1 9
at least one 6 6
at least seven 2 1
at least the 1 2
at least they 2 1
at least three 8 2
at least two 5 4
at odds with 4 1
at risk of 6 7
at some point 7 1
at that point 1 1
at that time 9 2
at the beginning 1 2
at the bus 2 2
at the center 7 3
at the devonshire 1 1
at the end 6 2
at the first 1 1
at the forefront 3 3
at the home 8 1
at the interpol 2 2
at the intersection 2 1
at the local 4 1
at the midyear 2 2
at the national 1 6
at the operations 1 1
at the outset 4 4
at the property 1 1
at the request 2 1
at the same 3 11
at the san 9 1
at the school 9 1
at the state 5 2
at the th 4 2
at the time 68 7
at the u 2 4
at the very 2 5
at the weekly 1 1
at the world 1 1
at three los 1 1
at which point 1 1
attack in san 1 1
attacks on the 2 1
attempt to address 1 2
attempt to force 1 1
attempt to undermine 1 1
attend a minimum 1 1
attention to the 6 2
attorney general jeff 10 1
attorney s office 112 5
attributed in part 1 1
attributed the rise 2 1
aug http www 1 15
augment police operations 1 1
august language english 50 2
authorities are investigating 1 3
authorities at the 1 1
authors of the 2 1
available tools to 1 1
award from the 2 2
aware of a 1 2
aware of the 2 5
away from the 8 3
b a washington 1 1
b pg length 38 1
b through the 1 1
bachelor s degree 1 5
back but rather 1 1
back of the 2 3
back on the 3 2
back to a 4 1
back to the 15 5
back toward the 1 1
bail and sentencing 1 1
bait and switch 2 1
based on a 2 8
based on his 1 2
based on historical 1 4
based on how 1 1
based on information 3 1
based on race 5 13
based on suspicion 4 1
based on the 15 13
based on this 1 3
based on those 1 2
based on what 1 3
based upon the 6 1
basketball players and 1 1
bay area and 6 1
be a part 6 3
be able to 24 22
be at risk 4 1
be aware of 1 3
be changed to 3 1
be considered a 6 1
be consistent with 1 2
be detrimental to 3 1
be difficult to 2 2
be doing the 4 1
be driving the 1 1
be forced to 4 2
be in the 4 2
be included in 3 3
be involved in 2 5
be it s 2 1
be linked to 2 1
be made public 1 2
be met by 1 1
be motivated by 3 1
be on the 6 2
be part of 6 2
be provided to 4 1
be reached at 10 2
be replaced by 1 4
be required to 3 3
be seen as 1 5
be subject to 5 3
be subjected to 1 6
be taken to 7 1
be the best 2 2
be the case 2 6
be the same 1 3
be used as 3 2
be used in 1 6
be used only 1 2
be used to 8 28
became a police 1 1
became involved in 1 1
became the first 1 1
because he was 6 2
because it is 2 6
because it s 13 2
because it was 1 2
because it would 1 1
because of a 9 1
because of an 2 1
because of his 2 2
because of the 15 20
because of their 6 3
because of what 1 1
because police today 1 1
because she was 6 1
because that s 1 1
because the house 1 1
because the state 3 1
because the suspect 1 1
because there is 4 2
because they are 8 5
because they feel 1 2
because they have 1 1
because they re 3 1
because they were 1 2
beck also said 7 1
beck announced the 1 1
beck crime in 1 1
beck said but 6 1
beck said has 1 1
beck said sometimes 1 1
beck said the 20 1
beck said thursday 2 1
beck said which 1 1
beck to sharpen 1 1
become involved in 2 1
become involved to 1 1
become more prevalent 1 1
been a concern 2 1
been a moment 1 1
been able to 1 3
been before load 1 1
been but it 2 1
been classified as 2 1
been engaged in 1 1
been focused on 2 4
been in the 9 2
been in violent 1 1
been involved in 4 1
been lowered from 1 1
been made the 4 1
been part of 4 1
been seen in 1 2
been the site 3 1
been used in 2 4
been working on 1 1
before beck announced 1 1
before load date 2 1
before moving to 1 1
before serving as 1 1
before they commit 1 2
began in the 1 2
began with an 2 1
beginning of the 3 3
behalf of the 10 1
behavior of the 2 1
beholden to the 1 1
being arrested for 3 1
being done by 1 2
being investigated by 2 1
being involved in 1 2
being killed in 1 1
being one of 1 1
being used as 3 1
being used in 1 1
believe in and 1 1
believe that he 1 1
believe they should 1 1
believed to be 20 2
benefits of the 5 5
best way to 1 2
between may and 1 2
between the city 1 7
between the two 1 1
bgazzar on twitter 23 1
bgazzar scng com 23 1
bigger euphoric feeling 1 1
biggest numbers are 1 1
biggest problem we 1 1
bill signed by 1 1
billions of dollars 1 2
black and latino 1 6
black and white 1 8
black man in 4 2
black men in 1 1
blue ribbon panel 1 4
board of education 1 1
board of supervisors 27 2
board of the 3 2
born and raised 1 1
bosses on the 1 1
both and the 1 1
both of these 3 3
bought and sold 1 1
box which works 1 1
boxes are and 1 1
branches of government 1 1
brass beck also 1 1
break into cars 1 1
break into homes 1 1
brenda gazzar bgazzar 23 1
bricks and mortar 1 2
bring that enthusiasm 1 1
brings more crime 2 1
brought on by 11 3
build a better 4 1
bureau in panorama 1 1
bureau of justice 2 3
bureau s police 1 1
bureau took the 1 1
bureau with rising 1 1
burglaries theft from 1 1
but also as 1 2
but as i 1 1
but declined to 2 1
but didn t 1 1
but even with 2 1
but he emphasised 1 1
but i do 4 2
but is it 1 3
but it also 1 3
but it can 4 1
but it does 1 1
but it has 1 2
but it is 12 12
but it might 1 2
but it s 10 3
but it was 7 1
but it will 1 2
but not limited 1 2
but not necessarily 3 1
but not the 3 1
but on a 3 1
but one of 1 2
but over time 1 1
but property crimes 1 1
but rather now 1 1
but should not 1 1
but that doesn 5 1
but that s 1 2
but the case 1 1
but the process 1 1
but they are 2 2
but they don 4 1
but they were 2 1
but this is 1 3
but we can 1 3
but we ll 1 1
but we must 1 1
but would not 1 1
but you don 2 1
by a deputy 2 1
by a federal 8 4
by a feet 1 1
by a grant 9 1
by anything else 1 1
by committing crime 1 1
by comparing the 6 2
by declining to 1 1
by feet box 1 1
by his side 1 1
by ht digital 1 1
by in the 1 1
by individuals who 1 1
by law enforcement 9 4
by looking at 1 1
by members of 12 1
by percent for 1 1
by percent in 7 1
by police in 10 1
by police officers 2 1
by presenting a 1 1
by president trump 1 2
by roughly aggravated 1 1
by san francisco 1 1
by the american 7 1
by the chicago 1 1
by the chief 1 2
by the city 2 5
by the county 1 5
by the court 2 5
by the department 11 4
by the district 4 1
by the end 4 1
by the fbi 12 1
by the federal 11 6
by the justice 3 2
by the la 1 1
by the library 1 1
by the los 42 1
by the police 3 5
by the policy 1 1
by the public 3 1
by the same 1 2
by the sheriff 7 1
by the state 6 2
by the time 1 6
by the transportation 2 2
by the war 1 2
by tribune content 6 4
by violence stabilized 1 1
by violent crimes 1 1
byline brenda gazzar 23 1
byline kate mather 3 1
byline zaihan mohamed 1 1
california crime figures 1 1
california had told 1 1
california in the 3 1
california los angeles 7 1
california metro desk 25 1
california state university 10 1
call for a 2 1
call the police 4 10
called for a 2 1
called for in 2 2
called for the 4 1
calling for a 3 1
calling for an 1 1
calling s numbers 1 1
calls for service 5 5
calls into question 1 2
calls s midyear 1 1
campaign he said 4 1
campaign led by 1 1
can also be 6 6
can and should 1 3
can apply to 2 1
can be a 4 7
can be reached 9 3
can be seen 2 2
can be used 1 11
can call the 7 1
can exchange information 1 1
can have a 2 1
can learn from 2 2
can make a 4 1
can make it 1 1
can no longer 2 1
can prove effective 1 1
can provide a 1 3
can result in 2 3
can say we 1 1
can t do 1 2
can t have 1 1
can then be 1 2
can use the 1 1
candidate for governor 1 1
cannot be replaced 2 1
captain at three 1 1
captain serving as 1 1
captured by the 1 1
car doors not 1 1
care and to 4 1
cars or break 1 1
cars steal cars 1 1
case of any 15 4
case of the 2 1
case on behalf 6 1
case study highlighting 1 1
case that would 1 1
cases in which 1 3
cases that are 1 1
caused the crime 2 1
cautiously optimistic beck 1 1
center for the 13 1
certain types of 2 1
certainly not the 1 1
chair of the 2 3
challenge is getting 1 1
challenge to the 1 2
challenges in the 1 2
chamber of commerce 2 5
change in policing 4 1
change in the 6 5
change this year 1 1
changes in crime 1 1
changes in legislation 1 1
changes to the 2 4
changing the behavior 1 1
chapter of the 4 1
charge of the 11 2
charged with murder 24 1
charges against a 1 1
charges in court 1 1
charlie beck said 25 1
chasing a high 1 1
checks and balances 1 2
chicago police department 1 7
chief beck to 1 1
chief calls s 1 1
chief charlie beck 73 2
chief in colorado 1 1
chief in the 1 1
chief john a 3 2
chief michelmoore director 1 1
chief of police 5 9
chief of the 5 2
chief sherman declares 1 1
children and three 3 1
choose whether to 1 1
circulated in the 1 1
circumstantial evidence to 4 1
cities don t 3 1
cities in the 4 4
cities move to 1 1
cities such as 1 4
cities throughout the 4 1
city and a 1 1
city and county 16 1
city and the 5 6
city attorney s 17 1
city byline zaihan 1 1
city council president 2 1
city in the 6 1
city is know 1 1
city of chicago 3 9
city of los 42 3
city of san 2 2
city on tuesday 1 1
city police departments 1 2
city police officers 1 1
city rose by 1 1
city s crime 2 1
city s first 1 1
city s police 6 2
city s public 1 2
city s stubborn 1 1
city state beck 2 1
city the los 1 1
city though the 1 1
city would see 1 1
civil and criminal 1 2
civil and human 4 4
civil liberties and 2 1
civil liberties the 1 1
civil liberties union 7 9
civil rights act 4 9
civil rights complaints 1 1
civil rights laws 2 1
civil rights of 2 2
civil rights violations 2 1
civilian bosses on 1 1
claim against the 11 1
claim that the 3 2
claims that the 1 3
classified as a 1 1
clear on the 1 1
clear sense of 1 1
clear that the 1 1
clerk s office 2 2
closely involved in 1 1
closely with the 6 4
closer to the 1 1
closest to the 2 2
cocaine and methamphetamines 1 1
collected by the 2 1
collection of information 6 1
colorado for years 1 1
colorado oregon and 1 1
com bgazzar on 23 1
com distributed by 3 2
com load date 42 8
com twitter katemather 3 1
com wp content 1 1
comdr rodriguez attributed 1 1
comdr rodriguez was 1 1
comdr rodriguez who 3 3
come from a 2 1
come from the 1 1
come on in 1 1
come to the 1 2
come up with 1 1
comes at a 1 1
comes from the 5 2
comes to sentencing 1 1
comes to the 1 3
coming from the 5 1
coming out of 2 1
commander jorge r 2 2
commanding officer jorge 1 1
commanding officer of 11 4
comment on the 7 1
commission he later 1 1
commit a crime 3 2
commit crimes yet 1 1
committed crimes in 2 1
committee on homeland 1 2
committing crime said 1 1
commonly known as 1 1
communicate with the 1 1
communities in los 5 1
communities in the 16 1
communities of color 7 4
communities such as 3 1
community based organizations 1 2
community engagement and 1 1
community even further 1 1
community human intel 1 1
community involved to 1 1
community law enforcement 3 2
community members that 1 1
community supervision and 6 1
company llc d 1 1
compared to the 4 1
compared with the 32 2
compassionate leader with 1 1
complaints about the 4 1
compliance with the 2 6
comply with the 4 9
composition of the 1 8
concentrating on areas 1 1
concept of the 1 1
concern in the 2 1
concern now facing 1 1
concerns in the 1 1
concerns within the 4 1
concluded that the 1 7
conducted by the 9 4
conference of the 1 1
confidence in the 1 5
confined to the 2 3
confrontation with the 1 1
congress he shared 1 1
congress publication type 1 1
connected to a 1 1
connected to the 5 1
connection between the 1 2
consistent with a 1 1
consisting of a 1 1
constant application of 1 1
constitutional right to 1 7
