of 1 of 1
an isolated 1 2
an issue 6 4
an object 1 1
an obligation 2 1
an offense 2 1
an office 8 1
an officer 9 29
an official 7 4
an old 6 2
an older 2 1
an ongoing 5 2
an open 10 15
an opportunity 12 8
an organization 1 2
an outstanding 2 2
an overall 4 1
an overarching 1 1
an percent 2 1
an unarmed 4 4
an undocumented 11 1
an unprecedented 2 5
an update 2 2
an upper 1 1
an uptick 6 1
anaheim police 9 1
analysis by 1 5
analysis of 3 61
analysis the 1 2
analysts to 1 1
analyze and 1 2
analyze crime 1 1
analyzed by 2 3
analyzed in 1 5
analyzed the 2 3
and a 186 79
and about 3 1
and accused 3 1
and activist 2 1
and added 1 1
and additional 5 3
and address 2 1
and advocates 1 3
and african 1 13
and after 5 1
and again 1 3
and against 7 1
and alex 2 1
and all 7 9
and allow 2 1
and allowed 3 2
and allowing 1 2
and also 4 8
and american 2 3
and an 28 12
and and 7 3
and animal 1 2
and another 10 2
and anti 14 1
and any 7 5
and anyone 1 1
and are 12 12
and argued 1 1
and arguing 1 7
and around 7 1
and arrest 1 6
and arrested 8 2
and arrests 7 5
and as 12 11
and asked 8 1
and asks 1 1
and assess 1 2
and at 15 9
and august 1 1
and avoid 1 2
and balances 1 2
and be 6 3
and because 4 2
and beefed 1 1
and before 2 1
and began 5 4
and behavioral 1 1
and being 8 2
and believes 1 2
and benefits 4 19
and beyond 10 4
and bias 1 3
and black 7 5
and blacks 1 1
and border 10 3
and both 3 2
and brown 6 4
and burglary 1 1
and bush 2 1
and business 4 1
and businesses 3 1
and by 4 10
and california 5 3
and called 3 1
and can 3 6
and cannot 1 2
and careful 1 2
and carry 1 1
and certainly 2 2
and change 1 2
and chief 13 1
and citizen 1 12
and city 33 2
and civil 4 8
and class 1 14
and commanding 1 1
and committing 1 2
and communities 1 12
and community 10 17
and companies 1 1
and compassionate 1 1
and conduct 1 2
and confidential 1 1
and consent 1 11
and consistent 1 3
and constitutional 2 11
and consumer 6 1
and contact 3 1
and continue 4 1
and continued 5 2
and continues 1 3
and continuing 1 1
and continuous 2 2
and control 6 16
and convicted 4 1
and conviction 2 2
and cooperation 1 5
and corruption 2 2
and council 1 1
and counties 12 2
and county 20 5
and court 5 4
and create 2 4
and created 1 3
and creating 1 4
and credit 2 1
and crime 19 11
and crimes 9 1
and criminal 5 17
and criminals 10 1
and cultural 1 4
and current 2 1
and customs 31 1
and cut 1 2
and cybersecurity 6 4
and dangerous 1 2
and data 4 25
and date 1 2
and david 1 5
and death 2 1
and decisions 11 2
and dedication 1 1
and defends 1 1
and democracy 2 6
and departments 1 1
and design 1 1
and despite 1 3
and destruction 1 1
and detain 2 1
and detectives 5 1
and determine 7 1
and develop 1 4
and devonshire 3 1
and did 9 1
and differences 1 1
and difficult 2 2
and discipline 1 6
and disclosed 3 1
and discovered 4 1
and discrimination 4 17
and distribution 2 1
and distrust 2 2
and do 5 5
and domestic 14 1
and don 2 1
and down 3 1
and drive 1 2
and driver 6 1
and drug 33 6
and drugs 4 3
and economic 4 14
and education 2 7
and effective 6 4
and efficient 1 3
and eight 3 1
and elsewhere 4 1
and email 1 1
and emails 4 1
and employees 1 1
and employment 1 8
and encouraging 5 2
and energy 1 1
and engage 1 4
and ensure 3 1
and equality 1 2
and even 11 23
and eventually 1 2
and every 7 2
and evidence 1 6
and experience 1 3
and experienced 2 1
and experts 4 2
and facing 1 1
and failed 1 1
and failing 1 1
and failures 3 1
and families 2 3
and family 6 2
and fbi 4 2
and fear 4 3
and federal 15 10
and fees 1 3
and fellow 2 1
and field 4 1
and fifth 1 2
and file 5 155
and finance 3 1
and finding 2 1
and fined 1 1
and fire 5 1
and firing 1 1
and florida 12 1
and for 19 12
and former 2 3
and fostering 2 1
and found 13 8
and four 9 1
and friends 4 2
and from 2 6
and gang 11 2
and gave 3 1
and gender 1 6
and generous 1 2
and get 3 4
and go 6 1
and good 1 2
and google 1 1
and grabbed 2 1
and graffiti 1 1
and green 3 1
and groups 1 1
and growing 1 3
and had 16 3
and has 23 19
and have 11 14
and having 4 1
and he 33 1
and hearing 2 1
and help 2 5
and helped 3 1
and helps 1 3
and her 24 10
and high 4 4
and higher 1 1
and his 57 14
and hold 1 1
and hollywood 3 1
and home 2 3
and homicide 1 1
and homophobic 2 1
and honest 1 3
and housing 10 5
and how 11 32
and human 13 10
and i 53 11
and identifying 1 1
and identity 3 4
and if 24 10
and immigrant 1 1
and immigration 14 11
and implementation 1 4
and imposing 1 2
and improve 1 8
and in 37 56
and incarceration 2 7
and incidents 10 1
and include 1 3
and included 1 1
and increased 3 1
and individuals 2 3
and influence 1 2
and innocent 11 1
and intent 2 1
and international 4 1
and intolerance 2 1
and investigative 1 2
and invited 1 1
and is 34 36
and it 35 43
and its 11 74
and jan 2 1
and janice 6 4
and jeff 2 1
and job 5 5
and john 1 1
and johnson 2 1
and join 2 1
and joseph 11 1
and july 1 1
and just 2 3
and justice 22 5
and keep 2 1
and kept 2 1
and killed 23 5
and killing 2 1
and know 1 1
and l 6 1
and labor 2 4
and later 2 3
and latino 1 9
and law 13 27
and lead 5 1
and leaders 16 1
and leadership 1 1
and learned 1 1
and leave 1 1
and left 6 1
and legal 9 27
and limit 2 2
and live 1 1
and living 1 1
and local 32 43
and long 5 3
and looking 5 1
and los 192 2
and made 2 5
and maintaining 3 2
and make 5 13
and making 14 2
and many 14 13
and materials 1 1
and max 1 1
and may 2 6
and meaning 2 1
and media 2 2
and medical 3 2
and members 6 2
and mental 7 4
and methamphetamines 1 1
and middle 6 2
and might 2 3
and million 2 1
and misuse 2 1
and mobilize 1 1
and moral 1 4
and morally 1 1
and more 18 41
and mortar 1 2
and most 10 6
and motor 1 1
and must 7 4
and narcotics 1 1
and national 5 16
and neighborhood 2 8
and neighboring 1 1
and networks 6 2
and new 4 15
and news 6 1
and ninety 1 1
and no 10 4
and not 11 14
and now 10 5
and nurse 1 1
and occasional 1 2
and of 1 5
and offer 2 1
and officer 1 5
and officers 2 7
and often 3 9
and omissions 1 1
and on 16 10
and one 34 9
and only 6 5
and operated 3 1
and opportunities 1 1
and or 3 3
and order 2 15
and ordered 6 3
and organize 2 1
and organized 6 2
and organizing 1 1
and other 116 106
and others 31 9
and our 6 4
and out 6 2
and outside 2 5
and over 2 2
and oversight 1 6
and palm 3 1
and participating 1 1
and particularly 2 2
and patrol 2 1
and pay 2 2
and people 19 5
and percent 3 1
and personality 6 1
and petty 4 1
and physical 1 1
and places 2 3
and pointed 2 1
and police 15 51
and policies 1 10
and policy 1 30
and policymakers 1 20
and political 6 11
and popular 1 1
and post 1 2
and potential 1 5
and power 5 7
and practical 1 2
and presented 4 1
and prevention 3 2
and prison 4 3
and private 1 20
and process 1 3
and processes 1 5
and professional 1 1
and professor 5 3
and programs 2 6
and property 11 4
and prosecution 7 1
and prosecutors 12 2
and prostitution 3 1
and protect 3 1
and protecting 2 2
and provide 2 5
and provides 5 1
and providing 1 1
and public 20 32
and punishment 3 7
and put 2 1
and quality 2 2
and racial 5 30
and racist 2 1
and radio 1 1
and raised 5 1
and ran 7 1
and re 5 1
and recovery 2 2
and recreation 2 1
and reduced 1 1
and reducing 4 3
and regional 3 6
and related 1 7
and relevant 4 5
and religion 1 4
and report 2 2
and reported 5 1
and reporting 3 3
and reports 4 2
and research 1 2
and respond 4 5
and resulted 2 1
and retired 2 1
and returned 1 1
and richard 1 3
and robbery 1 5
and s 5 10
and safe 2 1
and safety 6 10
and said 18 1
and san 24 1
and sb 3 1
and scientific 1 1
and second 1 4
and security 1 15
and see 10 1
and seek 1 1
and self 1 2
and sell 2 2
and sending 4 1
and sent 6 1
and sentencing 1 1
and services 2 14
and set 2 1
and several 6 2
and sex 1 1
and sexual 7 1
and share 6 1
and she 13 2
and shortly 5 1
and should 5 8
and sidewalks 1 1
and so 7 11
and social 7 54
and societal 2 1
and society 1 4
and sold 1 1
and solutions 11 1
and some 8 18
and someone 1 1
and sometimes 6 6
and spray 1 1
and staff 8 1
and standards 2 2
and started 5 1
and state 11 19
and statewide 4 1
and stay 1 1
and still 2 2
and stop 2 1
and stopped 2 1
and street 3 2
and strong 1 1
and subject 2 1
and substance 1 2
and suggestions 1 2
and support 8 4
and switch 2 1
and tablets 6 1
and tactics 2 4
and take 4 2
and takes 4 1
and targeted 1 1
and tax 2 1
and technology 3 10
and testing 1 1
and th 1 1
and that 54 56
and the 352 588
and their 42 31
and then 64 31
and there 19 7
and thereby 2 5
and therefore 6 12
and these 1 8
and they 26 16
and things 1 2
and this 8 8
and thorough 3 3
and those 12 5
and threatened 7 1
and threats 4 2
and three 12 4
and thugs 1 4
and tips 5 1
and to 31 56
and tom 1 1
and took 14 2
and track 1 1
and traffic 4 2
and training 9 6
and transparency 1 26
and travel 4 2
and treatment 4 2
and tried 14 1
and trump 8 1
and trust 1 8
and two 35 2
and u 10 1
and under 1 3
and unemployment 3 2
and unintended 1 3
and union 3 1
and unique 2 1
and use 4 11
and used 3 1
and using 2 6
and various 5 4
and vehicle 3 1
and very 1 2
and victims 6 1
and video 1 1
and violence 6 6
and violent 8 7
and visitors 1 1
and voluntary 1 1
and was 73 7
and washington 4 1
and we 41 7
and welfare 4 1
and well 4 3
and went 6 2
and were 14 3
and west 3 4
and what 14 21
and when 4 14
and whether 1 6
and while 3 3
and white 6 12
and who 6 6
and whose 2 4
and why 4 12
and will 17 6
and with 2 16
and without 1 2
and women 2 6
and work 1 3
and worked 1 2
and working 1 9
and would 6 4
and wounded 6 2
and wounding 1 1
and yet 6 3
and you 10 2
and young 6 5
and youth 6 1
anderson who 2 1
angeles a 23 2
angeles an 1 1
angeles and 89 6
angeles april 10 1
angeles california 8 1
angeles chapter 4 1
angeles county 435 2
angeles deputy 11 1
angeles for 8 2
angeles has 7 2
angeles in 14 2
angeles just 1 1
angeles los 6 1
angeles police 294 16
angeles the 48 3
angeles times 155 4
angeles to 10 1
angeles university 1 1
angeles was 11 3
announced a 1 3
announced by 1 1
announced in 2 1
announced it 3 1
announced plans 4 1
announced that 1 3
announced the 8 2
announcement of 2 1
annually in 2 1
anonymous crime 3 1
anonymous tip 4 2
another case 4 1
another example 1 6
another officer 3 2
another type 2 1
another way 2 2
another which 1 1
answer questions 2 2
answer the 4 2
answer to 1 2
anti crime 2 1
anticipate the 1 1
any crime 4 1
any evidence 3 5
any form 1 2
any interest 1 2
