	of
allowed	to
allowing	the
allowing	them
allows	police
almost	as
almost	exclusively
alone	they
alone	warrants
along	lake
along	to
along	with
already	been
already	early
already	experimenting
already	familiar
already	in
already	made
already	on
already	paid
already	resulted
already	seen
already	surfaced
also	afford
also	argues
also	attend
also	be
also	bought
also	by
also	demands
also	draw
also	due
also	expect
also	focused
also	for
also	found
also	from
also	have
also	help
also	how
also	important
also	include
also	incur
also	influencing
also	judged
also	laden
also	lists
also	looking
also	manning
also	many
also	might
also	perceive
also	persist
also	produced
also	provides
also	require
also	schafer
also	the
also	to
also	used
also	want
also	weisburd
also	with
also	witnessed
alter	police
alter	the
alter	what
altered	another
altered	policing
altered	what
altering	a
altering	police
altering	the
alternative	policing
alternative	remedy
alternative	strategy
alternative	technologies
alternative	technology
alternative	ways
alternatives	are
alternatives	require
alternatives	seem
alternatives	to
although	a
although	cctv
although	community
although	in
although	it
although	other
although	perhaps
although	public
although	small
although	some
although	subordinates
although	the
although	there
although	these
although	they
although	this
altshuler	alan
altshuler	p
always	getting
always	questionable
always	showing
amazon	about
ambiguous	values
ambition	and
ambivalence	about
amelia	huffman
amelia	rouse
amendment	in
amendment	protections
america	and
america	are
america	by
america	cambridge
america	changes
america	conflict
america	due
america	edited
america	had
america	have
america	in
america	is
america	mastrofski
america	nd
america	new
america	politics
america	s
america	the
america	to
america	vols
america	washington
american	academy
american	agencies
american	automobile
american	case
american	cities
american	communities
american	context
american	criminal
american	cultural
american	democratic
american	departments
american	experience
american	habit
american	journal
american	motorists
american	persistence
american	police
american	policing
american	political
american	populace
american	public
american	situation
american	society
american	sociological
american	system
americans	fondness
americans	fostered
americans	receive
americans	were
amicable	relations
among	a
among	agents
among	america
among	american
among	an
among	community
among	growing
among	illinois
among	larger
among	local
among	medium
among	officers
among	others
among	police
among	precincts
among	reformers
among	smaller
among	some
among	state
among	the
among	their
amount	of
amounts	of
an	active
an	actuarial
an	acute
an	additional
an	administrative
an	aftershock
an	age
an	agenda
an	alcohol
an	algorithm
an	all
an	alternative
an	american
an	analysis
an	analytic
an	annual
an	anthropologist
an	applied
an	approach
an	appropriate
an	area
an	array
an	article
an	assessment
an	assistant
an	average
an	earlier
an	earthquake
an	effective
an	effectively
an	electrical
an	email
an	emerging
an	empirical
an	entire
an	entirely
an	entity
an	environment
an	ethical
an	ethos
an	even
an	examination
an	excellent
an	expanding
an	eye
an	impact
an	important
an	impressive
an	improvement
an	in
an	incident
an	increased
an	increasing
an	independent
an	indicator
an	industry
an	influence
an	initial
an	innovation
an	innovative
an	insignificant
an	interest
an	interesting
an	internal
an	international
an	intolerance
an	invaluable
an	invisible
an	occupation
an	officer
an	ongoing
an	opportunity
an	organization
an	organizational
an	outstanding
an	overview
an	percent
an	unsurprising
an	unusual
an	year
analyses	and
analysis	a
analysis	and
analysis	committee
analysis	continuing
analysis	cover
analysis	crime
analysis	data
analysis	for
analysis	in
analysis	including
analysis	into
analysis	is
analysis	new
analysis	of
analysis	some
analysis	suggests
analysis	surveillance
analysis	technologies
analysis	the
analysis	these
analysis	to
analysis	tracked
analysis	unit
analysis	washington
analyst	compared
analyst	for
analyst	per
analyst	santa
analyst	the
analysts	at
analysts	don
analysts	hughes
analysts	make
analysts	view
analysts	who
analytic	and
analytic	capacity
analytic	reports
analytics	for
analytics	moving
analytics	perlman
analytics	that
analytics	unit
analyze	a
analyze	patterns
analyzed	by
analyzed	years
analyzing	and
analyzing	data
analyzing	patterns
ancestors	built
and	a
and	aaron
and	ability
and	abroad
and	absorb
and	abuse
and	abuses
and	abusive
and	acceptance
and	accountability
and	accountants
and	accurate
and	achieved
and	acting
and	active
and	actively
and	activities
and	adaptability
and	add
and	additional
and	adhere
and	administration
and	administrative
and	affirmative
and	agencies
and	agency
and	aggravated
and	aggressive
and	allocate
and	also
and	although
and	always
and	amazon
and	ambiguous
and	amelia
and	an
and	analysis
and	another
and	anthony
and	anything
and	appellate
and	applied
and	appreciation
and	appropriate
and	are
and	arlington
and	arrest
and	arrests
and	as
and	assess
and	assessing
and	assessments
and	association
and	attitudes
and	attributed
and	australia
and	authorities
and	auto
and	b
and	backup
and	bargaining
and	bayley
and	be
and	beats
and	become
and	being
and	belief
and	beliefs
and	benefits
and	better
and	beyond
and	bezdikian
and	bingo
and	bittner
and	blacks
and	bordua
and	both
and	bradley
and	braga
and	bratton
and	brian
and	brown
and	brutality
and	bureaucracy
and	bureaucratization
and	bureaucratized
and	bureaucrats
and	burglars
and	businesses
and	by
and	bynum
and	c
and	call
and	calvin
and	capacities
and	car
and	career
and	careful
and	carl
and	cellular
and	census
and	censuses
and	certain
and	challenges
and	change
and	changeability
and	changes
and	charles
and	charts
and	circumstance
and	citation
and	clandestine
and	claus
and	clifford
and	collaborate
and	colleagues
and	collective
and	colleen
and	college
and	coming
and	commitment
and	communication
and	communications
and	community
and	comparing
and	competing
and	competition
and	complaints
and	complex
and	complexity
and	complicated
and	comprehensively
and	compstat
and	computer
and	computerized
and	concern
and	conclusions
and	confidential
and	conflict
and	consequential
and	considerable
and	constraints
and	contemporary
and	control
and	controlling
and	convincing
and	coordination
and	corrective
and	counties
and	county
and	court
and	courts
and	craig
and	creatively
and	crime
and	crimes
and	criminal
and	criminology
and	criticism
and	cultural
and	culture
and	cultures
and	customized
and	cutting
and	cynthia
and	dale
and	dangerous
and	data
and	dated
and	david
and	deanna
and	debra
and	decided
and	decision
and	defensiveness
and	deliberative
and	delinquency
and	delivers
and	dennis
and	depending
and	detect
and	detecting
and	detection
and	develop
and	developing
and	devices
and	directed
and	direction
and	director
and	discussed
and	disincentives
and	disorder
and	disorders
and	dispatching
and	distinct
and	disturbances
and	diverse
and	diversity
and	do
and	documentation
and	duct
and	dugan
and	early
and	easy
and	eck
and	economies
and	edmund
and	education
and	edward
and	effective
and	effectiveness
and	effort
and	efforts
and	egon
and	elected
and	elinor
and	empirical
and	ending
and	enduring
and	energy
and	enforce
and	enforcing
and	engaging
and	engineer
and	english
and	entrepreneurial
and	equitably
and	ericson
and	error
and	ethics
and	evaluate
and	evaluation
and	even
and	evidence
and	exciting
and	exhortation
and	expanded
and	expect
and	expectations
and	expensive
and	experimenting
and	extent
and	facilitating
and	fairness
and	falling
and	fear
and	federal
and	females
and	file
and	finally
and	find
and	finding
and	focused
and	follow
and	for
and	forecasting
and	formalization
and	former
and	found
and	francis
and	frank
and	friend
and	from
and	frost
and	frydl
and	functional
and	functionally
and	fundamental
and	funding
and	gang
and	gave
and	general
and	get
and	giblin
and	giroux
and	give
and	goal
and	gordon
and	govern
and	governance
and	greg
and	haberfeld
and	habits
and	haggerty
and	hal
and	hans
and	hartnett
and	has
and	hawkins
and	he
and	health
and	hearing
and	hence
and	herbert
and	here
and	herzog
and	hickman
and	high
and	hindelang
and	his
and	historians
and	historical
and	hoffmaster
and	holbek
and	holographic
and	home
and	homeland
and	hostile
and	how
and	hubert
and	huo
and	i
and	ianni
and	idit
and	implement
and	implementation
and	implementing
and	implications
and	improve
and	improving
and	in
and	incentive
and	increased
and	increasing
and	industry
and	inefficient
and	influence
and	informal
and	information
and	institutionalization
and	institutionalize
and	institutionalized
and	instruments
and	insurrection
and	intelligence
and	interjurisdictional
and	interpersonal
and	interpretations
and	investigative
and	investing
and	involve
and	isolation
and	israel
and	it
and	its
and	j
and	jack
and	jacob
and	james
and	jeffrey
and	jennifer
and	joel
and	john
and	johnson
and	jones
and	jonny
and	joshua
and	judges
and	judicial
and	just
and	justice
and	kathleen
and	keith
and	kenna
and	kennedy
and	kevin
and	kimberly
and	king
and	knowledge
and	kochel
and	l
and	large
and	larger
and	later
and	latin
and	latino
and	laura
and	law
and	lawrence
and	lead
and	leaders
and	leadership
and	least
and	led
and	legislative
and	legitimacy
and	less
and	level
and	lieutenants
and	limitations
and	line
and	litigation
and	little
and	lived
and	local
and	location
and	long
and	longer
and	looking
and	los
and	lost
and	lovrich
and	low
and	lower
and	lt
and	lum
and	m
and	macdonald
and	maguire
and	mail
and	major
and	malinowski
and	management
and	manufacturing
and	many
and	margaret
and	maria
and	marie
and	mark
and	marked
and	marks
and	martha
and	martial
and	martin
and	mary
and	mastrofski
and	matthew
and	mccue
and	measurement
and	measuring
and	medium
and	meeting
and	members
and	methods
and	meticulous
and	michael
and	middle
and	miles
and	military
and	ministations
and	mixed
and	moderators
and	modes
and	molly
and	monique
and	monitor
and	moore
and	morality
and	more
and	morgan
and	morris
and	most
and	motivation
and	motor
and	much
and	mundane
and	murphy
and	nardulli
and	nathan
and	nationalized
and	nevada
and	new
and	newburn
and	newcombe
and	neyroud
and	nicholas
and	nicholls
and	norval
and	not
and	numerous
and	observation
and	occupational
and	of
and	officer
and	officers
and	old
and	on
and	once
and	one
and	only
and	open
and	operate
and	operational
and	operations
and	opportunities
and	order
and	organization
and	organizational
and	organizations
and	ostrom
and	other
and	others
and	outcomes
and	outside
and	over
and	oversight
and	parks
and	passing
and	patrick
and	patrol
and	patterning
and	patterns
and	peers
and	people
and	percent
and	perceptions
and	performance
and	perhaps
and	personal
and	pervasive
and	pervert
and	peter
and	philip
and	place
and	places
and	plate
and	play
and	plotkin
and	police
and	policies
and	policing
and	policy
and	politicians
and	polymers
and	ponder
and	pondered
and	possibly
and	post
and	postcolonial
and	powell
and	powerful
and	practice
and	practices
and	predict
and	predictive
and	preferences
and	preparedness
and	preventive
and	prevents
and	principles
and	priorities
and	private
and	problem
and	procedures
and	processes
and	processing
and	professional
and	professionalism
and	profound
and	programs
and	promote
and	promoting
and	prospects
and	proven
and	provided
and	public
and	publishing
and	pulling
and	punished
and	punishing
and	punishment
and	quality
and	quantitative
and	quinet
and	r
and	radical
and	rainey
and	ralph
and	rarely
and	rationalizing
and	reactive
and	real
and	reassuring
and	reaves
and	rebecca
and	recommended
and	recovery
and	recurrence
and	reduce
and	refine
and	reform
and	reformed
and	regional
and	reinforce
and	rejected
and	reliability
and	reluctance
and	remote
and	report
and	reporting
and	reports
and	research
and	researchers
and	respond
and	responsiveness
and	results
and	retain
and	review
and	reviewed
and	reward
and	rewarded
and	rewarding
and	richard
and	ritti
and	robert
and	roger
and	ronald
and	rosenbloom
and	rouse
and	routine
and	runs
and	rural
and	s
and	santa
and	satisfaction
and	say
and	scholars
and	schulte
and	screen
and	sean
and	search
and	second
and	section
and	security
and	select
and	selected
and	selection
and	sergio
and	service
and	setting
and	sharing
and	shawn
and	shearing
and	sheriffs
and	shot
and	significant
and	simon
and	since
and	skeptical
and	skill
and	slot
and	small
and	smith
and	snipes
and	so
and	social
and	society
and	socioeconomic
and	solve
and	some
and	sometimes
and	sought
and	sound
and	southwest
and	spatial
and	spatially
and	special
and	specially
and	specific
and	spooks
and	sporadic
and	st
and	starts
and	state
and	stenning
and	stephen
and	steven
and	stimulate
and	stolen
and	strategic
and	strategies
and	street
and	strengthen
and	stronger
and	structural
and	structure
and	structures
and	styles
and	subordinates
and	success
and	successfully
and	suggested
and	supervisors
and	supervisory
and	support
and	surfaced
and	surveillance
and	susan
and	sustain
and	systems
and	tactics
and	tailor
and	take
and	tammy
and	target
and	technical
and	technocratic
and	technologies
and	technology
and	territorial
and	terrorism
and	terrorist
and	test
and	tested
and	testing
and	that
and	the
and	thefts
and	their
and	then
and	there
and	these
and	they
and	third
and	this
and	thomas
and	those
and	thrive
and	thus
and	ties
and	tim
and	time
and	times
and	timing
and	timothy
and	to
and	tobago
and	took
and	trace
and	training
and	transit
and	transparency
and	trends
and	try
and	tuch
and	twentieth
and	two
and	uchida
and	ultimately
and	undertaking
and	undesirable
and	unexpected
and	unfortunately
and	unit
and	units
and	unless
and	unresponsiveness
and	updated
and	upper
and	urban
and	urbanism
and	use
and	used
and	usefulness
and	users
and	using
and	usually
and	validity
and	value
and	van
and	vary
and	veh
and	vehicles
and	vibrant
and	visibility
and	vogel
and	vulnerable
and	wal
and	wallman
and	walter
and	warrantless
and	warren
and	was
and	washington
and	ways
and	we
and	weisburd
and	weisheit
and	wells
and	were
and	what
and	when
and	where
and	whether
and	while
and	whitaker
and	white
and	why
and	widespread
and	wilkinson
and	will
and	william
and	windows
and	with
and	within
and	without
and	witnesses
and	women
and	wondering
and	worden
and	working
and	workmanship
and	would
and	wycoff
and	you
and	yucaipa
and	yuen
anderson	publishing
andy	of
anecdote	that
anecdote	to
angeles	and
angeles	are
angeles	based
angeles	captain
angeles	department
angeles	have
angeles	is
angeles	mohler
angeles	police
angeles	predictive
angeles	times
angeles	to
anger	management
angry	people
ann	arbor
ann	community
annals	of
anne	marie
annual	meeting
annual	review
annually	expends
annually	in
annually	other
anonymous	and
another	accolade
another	approach
another	concerns
another	house
another	in
another	is
another	limitation
another	look
another	pathway
another	perspective
another	related
another	set
another	shortcoming
another	third
another	way
answer	depends
answer	is
answer	the
answer	with
answering	calls
answers	you
anthony	a
anthony	braga
anthropologist	jeff
anthropologist	p
anticipate	and
anticipate	both
anticipate	crime
anticipate	in
anticipate	reforming
anticipate	that
anticipate	when
anticipated	customers
anticipating	a
any	change
any	conclusion
any	constituency
any	degradation
any	features
any	given
any	greater
any	have
any	inequality
any	more
any	sort
any	tests
any	time
anyone	anywhere
anything	but
anything	he
anything	that
anything	the
anytime	soon
anywhere	on
apace	as
appeal	the
appear	more
appear	reluctant
appear	to
appeared	almost
appeared	in
appeared	on
appeared	to
appears	especially
appears	not
appears	on
appears	that
appears	to
appellate	court
appellate	courts
appended	to
appetite	for
apple	s
apple	valley
applicable	legal
application	of
applications	of
applications	the
applications	to
applied	broadly
applied	mathematics
applied	psychology
applied	statistics
applied	to
applies	perhaps
apply	them
apply	those
applying	incentives
applying	them
appointed	police
appointive	nature
appointment	job
appraisal	in
appreciable	change
appreciate	the
appreciate	this
appreciating	how
appreciation	for
appreciation	that
apprehension	of
approach	and
approach	at
approach	brodeur
approach	is
approach	may
approach	mohler
approach	one
approach	presumably
approach	to
approach	will
approached	customers
approached	mohler
approaches	before
approaches	for
approaches	to
approaches	we
appropriate	and
appropriate	time
approval	of
approval	score
approve	at
approving	the
approximately	federal
approximately	feet
approximately	one
april	has
april	loader
april	newcombe
arbor	university
archives	and
archon	accountable
are	a
are	abetted
are	able
are	accomplishing
are	acquired
are	actively
are	actually
are	added
are	advanced
are	affected
are	afoot
are	all
are	already
are	also
are	any
are	apple
are	as
are	asked
are	assigned
are	at
are	attributable
are	available
are	based
are	becoming
are	being
are	best
are	better
are	big
are	blurred
are	briefly
are	building
are	calibrated
are	central
are	challenged
are	changing
are	clear
are	commanded
are	committed
are	compared
are	compatible
are	concerned
are	considering
are	converted
are	coordinated
are	costly
are	creatures
are	customized
are	determined
are	devised
are	diluted
are	distinct
are	distributed
are	distrusted
are	due
are	dynamic
are	each
are	effective
are	encouraged
are	established
are	expected
are	experiencing
are	exposed
are	faced
are	few
are	fulfilling
are	general
are	given
are	giving
are	grateful
are	growing
are	hampered
are	high
are	highly
are	honored
are	implemented
are	important
are	in
are	increasingly
are	independent
are	indicators
are	initially
are	insignificant
are	institutionalized
are	intended
are	interested
are	invested
are	investing
are	joined
are	launching
are	left
are	less
are	likely
are	limited
are	making
are	many
are	measured
are	members
are	mixed
are	mobilized
are	modest
are	more
are	motivated
are	necessarily
are	necessary
are	needed
are	neither
are	not
are	noteworthy
are	now
are	numerous
are	of
are	often
are	on
are	one
are	only
are	other
are	part
are	particularly
are	partisan
are	patterned
are	poised
are	police
are	policed
are	positive
are	possible
are	predicted
are	presumed
are	proportionate
are	quite
are	reactive
are	reasons
are	recalibrated
are	regarded
are	relevant
are	reluctant
are	renowned
are	rich
are	shaped
are	shared
are	simply
are	small
are	some
are	state
are	still
are	stolen
are	strongly
are	structural
are	structured
are	subject
are	substantial
are	taken
are	targeted
are	targets
are	that
are	the
are	theories
are	therefore
are	thought
are	three
are	thus
are	to
are	trying
are	turning
are	typically
are	ultimately
are	unable
are	unaware
are	under
are	useful
are	using
are	usually
are	very
are	viewed
are	virtually
are	ways
are	what
are	willing
are	working
are	worth
are	yet
are	you
area	aftershocks
area	and
area	friend
area	is
area	maguire
area	many
area	of
area	parks
area	publius
area	surveillance
area	that
area	to
area	variation
area	where
areas	american
areas	and
areas	are
areas	as
areas	during
areas	failed
areas	finds
areas	in
areas	of
areas	or
