    627 supra	note
     27 the	city
     27 suspicion	standard
     27 rely	on
     27 of	muslim
     27 nat	l
     27 facial	recognition
     27 discussing	the
     27 did	not
     27 because	of
     27 and	local
     27 an	area
     26 under	the
     26 to	prevent
     26 to	have
     26 that	it
     26 subject	to
     26 s	c
     26 s	at
     26 not	be
     26 muslim	community
     26 j	l
     26 information	on
     26 he	said
     26 databasing	delinquency
     26 communities	hearing
     26 by	police
     26 by	a
     26 a	new
     25 york	city
     25 www	fbi
     25 when	the
     25 types	of
     25 to	stop
     25 the	most
     25 the	country
     25 religious	and
     25 pdf	n
     25 office	of
     25 of	privacy
     25 not	to
     25 infra	part
     25 information	that
     25 in	its
     25 if	the
     25 how	the
     25 hearing	supra
     25 describing	the
     25 crime	n
     25 communities	in
     25 before	the
     25 at	least
     25 as	an
     25 and	law
     25 and	in
     25 american	muslim
     24 this	is
     24 the	circumstances
     24 the	american
     24 sex	offenders
     24 policing	in
     24 org	files
     24 of	color
     24 not	only
     24 kundnani	supra
     24 gang	members
     24 court	records
     24 at	see
     24 and	political
     24 and	a
     24 a	juvenile
     23 white	house
     23 to	police
     23 the	world
     23 the	s
     23 the	role
     23 the	department
     23 suspicion	that
     23 role	in
     23 one	of
     23 of	juvenile
     23 local	law
     23 level	of
     23 https	www
     23 has	a
     23 focused	on
     23 enforcement	and
     23 criminal	law
     23 context	of
     23 activity	n
     23 a	community
     22 v	united
     22 to	make
     22 those	who
     22 the	high
     22 terry	stop
     22 records	n
     22 part	ii
     22 over	the
     22 of	people
     22 marginalized	communities
     22 many	of
     22 he	was
     22 for	police
     22 enforcement	s
     22 by	law
     22 akbar	supra
     21 www	aclu
     21 well	as
     21 v	ohio
     21 type	of
     21 to	use
     21 to	commit
     21 the	term
     21 the	street
     21 the	potential
     21 the	people
     21 the	number
     21 the	context
     21 terry	v
     21 suspicion	n
     21 surveillance	and
     21 role	of
     21 people	are
     21 order	to
     21 not	a
     21 n	it
     21 n	e
     21 n	a
     21 information	and
     21 for	law
     21 f	d
     21 because	they
     21 area	n
     21 approach	to
     21 and	police
     21 aclu	org
     20 to	ensure
     20 the	white
     20 the	idea
     20 the	case
     20 response	to
     20 registration	and
     20 pol	y
     20 of	its
     20 of	course
     20 low	income
     20 juvenile	records
     20 into	a
     20 information	n
     20 in	order
     20 in	addition
     20 ferguson	supra
     20 federal	law
     20 department	of
     20 communities	to
     20 com	news
     20 and	social
     19 youth	are
     19 was	not
     19 up	to
     19 to	support
     19 to	help
     19 to	establish
     19 to	do
     19 to	an
     19 this	information
     19 the	ordinary
     19 the	ability
     19 than	a
     19 people	in
     19 of	reasonable
     19 nytimes	com
     19 not	just
     19 lead	to
     19 knowledge	of
     19 juvenile	sex
     19 it	has
     19 information	in
     19 individual	s
     19 in	community
     19 in	and
     19 form	of
     19 for	civil
     19 enforcement	n
     19 criminal	court
     19 could	be
     19 comm	on
     19 be	used
     19 be	able
     19 and	their
     19 amendment	protections
     19 a	reasonable
     18 youth	and
     18 within	the
     18 with	other
     18 way	to
     18 wash	post
     18 vulnerable	to
     18 used	by
     18 unknown	suspects
     18 to	provide
     18 through	the
     18 these	technologies
     18 the	nation
     18 the	future
     18 small	data
     18 risk	of
     18 reynoso	said
     18 required	to
     18 ordinary	criminal
     18 of	juveniles
     18 of	individuals
     18 need	to
     18 n	thus
     18 n	cf
     18 margo	schlanger
     18 law	and
     18 is	also
     18 individuals	who
     18 how	to
     18 data	on
     18 data	and
     18 criminal	records
     18 create	a
     18 counterradicalization	and
     18 collection	and
     18 at	describing
     18 associated	with
     18 are	the
     18 and	its
     18 a	more
     18 a	gang
     17 with	law
     17 who	are
     17 which	the
     17 whether	the
     17 using	the
     17 to	protect
     17 to	perform
     17 to	develop
     17 these	efforts
     17 the	next
     17 the	muslim
     17 that	there
     17 suspicion	of
     17 see	ferguson
     17 participate	in
     17 officers	to
     17 of	social
     17 of	fourth
     17 nature	of
     17 n	moreover
     17 more	information
     17 members	of
     17 location	of
     17 led	to
     17 investigation	s
     17 intelligence	gathering
     17 in	muslim
     17 found	that
     17 example	the
     17 data	n
     17 criminal	record
     17 crime	in
     17 courts	have
     17 around	the
     17 and	religious
     17 and	counterradicalization
     16 who	was
     16 which	is
     16 when	a
     16 war	on
     16 visited	dec
     16 unknown	suspect
     16 u	l
     16 to	take
     16 to	see
     16 to	reduce
     16 this	technology
     16 they	have
     16 the	terry
     16 the	technology
     16 the	process
     16 the	past
     16 the	more
     16 the	fed
     16 the	fact
     16 the	amount
     16 that	this
     16 that	police
     16 that	in
     16 that	can
     16 that	an
     16 than	the
     16 th	cong
     16 th	cir
     16 states	u
     16 set	of
     16 s	government
     16 s	and
     16 rev	discussing
     16 records	of
     16 public	safety
     16 personal	data
     16 patterns	of
     16 on	homeland
     16 of	those
     16 of	american
     16 of	all
     16 n	of
     16 n	ferguson
     16 n	but
     16 might	be
     16 memorandum	from
     16 limited	to
     16 license	plate
     16 it	also
     16 including	the
     16 in	some
     16 in	other
     16 in	new
     16 in	many
     16 html	n
     16 has	the
     16 gov	about
     16 field	offices
     16 field	office
     16 even	if
     16 dna	collection
     16 data	in
     16 criminal	context
     16 crime	control
     16 court	has
     16 countering	violent
     16 counter	terrorism
     16 community	and
     16 beyond	the
     16 as	one
     16 and	more
     16 all	of
     16 age	of
     16 after	the
     16 act	of
     16 about	us
     16 about	juveniles
     16 a	specific
     15 who	have
     15 to	create
     15 to	build
     15 to	address
     15 the	war
     15 the	risk
     15 the	location
     15 the	goal
     15 the	general
     15 the	first
     15 the	crime
     15 that	these
     15 that	he
     15 that	community
     15 see	united
     15 scope	of
     15 schlanger	officer
     15 s	comm
     15 quotation	marks
     15 privacy	and
     15 policing	technology
     15 people	who
     15 officer	for
     15 of	margo
     15 n	police
     15 marks	omitted
     15 local	police
     15 lack	of
     15 just	as
     15 it	s
     15 it	may
     15 internal	quotation
     15 in	re
     15 in	part
     15 in	our
     15 in	gang
     15 in	both
     15 history	of
     15 guthrie	ferguson
     15 gun	violence
     15 government	agencies
     15 gang	database
     15 for	an
     15 footnotes	omitted
     15 footnote	omitted
     15 files	fbimappingfoia
     15 fbimappingfoia	aclurm
     15 ensure	that
     15 efforts	to
     15 data	from
     15 d	th
     15 community	notification
     15 but	the
     15 and	particularized
     15 and	crime
     15 agencies	to
     15 agencies	and
     15 african	american
     15 aclurm	pdf
     15 a	way
     15 a	times
     15 a	neighborhood
     15 a	n
     14 youth	n
     14 www	nytimes
     14 would	not
     14 while	the
     14 what	we
     14 we	have
     14 violent	crime
     14 uniform	standards
     14 to	investigate
     14 to	determine
     14 to	collect
     14 they	were
     14 they	can
     14 the	way
     14 the	theory
     14 the	software
     14 the	scope
     14 the	power
     14 the	individual
     14 the	age
     14 that	law
     14 suspicion	analysis
     14 stating	that
     14 special	agent
     14 some	of
     14 security	context
     14 security	and
     14 rights	civil
     14 result	of
     14 relationship	between
     14 records	and
     14 pub	affairs
     14 perry	et
     14 people	of
     14 particularized	suspicion
     14 or	even
     14 on	their
     14 of	young
     14 of	our
     14 of	national
     14 n	to
     14 n	indeed
     14 n	however
     14 n	courts
     14 minority	neighborhoods
     14 july	at
     14 jacobs	supra
     14 intelligence	and
     14 in	place
     14 in	law
     14 in	chicago
     14 idea	that
     14 human	rights
     14 head	of
     14 from	juveniles
     14 forms	of
     14 for	their
     14 eye	on
     14 even	more
     14 department	s
     14 delinquency	databases
     14 data	suspicion
     14 data	about
     14 community	relations
     14 communities	the
     14 city	s
     14 as	they
     14 as	high
     14 andrew	guthrie
     14 and	what
     14 and	intelligence
     14 analysis	of
     13 youth	in
     13 york	police
     13 with	community
     13 using	a
     13 to	know
     13 to	include
     13 to	get
     13 throughout	the
     13 the	streets
     13 the	stop
     13 the	question
     13 the	program
     13 the	officers
     13 the	need
     13 the	local
     13 the	last
     13 the	current
     13 terms	of
     13 technology	has
     13 support	for
     13 study	of
     13 st	j
     13 sites	default
     13 same	time
     13 s	ct
     13 s	community
     13 radicalization	theory
     13 race	and
     13 press	release
     13 presence	in
     13 policing	n
     13 past	criminal
     13 part	iii
     13 part	i
     13 or	the
     13 on	muslim
     13 on	law
     13 on	individuals
     13 of	which
     13 of	time
     13 of	terrorism
     13 of	life
     13 of	documents
     13 of	circumstances
     13 near	repeat
     13 n	law
     13 n	jacobs
     13 muslim	leaders
     13 muslim	american
     13 much	of
     13 meaning	of
     13 liberties	dep
     13 length	words
     13 known	as
     13 kind	of
     13 justify	a
     13 july	http
     13 j	crim
     13 it	would
     13 it	n
     13 is	more
     13 individualized	and
     13 in	turn
     13 in	his
     13 in	fact
     13 impact	of
     13 illinois	v
     13 identify	the
     13 huq	supra
     13 has	become
     13 foreign	policy
     13 for	juveniles
     13 federal	state
     13 feb	http
     13 fear	of
     13 explaining	that
     13 enough	to
     13 dna	databases
     13 default	files
     13 crimes	n
     13 crime	mapping
     13 crime	is
     13 crim	l
     13 court	n
     13 contact	with
     13 concerns	about
     13 but	it
     13 but	also
     13 attorney	general
     13 at	all
     13 as	part
     13 arguing	that
     13 and	private
     13 and	even
     13 and	are
     13 an	arrest
     13 affairs	council
     13 a	terry
     13 a	city
     12 without	parole
     12 violence	n
     12 used	in
     12 use	the
     12 university	of
     12 to	their
     12 to	community
     12 times	june
     12 time	of
     12 threat	of
     12 these	neighborhoods
     12 their	communities
     12 the	very
     12 the	time
     12 the	threat
     12 the	system
     12 the	subject
     12 the	standard
     12 the	rise
     12 the	person
     12 the	particular
     12 the	other
     12 the	near
     12 the	latest
     12 that	would
     12 that	are
     12 technology	and
     12 suspicion	to
     12 suggest	that
     12 specific	and
     12 serve	as
     12 sept	http
     12 sense	of
     12 see	akbar
     12 s	the
     12 s	knowledge
     12 s	involving
     12 s	criminal
     12 rise	of
     12 rights	and
     12 resident	agency
     12 record	of
     12 racial	profiling
     12 quantitative	data
     12 policing	is
     12 police	chief
     12 police	can
     12 percent	of
     12 outside	of
     12 order	maintenance
     12 or	to
     12 or	a
     12 on	muslims
     12 on	how
     12 of	such
     12 of	how
     12 of	government
     12 of	disorder
     12 nypd	s
     12 n	juvenile
     12 muslims	to
     12 mr	brown
     12 likelihood	of
     12 life	without
     12 levels	of
     12 juveniles	in
     12 juvenile	offenders
     12 june	http
     12 it	was
     12 is	an
     12 investigation	http
     12 in	recent
     12 in	america
     12 have	the
     12 for	reasonable
     12 for	community
     12 f	b
     12 expectation	of
     12 engagement	with
     12 enforcement	officials
     12 efforts	are
     12 difficult	to
     12 designed	to
     12 data	can
     12 data	brokers
     12 culture	of
     12 crime	fighting
     12 crime	data
     12 courts	and
     12 consequences	of
     12 community	members
     12 commit	crimes
     12 commit	a
     12 citation	omitted
     12 at	in
     12 as	it
     12 are	likely
     12 and	violent
     12 and	then
     12 and	not
     12 and	cve
     12 and	criminal
     12 an	important
     12 an	adult
     12 activity	in
     12 account	of
     12 a	very
     12 a	threat
     12 a	heightened
     12 a	court
     11 way	that
     11 visited	mar
     11 variety	of
     11 unit	fbi
     11 to	participate
     11 to	muslim
     11 to	juvenile
     11 to	find
     11 to	counter
     11 to	cooperate
     11 to	believe
     11 thousands	of
     11 these	communities
     11 there	were
     11 their	own
     11 the	vast
     11 the	two
     11 the	third
     11 the	right
     11 the	problem
     11 the	los
     11 the	internet
     11 the	extent
     11 the	development
     11 the	database
     11 the	courts
     11 that	may
     11 that	information
     11 tend	to
     11 suspicion	is
     11 supervisory	special
     11 software	to
     11 see	supra
     11 san	jose
     11 said	he
     11 s	san
     11 result	in
     11 responsible	for
     11 reporting	on
     11 relations	unit
     11 records	are
     11 real	time
     11 range	of
     11 power	to
     11 policing	the
     11 policing	radicalization
     11 police	n
     11 police	in
     11 perform	a
     11 or	not
     11 of	suspicion
     11 of	personal
     11 of	comm
     11 of	brett
     11 no	longer
     11 n	that
     11 n	or
     11 n	on
     11 n	fbi
     11 n	by
     11 n	although
     11 must	have
     11 muslims	are
     11 muslims	and
     11 muslim	americans
     11 most	likely
     11 minority	youth
     11 majority	of
     11 living	in
     11 list	of
     11 link	analysis
     11 less	than
     11 juveniles	n
     11 intelligence	led
     11 instead	of
     11 importance	of
     11 hovington	supervisory
     11 have	to
     11 have	not
     11 harcourt	supra
     11 from	these
     11 for	youth
     11 for	more
     11 for	crime
     11 for	american
     11 ferguson	crime
     11 fact	that
     11 eric	holder
     11 engagement	is
     11 engagement	in
     11 e	d
     11 databases	and
     11 database	n
     11 data	sources
     11 data	policing
     11 ctr	for
     11 created	by
     11 court	s
     11 community	leaders
     11 comm	relations
     11 chance	to
     11 c	n
     11 brett	hovington
     11 between	police
     11 behavior	and
     11 because	it
     11 b	n
     11 b	i
     11 available	to
     11 at	school
     11 as	with
     11 are	in
     11 are	also
     11 appear	to
     11 and	s
     11 and	is
     11 and	collaboration
     11 agent	head
     11 african	americans
     11 adjudicated	delinquent
     11 activity	is
     11 actions	of
     11 a	year
     11 a	recent
     11 a	lawful
     11 a	few
     11 a	database
     10 who	is
     10 whether	a
     10 where	the
     10 when	it
     10 was	a
     10 want	to
     10 wall	st
     10 visited	nov
     10 virtue	of
     10 value	of
     10 to	search
     10 to	report
     10 to	it
     10 to	gather
     10 to	detect
     10 to	define
     10 to	avoid
     10 to	and
     10 through	a
     10 this	software
     10 there	s
     10 them	into
     10 the	terrorist
     10 the	statistical
     10 the	importance
     10 the	following
     10 the	chance
     10 that	of
     10 that	criminal
     10 terrorism	and
     10 take	a
     10 suspicion	calculus
     10 stopped	and
     10 statistical	outputs
     10 should	not
     10 seen	as
     10 see	the
     10 s	new
     10 s	identity
     10 reporting	that
     10 related	to
     10 regulation	of
     10 referring	to
     10 record	information
     10 radicalization	n
     10 question	of
     10 quality	of
     10 public	and
     10 privacy	in
     10 predictive	analytics
     10 power	of
     10 police	work
     10 people	to
     10 people	s
     10 outreach	program
     10 outreach	efforts
     10 outputs	from
     10 other	words
     10 operations	guide
     10 one	another
     10 on	these
     10 of	sex
     10 of	public
     10 of	pub
     10 of	past
     10 of	new
     10 of	it
     10 of	his
     10 of	gang
     10 of	delinquency
     10 of	being
     10 of	accountability
     10 not	have
     10 new	police
     10 needs	to
     10 n	working
     10 n	there
     10 n	some
     10 n	similarly
     10 n	many
     10 n	kundnani
     10 n	community
     10 muslim	pub
     10 muslim	and
     10 mosque	outreach
     10 may	help
     10 may	also
     10 limit	the
     10 led	policing
     10 leads	to
     10 law	abiding
     10 last	week
     10 kansas	city
     10 juvenile	s
     10 jose	resident
     10 is	in
     10 int	l
     10 information	center
     10 income	minority
     10 in	terms
     10 in	public
     10 in	police
     10 in	particular
     10 in	more
     10 in	crime
     10 in	any
     10 imposed	on
     10 illusion	of
     10 if	it
     10 html	archived
     10 house	iftar
     10 holding	that
     10 had	a
     10 grounded	in
     10 government	data
     10 goal	is
     10 for	change
     10 fbi	to
     10 example	of
     10 engaged	in
     10 efforts	with
     10 efforts	in
     10 do	so
     10 development	of
     10 degree	of
     10 define	high
     10 dec	n
     10 databases	n
     10 data	will
     10 data	driven
     10 d	n
     10 d	c
     10 criminal	conduct
     10 credit	card
     10 concept	of
     10 com	us
     10 com	article
     10 collection	of
     10 collection	from
     10 circumstances	test
     10 christopher	slobogin
     10 children	are
     10 characteristics	of
     10 cell	phone
     10 cases	the
     10 cannot	be
     10 by	which
     10 best	practices
     10 berg	supra
     10 be	involved
     10 at	discussing
     10 as	to
     10 as	gang
     10 and	they
     10 and	public
     10 and	notification
     10 and	courts
     10 and	court
     10 and	civil
     10 and	broken
     10 also	id
     10 agencies	are
     10 adulthood	n
     10 activity	the
     10 about	how
     10 ability	of
     10 a	young
     10 a	wide
     10 a	warrant
     10 a	tool
     10 a	small
     10 a	law
     10 a	known
     10 a	greater
     10 a	conviction
     10 a	a
      9 within	a
      9 with	police
      9 who	were
      9 what	is
      9 week	the
      9 we	are
      9 type	newspaper
      9 to	understand
      9 to	those
      9 to	reveal
      9 to	register
      9 to	obtain
      9 to	generate
      9 to	earn
      9 to	consider
      9 this	note
      9 third	parties
      9 these	programs
      9 theory	and
      9 them	to
      9 the	young
      9 the	stigma
      9 the	rest
      9 the	problems
      9 the	predictive
      9 the	many
      9 the	likelihood
      9 the	constitution
      9 the	best
      9 the	agency
      9 the	actions
      9 than	adults
      9 terry	u
      9 system	n
      9 system	is
      9 suspicion	in
      9 suspected	criminal
      9 suspect	and
      9 surveillance	of
      9 suggesting	that
      9 state	v
      9 state	s
      9 state	of
      9 smart	ethical
      9 signs	of
      9 sheriff	s
      9 security	policing
      9 school	and
      9 santa	cruz
      9 s	use
      9 s	most
      9 s	foreign
      9 s	ability
      9 rise	to
      9 right	to
      9 reynoso	s
      9 review	of
      9 repeat	model
      9 relate	to
      9 recognition	software
      9 radicalization	discourse
      9 publication	type
      9 protections	to
      9 prior	criminal
      9 predict	future
      9 policing	strategies
      9 police	may
      9 police	have
      9 police	dep
      9 police	are
      9 person	is
      9 perceptions	of
      9 people	n
      9 people	from
      9 part	iv
      9 over	time
      9 outreach	in
      9 or	is
      9 on	this
      9 on	community
      9 on	an
      9 officer	to
      9 of	potential
      9 of	other
      9 of	muslims
      9 occurred	in
      9 nov	at
      9 note	the
      9 not	the
      9 need	for
      9 n	united
      9 n	radicalization
      9 n	perry
      9 n	one
      9 n	n
      9 n	j
      9 n	because
      9 n	according
      9 much	more
      9 more	vulnerable
      9 more	difficult
      9 monte	s
      9 millions	of
      9 mich	l
      9 means	that
      9 may	not
      9 may	have
      9 maintenance	policing
      9 long	term
      9 local	partners
      9 load	date
      9 like	the
      9 letter	from
      9 less	likely
      9 language	english
      9 l	meares
      9 juveniles	are
      9 justice	biographies
      9 june	at
      9 its	own
      9 is	now
      9 involvement	in
      9 individuals	n
      9 individuals	and
      9 in	that
      9 in	practice
      9 in	n
      9 ii	n
      9 if	not
      9 high	profile
      9 held	that
      9 heavy	policing
      9 hearing	before
      9 have	an
      9 has	also
      9 has	already
      9 had	been
      9 growth	of
      9 group	inc
      9 gov	t
      9 future	crime
      9 from	one
      9 for	government
      9 focusing	on
      9 florida	v
      9 federal	and
      9 fbi	is
      9 failure	to
      9 extent	of
      9 even	when
      9 even	the
      9 era	of
      9 engagement	initiatives
      9 enforcement	officers
      9 enforcement	is
      9 enforcement	in
      9 empowering	local
      9 efforts	n
      9 easy	to
      9 during	the
      9 dozens	of
      9 district	of
      9 databases	are
      9 daniel	j
      9 critical	infrastructure
      9 criminals	n
      9 crimes	and
      9 crime	type
      9 crime	delinq
      9 crime	at
      9 continue	to
      9 communities	are
      9 communication	and
      9 combined	with
      9 cities	down
      9 childhood	is
      9 chicago	police
      9 charged	with
      9 can	help
      9 can	also
      9 by	virtue
      9 black	and
      9 believe	that
      9 be	more
      9 away	from
      9 aug	http
      9 attempt	to
      9 ass	n
      9 as	of
      9 as	more
      9 as	he
      9 articulable	facts
      9 arrests	and
      9 array	of
      9 are	under
      9 are	now
      9 are	less
      9 arab	muslim
      9 and	with
      9 and	juvenile
      9 and	it
      9 and	have
      9 and	gang
      9 and	frisks
      9 and	frisked
      9 and	analysis
      9 an	unknown
      9 all	the
      9 against	the
      9 adults	n
      9 about	an
      9 a	whole
      9 a	variety
      9 a	significant
      9 a	report
      9 a	number
      9 a	national
      9 a	general
      8 young	person
      8 young	black
      8 year	old
      8 y	rev
      8 www	wired
      8 without	the
      8 with	which
      8 with	an
      8 wired	com
      8 will	not
      8 which	they
      8 whether	an
      8 what	the
      8 what	information
      8 were	more
      8 we	must
      8 violence	in
      8 v	wardlow
      8 v	texas
      8 u	chi
      8 to	sex
      8 to	rely
      8 to	radicalization
      8 to	monitor
      8 to	bring
      8 times	nov
      8 thus	the
      8 this	part
      8 this	data
      8 these	databases
      8 these	data
      8 theories	of
      8 them	as
      8 them	and
      8 their	lives
      8 the	youth
      8 the	us
      8 the	underlying
      8 the	social
      8 the	school
      8 the	requisite
      8 the	relationship
      8 the	records
      8 the	real
      8 the	primary
      8 the	political
      8 the	offense
      8 the	observed
      8 the	majority
      8 the	language
      8 the	impact
      8 the	guardian
      8 the	growth
      8 the	gang
      8 the	field
      8 the	end
      8 the	communities
      8 the	car
      8 the	author
      8 the	area
      8 the	absence
      8 that	person
      8 that	juveniles
      8 than	other
      8 texas	u
      8 terry	stops
      8 suspicion	the
      8 suspect	n
      8 surveillance	n
      8 sufficient	to
      8 stop	the
      8 stop	of
      8 states	n
      8 standards	and
      8 speech	eric
      8 south	asian
      8 social	norms
      8 share	information
      8 sex	offenses
      8 sept	at
      8 sept	am
      8 security	strategy
      8 school	discipline
      8 s	name
      8 rights	reserved
      8 respond	to
      8 regardless	of
      8 regard	to
      8 refers	to
      8 rap	sheets
      8 public	s
      8 public	housing
      8 protections	in
      8 propensity	for
      8 privacy	n
      8 practices	of
      8 potential	to
      8 politics	of
      8 policing	practices
      8 police	discretion
      8 police	citizen
      8 place	and
      8 pattern	matching
      8 or	other
      8 one	study
      8 on	which
      8 on	those
      8 officials	and
      8 officers	are
      8 of	what
      8 of	violent
      8 of	them
      8 of	terry
      8 of	technology
      8 of	surveillance
      8 of	racial
      8 of	race
      8 of	political
      8 of	age
      8 observed	actions
      8 nov	http
      8 noting	the
      8 not	necessarily
      8 neighborhoods	n
      8 necessary	to
      8 national	crime
      8 n	terry
      8 n	second
      8 n	pittman
      8 n	if
      8 n	c
      8 n	b
      8 muslims	n
      8 muslims	in
      8 most	of
      8 members	n
      8 material	support
      8 masa	communities
      8 live	in
      8 liberties	union
      8 lawful	terry
      8 law	s
      8 law	review
      8 laurence	steinberg
      8 latimes	com
      8 last	year
      8 juvenile	courts
      8 justify	the
      8 justification	for
      8 justice	supra
      8 j	dissenting
      8 j	concurring
      8 its	community
      8 it	to
      8 it	does
      8 is	likely
      8 is	difficult
      8 investigations	and
      8 interest	in
      8 increase	the
      8 in	terry
      8 in	schools
      8 in	one
      8 in	data
      8 in	cities
      8 identify	and
      8 housing	and
      8 hot	spots
      8 highlighting	the
      8 hensley	u
      8 heavily	on
      8 have	had
      8 have	also
      8 h	comm
      8 guidelines	for
      8 government	officials
      8 government	and
      8 gov	news
      8 generation	of
      8 franklin	e
      8 for	sex
      8 for	juvenile
      8 for	information
      8 for	data
      8 finding	that
      8 ferguson	predictive
      8 fbi	supra
      8 fbi	memorandum
      8 fbi	and
      8 fbi	agents
      8 fail	to
      8 extremism	in
      8 existence	of
      8 example	in
      8 evaluating	the
      8 entered	into
      8 english	publication
      8 engagement	as
      8 enforcement	must
      8 ellen	nakashima
      8 e	zimring
      8 driver	s
      8 detective	mcfadden
      8 describing	how
      8 describes	the
      8 dec	http
      8 david	a
      8 database	of
      8 data	for
      8 d	d
      8 criminal	and
      8 crimes	in
      8 crime	information
      8 courts	will
      8 counter	radicalization
      8 could	not
      8 consequences	for
      8 communities	of
      8 committee	on
      8 commitment	to
      8 college	of
      8 collect	and
      8 collateral	consequences
      8 city	of
      8 citations	omitted
      8 chief	of
      8 capacity	for
      8 came	to
      8 calif	l
      8 but	instead
      8 both	the
      8 becomes	a
      8 become	the
      8 become	more
      8 be	in
      8 basis	for
      8 background	checks
      8 at	noting
      8 at	https
      8 as	possible
      8 as	much
      8 argues	that
      8 areas	n
      8 are	different
      8 and	those
      8 and	therefore
      8 and	terrorism
      8 and	school
      8 and	operations
      8 and	muslim
      8 and	los
      8 and	information
      8 and	has
      8 and	fear
      8 and	democratic
      8 and	as
      8 amounts	of
      8 american	communities
      8 amendment	rights
      8 amendment	and
      8 also	be
      8 alleged	high
      8 all	rights
      8 acts	of
      8 absence	of
      8 about	to
      8 a	violent
      8 a	two
