of 1 of 1
justice the 1 1
keeps our 1 2
kevin vogel 1 2
key to 1 2
kind of 2 6
kinds of 1 1
know that 1 2
know where 4 1
known as 2 2
known to 1 2
language english 96 13
lapd earlier 1 2
lapd has 1 2
large reduction 1 2
last october 1 1
last week 4 7
last year 10 7
late edition 1 1
later this 1 2
law enforcement 15 6
leaders met 1 6
led the 1 2
led to 6 2
left in 1 1
length words 96 13
less on 1 2
level of 3 1
leveraging technology 1 4
like this 1 2
load date 500 13
local crime 2 1
local length 3 3
locations and 1 4
locations of 3 1
long beach 7 8
longer periods 1 1
look at 6 3
looked at 5 1
looking at 1 2
looking into 4 2
los angeles 1589 28
lot less 1 2
lot of 5 5
lt bernie 1 2
lt mike 2 1
m for 3 4
m pasko 1 2
magazine for 1 2
magazine in 1 2
magazine names 2 3
make it 1 2
many are 1 1
many cities 1 2
many of 2 1
mapping we 1 2
matter of 1 2
may have 1 2
mcclatchy tribune 65 8
mct information 17 2
mct visit 16 2
mctinfoservices com 16 2
media outlets 1 2
medianews group 21 1
meeting with 3 1
members of 2 2
mercury news 2 8
met with 1 6
might be 2 3
might not 1 4
model predicts 1 2
model to 1 8
modern policing 3 2
mohler about 1 6
mohler and 1 10
mohler developed 1 2
mohler in 1 2
months after 1 1
months of 1 5
months the 2 2
more and 1 1
more efficient 2 7
more important 3 4
more information 23 2
more of 16 2
most efficient 2 1
most of 3 2
motor vehicle 1 2
much of 4 2
named among 1 2
named as 1 2
names santa 2 3
nation for 1 2
nation s 4 2
nation to 1 10
new inventions 1 2
new system 2 5
new york 17 6
news all 1 3
news california 7 3
news december 4 1
news january 3 2
news length 47 5
news local 3 4
news november 7 1
news pg 12 2
news with 1 2
newspaper copyright 55 9
newspaper go 1 2
newspaper journal 40 4
newspapers all 1 2
newsstands the 1 2
no one 1 4
no qc 1 4
none other 1 1
not be 2 4
not been 4 1
not the 3 2
not to 1 6
nov issue 1 2
nov santa 1 1
november language 11 2
november wednesday 5 2
now is 1 2
number of 11 2
nytimes com 1 1
occur initially 1 2
of a 46 5
of an 8 4
of by 1 2
of cash 1 1
of crime 4 11
of crimes 3 5
of departments 1 2
of documents 500 13
of doing 2 1
of dollars 1 1
of five 1 2
of implementation 1 2
of increasing 1 2
of it 1 4
of its 6 3
of justice 2 1
of police 3 4
of santa 2 1
of shootings 1 2
of such 1 2
of that 2 2
of the 133 54
of things 1 1
of time 2 3
of two 5 1
of ucla 1 3
of us 1 4
of using 1 1
of where 1 3
off of 1 1
off the 4 4
offered by 16 2
officers are 3 4
officers at 2 2
officers were 4 1
on a 21 3
on abc 1 2
on by 1 2
on crime 1 5
on earthquake 1 2
on his 5 3
on july 2 1
on local 2 1
on patrol 1 4
on property 1 6
on the 70 15
one of 25 11
one was 2 4
only the 1 2
opposed to 1 1
or are 1 1
or three 1 1
or to 3 2
other inventions 1 2
other police 1 2
other than 5 1
others being 1 2
our community 2 2
our predictive 1 2
out and 1 1
out for 2 1
out it 3 2
out of 21 3
out that 2 2
out to 2 1
outlets and 1 2
over a 2 1
overall crime 4 1
p m 24 4
pain of 1 2
part of 11 4
partnering with 1 1
parts of 1 2
pasko santa 1 1
patrol in 1 2
people have 2 2
people out 2 1
people to 1 1
people walk 1 2
people who 1 4
percent drop 2 1
percent in 1 2
percent of 2 2
person is 4 4
pg a 14 1
pg length 16 2
photograph by 1 1
place on 1 1
places and 3 6
plan to 1 1
police agency 3 6
police are 8 9
police arrived 1 1
police chief 10 5
police department 36 29
police departments 8 12
police leaders 1 6
police now 1 4
police officer 2 4
police officers 7 4
police on 1 1
police s 1 1
police said 10 7
police say 4 1
police would 1 1
policing and 2 3
policing has 2 1
policing in 2 6
policing program 6 8
possible to 1 1
praised by 1 2
praised for 1 2
predictability of 1 2
prediction technology 1 2
predictive policing 5 37
predictive program 1 2
predicts that 1 2
prefer to 7 2
prevent it 1 4
previous years 1 2
prior to 1 1
processors and 1 2
professor at 2 6
professor of 1 1
program after 1 2
program and 2 3
program being 1 2
program can 1 2
program has 2 3
program is 1 4
program one 2 2
program s 1 2
program said 1 2
program to 2 6
program was 2 5
program which 3 8
program with 1 2
programs like 1 2
programs that 1 2
promoted to 1 1
property crime 1 2
property crimes 6 10
proud to 2 2
provided by 1 2
provided him 1 2
publication type 96 13
put a 2 2
putting police 1 1
qc copyright 1 4
qc time 1 1
ranks of 2 2
rather than 1 3
re focused 1 2
re going 2 1
re proud 1 2
re the 1 4
read about 1 2
recognized by 2 4
reduction in 2 2
reduction said 1 2
regional news 32 4
releases its 1 2
relies on 1 2
report of 4 1
reports of 1 2
research is 1 2
researchers to 1 3
researchers using 1 2
reserved of 61 7
resources in 1 2
resulted in 1 1
results are 1 1
results to 1 4
rights reserved 465 8
robber s 1 1
robbery and 1 1
s a 16 4
s an 1 5
s crime 5 8
s data 1 4
s degree 1 1
s department 32 2
s dr 1 1
s economic 1 2
s first 1 1
s he 3 1
s method 2 2
s more 1 2
s most 3 1
s new 1 1
s next 1 1
s not 4 5
s police 2 1
s predictive 1 3
s similar 1 2
s siri 1 2
s station 2 1
s the 7 2
s to 3 1
s top 4 2
s very 7 3
s when 2 1
s where 3 2
safer for 1 2
safer the 1 2
said adding 1 1
said but 2 2
said friend 2 5
said george 1 4
said he 18 17
said i 5 3
said if 2 1
said in 8 2
said it 8 10
said load 2 2
said mr 2 2
said of 1 1
said police 2 2
said sgt 1 1
said so 1 2
said starting 1 1
said that 6 8
said the 32 16
said they 4 1
said to 2 2
said we 4 4
said zach 1 5
same period 1 1
same time 4 4
same way 1 2
san bernardino 8 3
san jose 4 6
santa barbara 2 2
santa clara 1 24
santa cruz 14 105
santacruzsentinel com 1 7
sawyer among 1 2
say that 1 1
say they 4 2
says it 1 7
scotts valley 2 4
searching for 1 2
second floor 1 1
section a 3 1
section breaking 5 4
section news 32 3
section section 1 1
section state 33 4
see it 2 2
see more 16 4
seen a 2 5
sentinel calif 1 6
sentinel california 1 4
sentinel of 1 4
sentinel scotts 2 4
serious crime 3 1
served as 2 2
services for 18 2
services load 22 2
services mct 16 2
services offered 17 2
she can 1 1
sheriff s 85 6
shootings and 3 2
shop in 3 1
should be 4 1
shrinking staffing 1 2
similar to 1 2
since the 6 2
since then 1 2
siri d 1 2
six months 3 5
size of 1 2
so called 2 2
so far 4 3
so that 1 4
so we 2 2
so with 1 4
solving a 1 1
some ways 3 4
sort of 1 2
speak to 1 2
spokesman and 1 2
squad cars 1 1
staff writer 7 2
staffing due 1 2
start of 1 1
started testing 1 2
state and 32 4
station in 1 1
stationed in 1 1
stations in 1 1
street as 1 1
subscribe to 1 2
such as 7 4
such inventions 1 2
t happen 2 5
t know 2 3
take over 2 1
taken into 2 2
targeted crime 1 2
team of 2 2
technological programs 1 2
technology based 1 2
technology has 2 2
technology in 1 4
tend to 1 4
testing in 1 2
texas who 1 1
than in 1 2
than most 1 2
than time 1 1
than to 2 3
than we 1 2
that a 2 4
that are 3 3
that area 2 2
that can 2 3
that could 1 1
that crime 5 6
that had 2 2
that he 12 2
that help 1 2
that his 2 1
that i 1 2
that is 2 3
that it 5 4
that keeps 1 2
that led 1 1
that people 3 2
that s 12 7
that since 1 2
that the 17 10
that there 6 4
that they 4 3
that this 1 2
that was 3 1
that we 5 2
the accolades 1 2
the actual 2 2
the arrests 3 2
the bad 1 2
the best 5 2
the city 39 20
the color 1 1
the coming 2 4
the content 17 2
the country 1 6
the coverage 1 2
the crime 22 7
the criminal 3 2
the data 1 5
the day 3 4
the department 12 15
the division 1 2
the drop 1 1
the early 4 3
the economy 1 2
the effect 1 1
the electric 1 2
the end 1 3
the entire 4 2
the field 2 1
the fifth 3 1
the first 18 19
the future 1 3
the gang 5 1
the gap 1 2
the grand 6 1
the head 5 1
the highest 2 5
the idea 1 1
the international 2 1
the ipad 1 2
the it 1 2
the key 3 2
the last 8 2
the location 2 1
the los 65 14
the model 1 2
the most 6 2
the nation 9 10
the national 7 2
the neighborhood 1 4
the new 12 11
the newspaper 2 2
the next 1 4
the nov 1 2
the number 5 2
the numbers 3 1
the officer 3 1
the only 5 4
the other 3 2
the pain 1 2
the parking 3 3
the person 3 4
the police 13 21
the predictability 1 2
the predictive 2 4
the program 12 42
the project 1 5
the ranks 2 2
the research 1 4
the researchers 1 4
the rest 1 2
the results 3 1
the robber 2 1
the robbers 2 1
the s 17 1
the same 12 12
the san 13 2
the santa 3 23
the sheriff 14 3
the size 1 2
the start 1 1
the state 9 2
the targeted 1 4
the task 1 1
the time 3 11
the top 1 2
the two 3 2
the u 5 1
the united 1 1
the university 4 1
the use 3 2
the way 2 2
the weather 1 1
the whole 1 2
the women 1 2
the world 6 1
the worst 1 4
the year 15 5
thefts in 1 2
them up 1 1
then they 1 2
there has 1 1
there is 4 7
there s 11 2
there said 1 2
there was 9 2
there will 2 3
they are 8 4
they had 2 1
they have 1 1
they re 6 4
they should 1 1
they ve 3 3
they were 4 3
thing we 1 1
things that 1 2
think the 1 6
this can 1 2
this is 3 5
this month 1 1
this past 1 1
this week 4 6
this year 7 4
three times 1 2
throughout the 4 2
thursday afternoon 2 1
time and 2 1
time is 1 2
time magazine 4 7
time of 2 1
time releases 1 2
time this 1 2
time to 5 1
times and 1 4
times california 1 2
times company 1 1
times last 1 2
times the 1 2
to a 27 1
to an 3 4
to approach 1 2
to arrest 1 5
to as 1 3
to be 38 19
to become 2 1
to better 1 1
to budget 1 2
to build 1 4
to commit 6 1
to crime 4 2
to determine 6 4
to do 5 3
to draw 1 1
to fight 1 3
to focus 3 1
to have 5 7
to head 1 1
to help 4 5
to http 16 4
to identify 1 1
to include 1 3
to keep 6 2
to know 3 3
to look 4 1
to los 2 1
to members 1 2
to modern 1 2
to police 1 1
to prevent 1 7
to put 3 1
to recognize 1 2
to release 1 1
to return 2 8
to santa 1 6
to see 21 3
to six 1 1
to solve 4 2
to speak 2 2
to start 2 2
to subscribe 1 2
to take 9 1
to talk 1 4
to that 1 1
to the 89 19
to use 3 8
took a 1 1
top inventions 2 4
tribune all 1 2
tribune business 33 4
tribune information 32 4
troubles technological 1 2
try to 1 5
trying to 8 1
turns out 1 2
twitter com 1 2
two or 1 1
type newspaper 95 13
type of 3 2
types which 1 2
u s 7 1
ucla researchers 1 2
unclear why 1 4
under the 5 2
unit to 2 1
united states 1 1
university of 4 1
university s 1 2
up in 1 2
up on 3 1
up with 1 1
url http 405 1
us this 1 2
use of 8 3
use the 4 2
used in 3 1
used to 4 3
uses technology 1 2
using an 1 2
using data 1 2
using the 10 4
valley and 2 1
valley calif 2 4
ve already 1 1
vehicle burglaries 1 4
vehicle thefts 1 2
violent crime 6 2
violent crimes 3 2
visit the 1 2
visit www 17 2
visited lapd 1 2
vogel innovation 1 2
walk again 1 2
walked into 1 1
was a 5 8
was an 1 1
was found 11 2
was implemented 1 2
was instrumental 1 2
was made 1 1
was no 5 1
was praised 1 2
was stationed 1 1
wasn t 1 2
way and 1 2
way that 1 4
way the 1 2
ways it 3 2
ways to 1 2
we are 12 6
we can 2 4
we don 3 6
we have 7 8
we look 1 2
we need 1 2
we re 6 15
we ve 1 4
we will 2 2
wednesday time 1 2
week to 1 2
well as 5 3
were arrested 1 2
were down 3 3
were taken 1 2
what happens 1 2
what s 3 3
what we 1 2
when a 4 2
when and 1 6
when he 6 5
when it 1 8
when one 2 2
when the 9 2
when they 3 2
where a 1 1
where future 1 4
where he 6 6
where i 1 5
where the 3 6
where they 2 2
where to 4 1
which are 1 1
which have 3 4
which includes 3 2
which is 8 10
which it 1 2
which lapd 1 2
which uses 1 2
who enlisted 1 1
who gave 1 1
who had 3 1
who has 2 1
who lives 1 1
who was 10 2
who work 1 1
wife and 2 1
will be 14 15
will continue 2 1
will have 1 1
will occur 1 6
will receive 1 4
will take 4 1
will work 1 2
with a 37 9
with crime 3 9
with diane 1 2
with fewer 1 2
with his 10 1
with mohler 1 6
with shrinking 1 2
with the 28 12
woman was 4 2
words dec 4 1
words jan 3 2
words nov 7 1
words the 2 1
work at 1 4
work out 1 1
work with 2 4
worked in 1 2
worked on 1 3
working with 4 3
works as 1 1
world news 1 2
writer section 6 1
www mctinfoservices 16 2
www nytimes 1 1
www santacruzsentinel 1 4
year and 1 4
year are 1 2
year but 1 2
year in 5 1
year old 42 4
year publication 1 1
year s 2 2
years of 1 11
years time 1 2
yet another 1 2
yet to 2 2
york city 1 1
york times 3 5
you can 5 3
you could 1 4
you know 3 2
you re 7 9
zach friend 1 11
