of 1 of 1
a perspective 1 2
a place 9 1
a point 6 2
a police 68 14
a policing 2 1
a popular 1 1
a post 10 2
a powerful 2 4
a practice 2 1
a prediction 12 1
a predictive 35 3
a primary 3 1
a problem 17 3
a process 6 1
a professional 2 3
a professor 3 2
a profound 1 1
a prominent 2 1
a proxy 2 1
a public 13 1
a punch 2 1
a quick 1 1
a radical 2 2
a range 28 2
a rapid 3 1
a rash 3 2
a rational 1 1
a reactive 3 1
a reality 1 4
a recent 5 3
a recession 3 1
a reflection 1 1
a reform 1 1
a relationship 3 1
a reliable 7 1
a remarkable 1 2
a remarkably 4 1
a replication 1 1
a result 27 2
a review 16 7
a rich 4 1
a robbery 4 1
a robust 2 1
a routine 2 1
a sample 4 2
a santa 3 1
a second 9 2
a self 3 1
a sense 7 2
a serial 2 1
a series 13 2
a set 4 1
a significant 20 5
a similar 17 1
a single 29 4
a situation 1 2
a small 23 4
a software 7 1
a sort 1 1
a special 5 2
a standard 3 2
a still 1 1
a stop 20 1
a street 3 2
a string 1 1
a strong 18 3
a study 23 3
a subsequent 3 1
a substantial 12 3
a success 4 2
a sufficient 6 1
a summary 1 1
a survey 2 5
a suspect 45 1
a sustained 1 1
a system 6 12
a systematic 9 2
a tale 1 1
a team 10 4
a technical 4 2
a technology 1 1
a term 5 1
a test 8 1
a the 6 1
a theoretical 5 1
a theory 11 3
a time 10 7
a timely 2 1
a traditional 6 2
a transformation 1 1
a trend 2 3
a troubled 2 1
a two 6 1
a useful 2 2
a valuable 1 1
a variety 35 8
a very 13 2
a vital 3 1
a way 29 9
a well 2 1
a while 2 1
a whim 1 1
a wide 9 6
a world 3 1
a year 31 6
a young 5 2
ability of 8 2
ability to 68 6
able to 91 8
about arrests 2 1
about crime 4 2
about evidence 7 1
about fighting 2 1
about getting 1 1
about government 1 1
about half 16 1
about how 24 7
about it 6 1
about people 1 1
about percent 20 1
about police 1 3
about predictive 3 4
about some 1 1
about the 99 33
about their 5 1
about this 9 1
about three 4 1
about to 7 1
about two 2 1
about what 11 6
about which 4 2
about who 2 1
abraham n 1 1
absence of 13 6
abstract the 2 1
abuse n 5 1
abuse of 2 3
academics he 3 2
academies press 2 1
academy of 2 8
acc no 10 4
accept its 1 1
accept or 1 1
accept these 1 1
acceptance of 5 2
accessed and 1 1
accessibility and 1 1
accessibility of 1 1
accessible to 3 2
accommodate the 1 1
accomplished on 1 1
accordance with 2 1
according to 38 8
accordingly the 3 1
account for 9 2
account the 1 1
accountability to 2 1
accountable for 2 2
accounted for 2 3
accounting for 1 2
accurate the 1 2
accurately predicted 4 1
accustomed to 3 1
achieve a 2 1
achieve these 2 1
achieved with 1 1
acknowledge that 5 1
acknowledged that 6 1
acquire the 1 2
acquired by 1 1
across america 3 1
across different 1 1
across large 1 1
across the 37 6
act as 4 1
act in 2 1
act on 3 1
acting on 1 1
action in 3 1
action that 4 1
actions that 1 2
actively engaged 1 1
activities are 1 1
activities of 2 2
activities that 1 2
activities to 3 2
activity occurs 1 1
activity of 4 1
actual police 1 1
actually do 2 1
acute sense 2 1
adapt to 4 1
adapted to 1 1
add to 4 1
added police 1 1
added that 15 1
added to 1 1
adding that 5 1
adding to 2 1
addition there 1 1
addition to 21 3
address the 28 2
adds a 2 1
adds to 1 2
adherence to 1 2
adhering to 2 1
administration and 6 1
administration during 1 1
administration of 5 3
administrative duties 1 1
administrative interventions 1 1
administrative policy 1 1
administrative statistics 1 1
adopt a 4 1
adopt and 1 2
adopted and 1 1
adopted to 3 1
adopting the 1 1
adoption of 13 8
advances in 4 3
advantage of 10 4
advocacy of 1 1
affect the 7 1
affecting the 1 2
afford to 3 2
affordable for 1 1
afoot in 1 1
african american 4 1
after a 16 4
after all 6 2
after an 1 2
after crimes 3 2
after reading 2 4
after six 1 2
after the 27 7
after they 3 2
afternoon in 1 2
aftershocks and 2 2
aftershocks from 2 2
again as 1 1
against a 10 1
against police 6 1
against the 27 2
age chicago 1 1
age of 10 6
age the 4 1
agencies also 2 1
agencies and 6 3
agencies are 3 7
agencies around 3 4
agencies as 1 1
agencies but 1 2
agencies especially 1 2
agencies from 3 2
agencies have 10 6
agencies in 7 7
agencies may 1 1
agencies or 3 2
agencies than 2 1
agencies that 6 2
agencies the 1 3
agencies to 8 9
agencies with 2 4
agencies would 1 1
agency in 16 5
agency or 2 2
agenda for 1 1
agents of 1 1
aggressive and 11 1
agree to 2 1
agreement on 1 1
agreements and 1 1
ahead of 8 3
aims to 12 1
akin to 4 1
al and 2 1
al the 13 2
albert j 5 3
alex piquero 1 1
alexander the 1 1
algorithm to 12 1
algorithms or 1 1
algorithms to 6 1
all as 2 1
all aspects 2 1
all be 1 1
all crimes 10 1
all in 5 1
all it 2 2
all kinds 2 1
all of 36 3
all police 6 1
all rights 48 9
all started 1 2
all that 5 1
all these 4 1
all this 6 3
all three 5 3
allacademic com 1 1
allocate resources 5 2
allow the 10 2
allowed to 7 1
allowing the 6 1
allowing them 2 1
allows police 1 1
almost as 1 1
alone they 1 1
along with 24 2
already been 7 2
already in 2 1
already on 1 1
also be 9 1
also by 1 1
also expect 1 1
also for 1 1
also found 2 1
also have 7 1
also how 1 1
also important 3 1
also incur 1 1
also looking 1 2
also provides 2 1
also the 6 1
also to 3 3
also used 5 1
alter the 8 3
alternative ways 1 1
alternatives to 19 2
although a 2 4
although it 2 1
although other 1 1
although some 1 3
although the 26 6
although there 3 8
although these 4 3
amazon about 2 1
ambivalence about 1 2
amendment in 6 1
amendment protections 21 1
america and 1 1
america had 1 1
america have 1 2
america in 1 1
america new 1 1
america s 16 17
america the 1 1
american communities 1 2
american criminal 7 1
american police 4 59
american policing 6 19
american public 2 2
american society 5 3
american sociological 4 3
americans were 1 1
among a 3 2
among american 1 3
among local 1 2
among medium 1 1
among others 1 2
among police 1 14
among some 1 1
among state 2 1
among the 27 3
amount of 31 5
amounts of 16 2
an active 1 1
an actuarial 2 1
an acute 2 1
an additional 9 1
an age 3 6
an algorithm 13 1
an all 1 2
an alternative 12 2
an american 3 2
an analysis 6 1
an annual 1 1
an anthropologist 4 2
an approach 4 1
an appropriate 5 1
an area 46 3
an array 6 3
an article 2 1
an assistant 6 1
an average 21 1
an earlier 7 1
an earthquake 4 5
an effective 4 1
an electrical 1 1
an email 3 2
an emerging 2 4
an empirical 5 3
an entire 3 1
an environment 2 2
an even 1 1
an examination 4 1
an excellent 1 1
an eye 3 1
an impact 3 1
an important 18 2
an impressive 1 2
an in 2 1
an incident 4 1
an increased 4 1
an increasing 3 2
an independent 11 1
an industry 2 4
an initial 5 2
an innovation 1 4
an interest 7 1
an interesting 1 3
an internal 1 2
an international 2 9
an officer 43 8
an ongoing 24 1
an opportunity 22 5
an organization 3 5
an overview 7 1
an percent 2 2
an unusual 2 3
analysis and 19 2
analysis for 9 1
analysis in 8 1
analysis into 3 1
analysis is 10 2
analysis of 57 9
analysis technologies 1 1
analysis the 9 1
analysis these 1 1
analysis to 19 3
analyst for 1 9
analysts at 1 1
analytics that 3 1
analyzed by 2 1
analyzing and 2 2
analyzing data 5 1
and a 74 13
and ability 1 1
and abuse 3 3
and accountability 3 2
and accurate 2 1
and administration 1 2
and administrative 2 7
and agencies 1 1
and agency 1 2
and aggravated 1 1
and aggressive 3 1
and allocate 3 2
and also 6 3
and amazon 4 1
and an 32 4
and analysis 16 2
and another 3 3
and anthony 1 8
and applied 2 2
and appreciation 1 1
and appropriate 1 1
and are 26 2
and arrest 1 1
and arrests 8 1
and as 6 1
and association 2 1
and attitudes 1 1
and australia 1 2
and auto 4 1
and b 1 1
and be 5 1
and become 4 1
and belief 2 1
and beliefs 7 1
and benefits 1 1
and better 4 3
and beyond 1 1
and brown 1 2
and brutality 1 1
and burglars 2 4
and by 11 1
and car 2 2
and career 1 2
and careful 1 1
and certain 2 2
and challenges 8 1
and charles 3 2
and citation 1 1
and collaborate 1 1
and collective 1 1
and commitment 3 1
and communications 1 1
and community 13 14
and comparing 1 1
and competition 1 1
and complex 1 2
and complicated 3 1
and computer 6 1
and conclusions 2 1
and confidential 1 1
and conflict 4 1
and contemporary 1 2
and control 3 8
and controlling 1 1
and counties 3 1
and county 1 1
and court 6 1
and courts 8 1
and crime 37 4
and criminal 26 1
and criminology 5 3
and criticism 1 1
and cultural 3 1
and culture 1 2
and cynthia 1 2
and dale 1 1
and dangerous 1 1
and data 18 2
and david 8 10
and decision 4 1
and delinquency 3 2
and dennis 1 1
and detecting 1 2
and develop 3 1
and developing 2 1
and direction 2 1
and director 1 1
and disorder 6 5
and distinct 1 1
and diverse 1 1
and do 6 2
and early 3 4
and easy 3 1
and eck 1 4
and effective 1 1
and effectiveness 4 2
and efforts 2 2
and elected 1 1
and empirical 4 2
and enduring 1 1
and enforce 1 1
and ethics 1 1
and evaluate 2 1
and evaluation 2 3
and even 39 3
and evidence 11 1
and expanded 4 1
and fairness 1 1
and fear 3 3
and federal 12 5
and file 2 7
and finally 1 2
and find 4 1
and focused 1 1
and for 14 1
and forecasting 1 1
and former 1 1
and found 8 3
and frank 1 1
and from 6 1
and funding 3 1
and gang 3 1
and general 2 1
and get 2 1
and give 1 1
and governance 2 1
and hartnett 1 1
and has 6 4
and he 26 5
and hence 9 3
and high 6 1
and his 25 1
and historical 3 1
and home 6 6
and how 26 23
and i 36 1
and implement 1 1
and implementation 2 4
and implications 1 1
and improve 9 1
and in 52 9
and increased 2 1
and increasing 2 1
and informal 3 1
and information 5 2
and institutionalize 1 1
and instruments 2 1
and intelligence 3 3
and investigative 1 1
and involve 1 1
and it 29 7
and its 34 9
and j 2 3
and james 3 6
and jennifer 1 1
and john 8 1
and judges 4 1
and judicial 3 1
and justice 13 11
and kathleen 1 1
and kevin 1 1
and knowledge 1 1
and l 3 3
and large 2 4
and larger 2 3
and later 7 1
and law 14 7
and lawrence 1 1
and lead 1 1
and leadership 1 1
and led 1 1
and legislative 1 1
and less 11 3
and lieutenants 13 2
and limitations 2 1
and line 1 1
and litigation 1 1
and little 2 1
and local 9 15
and location 16 5
and long 3 10
and longer 1 1
and looking 1 2
and los 33 1
and low 1 2
and lum 2 3
and management 1 14
and many 12 1
and maria 1 2
and martha 1 1
and mary 1 1
and measurement 1 1
and methods 1 4
and michael 3 3
and molly 1 1
and monitor 5 1
and more 37 7
and most 8 3
and much 1 1
and new 13 3
and neyroud 5 5
and norval 8 7
and not 28 6
and observation 1 1
and of 29 2
and officer 1 1
and officers 5 1
and on 13 4
and once 1 1
and one 6 3
and only 2 3
and opportunities 2 1
and order 5 1
and organizational 4 7
and organizations 1 1
and other 157 17
and others 26 4
and outcomes 7 3
and over 4 1
and patterns 5 2
and people 5 1
and percent 5 2
and performance 1 3
and perhaps 5 1
and personal 6 1
and peter 2 2
and place 16 1
and places 1 2
and play 2 1
and police 33 23
and policies 1 1
and policing 3 5
and policy 14 3
and possibly 6 2
and practice 18 12
and practices 6 25
and predict 2 1
and predictive 20 1
and priorities 1 1
and private 8 7
and problem 7 9
and procedures 1 3
and processes 1 3
and professional 6 7
and programs 1 2
and proven 1 1
and provided 2 2
and public 19 7
and punishment 14 1
and quality 5 1
and quantitative 2 1
and rarely 1 1
and reactive 3 1
and real 5 1
and reduce 13 1
and reform 1 2
and regional 9 5
and reliability 3 2
and report 2 1
and reporting 2 1
and reports 1 2
and research 11 6
and researchers 1 2
and respond 5 1
and retain 1 1
and richard 2 3
and robert 3 2
and rural 2 3
and s 6 5
and santa 10 7
and say 1 1
and scholars 5 3
and search 9 1
and second 1 1
and security 8 2
and service 3 4
and shawn 1 1
and significant 3 2
and since 2 2
and so 10 2
and social 37 11
and society 5 13
and solve 6 1
and some 7 5
and sometimes 4 2
and sought 1 2
and spatial 7 1
and specific 1 1
and state 8 1
and strategies 4 2
and street 4 1
and structures 1 1
and success 1 3
and suggested 3 1
and supervisors 12 1
and supervisory 1 1
and support 5 5
and surveillance 4 3
and susan 1 2
and sustain 2 3
and take 2 4
and target 3 1
and technology 9 3
and terrorism 1 1
and tested 1 1
and testing 4 2
and that 69 15
and the 466 77
and thefts 2 1
and their 35 11
and then 38 2
and there 13 2
and these 5 3
and they 41 6
and third 4 1
and this 7 3
and thomas 4 1
and those 13 1
and thrive 1 1
and thus 20 2
and time 15 1
and times 1 9
and timing 1 1
and to 77 16
and tobago 1 2
and took 1 1
and training 5 5
and transparency 4 1
and trends 1 2
and two 3 3
and ultimately 8 1
and undesirable 3 1
and units 2 1
and updated 1 2
and urban 2 2
and use 5 3
and used 6 2
and using 5 3
and usually 4 1
and validity 3 1
and visibility 2 1
and wallman 1 1
and was 9 2
and we 31 6
and weisburd 7 15
and were 7 2
and what 25 2
and when 21 6
and where 18 8
and whether 11 3
and while 3 2
and white 6 1
and why 4 1
and widespread 1 1
and will 11 3
and william 1 2
and windows 1 2
and with 24 8
and within 1 1
and without 4 1
and women 6 1
and working 4 1
and would 6 1
and you 7 1
angeles and 31 9
angeles are 1 1
angeles department 1 2
angeles is 1 2
angeles police 71 5
angeles predictive 1 1
angeles to 1 1
anger management 4 1
annual meeting 1 2
annually in 1 1
another in 1 2
another perspective 1 1
another related 2 1
another way 4 2
answer depends 1 2
answer is 4 1
answer the 5 1
anthony a 5 8
anthropologist jeff 1 2
anticipate crime 1 1
anticipate that 1 4
any given 13 1
any more 14 1
any sort 1 1
any time 1 1
anything but 1 2
anything the 1 1
appear to 15 11
appeared in 3 1
appeared on 1 1
appeared to 3 1
appears that 1 1
appears to 16 4
appellate court 4 3
appellate courts 1 1
appetite for 2 1
apple s 1 2
application of 14 2
applied mathematics 4 4
applied to 13 3
applying them 1 1
appreciate the 3 2
approach and 3 1
approach is 9 1
approach may 8 3
approach one 1 1
approach to 64 6
approach will 1 1
approaches to 18 4
appropriate and 2 2
appropriate time 2 1
are a 27 3
are able 12 1
are actively 1 1
are affected 1 1
are all 5 1
are already 6 2
are also 22 5
are any 1 1
are as 4 1
are asked 4 1
are assigned 1 1
are at 12 4
are available 6 1
are based 4 1
are being 13 5
are best 1 1
are better 1 2
are central 2 1
are changing 1 2
are committed 6 4
are concerned 11 1
are considering 2 1
are creatures 3 1
are distinct 2 1
are due 1 1
are effective 2 1
are encouraged 1 1
are established 1 1
are expected 4 3
are experiencing 2 1
are given 8 3
are growing 1 1
are highly 3 2
are important 1 1
are in 33 1
are increasingly 7 1
are independent 1 1
are intended 2 1
are invested 2 1
are less 6 1
are likely 24 2
are limited 3 2
are making 1 1
are many 8 3
are more 7 8
are necessarily 1 1
are necessary 1 1
are needed 4 1
are not 67 19
are now 10 1
are numerous 3 1
are of 5 3
are often 12 4
are on 7 2
are only 3 1
are other 3 1
are part 3 1
are particularly 3 1
are police 1 1
are positive 1 1
are quite 2 1
are recalibrated 1 2
are relevant 1 2
are reluctant 1 1
are some 5 2
are still 8 2
are subject 6 1
are taken 1 1
are that 9 2
are the 30 8
are thought 1 2
are three 2 1
are thus 1 1
are to 5 1
are trying 1 1
are unable 2 1
are under 13 1
are useful 2 1
are using 10 1
are usually 4 1
are very 8 1
are viewed 1 1
are what 3 1
are worth 1 1
are you 2 1
area and 18 1
area is 5 1
area of 25 1
area that 3 3
area to 3 1
area where 7 2
areas and 25 3
areas are 3 1
areas as 4 1
areas during 1 2
areas in 15 2
areas of 37 1
areas or 3 1
areas that 10 2
areas there 1 1
areas to 3 2
areas where 10 4
arguably the 14 1
argue that 14 2
argued that 12 8
argues that 11 2
argument that 6 1
arguments and 1 1
arise in 1 1
arises as 1 1
armed and 2 1
around for 5 2
around the 41 10
around you 1 1
arrangement works 1 1
arrangements in 1 1
array of 10 4
arrest rates 4 1
arrested for 7 2
arrests but 1 1
arrests for 8 1
arrests the 4 2
arrests were 5 2
article by 1 1
articulated the 1 1
as a 297 34
as an 59 10
as best 1 1
as burglary 4 1
as central 2 1
as community 5 3
as do 2 1
as early 1 2
as especially 1 1
as evidence 9 1
as far 5 1
as follows 2 2
as for 5 1
as generators 1 1
as good 3 2
as has 2 1
as he 12 2
as high 6 1
as homicide 1 1
as hurricanes 1 1
as in 20 3
as increasing 1 1
as information 2 3
as is 4 1
as it 21 3
as its 2 1
as lawyers 3 1
as likely 1 1
as los 3 1
as many 8 4
as minor 1 1
as models 1 1
as more 7 1
as much 19 4
as nearly 1 1
as new 4 2
as of 14 1
as one 24 9
as opposed 6 4
as part 24 2
as patrol 1 1
as police 14 1
as possible 15 1
as predictive 9 2
as reasonable 3 1
as soon 5 1
as surveillance 1 1
as that 1 1
as the 171 33
as their 3 3
as these 4 1
as they 18 3
as this 4 1
as those 5 3
as to 39 5
as valuable 2 1
as visible 3 1
as wal 1 1
as we 11 5
as well 99 16
ascribed to 1 1
aside from 2 1
ask their 2 1
ask what 2 1
asked to 13 1
asks the 1 1
aspect of 13 1
aspects of 16 15
assess and 2 1
assess the 4 2
assess whether 1 1
assessing the 9 3
assessment of 8 3
assessments of 2 3
assigned to 12 7
assist them 2 1
assistance of 2 1
assistant professor 9 8
associated with 60 8
association and 2 2
association in 1 1
association is 1 1
association of 5 4
association with 1 1
associations and 4 2
assuming that 4 1
assuming the 4 1
assumption is 2 2
at a 123 12
at all 35 5
at any 13 1
at best 2 2
at certain 4 1
at george 3 1
at hand 5 2
at headquarters 1 1
at highest 2 2
at it 2 2
at its 4 1
at large 7 1
at least 70 18
at more 2 2
at much 2 1
at no 1 4
at officers 1 1
at once 1 1
at one 7 1
at p 2 4
at risk 22 3
at roll 2 3
at santa 3 8
at the 287 34
at their 4 1
at these 3 2
at twitter 2 2
at ucla 8 4
at work 15 2
at www 9 2
attached to 6 2
attacks on 1 2
attacks such 1 1
attempt to 32 5
attempted to 8 3
attempting to 6 4
attempts to 15 5
attend to 5 4
attending community 1 1
attention from 3 2
attention in 5 1
attention is 1 1
attention on 3 1
attention to 24 2
attitudes toward 3 1
attorneys and 2 1
attributable to 2 4
august language 7 4
august sunday 1 1
august the 2 1
authoritarian governments 1 1
authority of 2 1
authors found 1 1
auto theft 8 2
auto thefts 2 3
automatic vehicle 1 1
availability of 12 4
available and 9 1
available data 2 1
available empirical 3 1
available evidence 3 2
available it 1 1
available police 1 1
available research 2 1
available technology 1 1
available the 1 2
available to 11 4
average number 1 1
average of 20 1
avoid the 9 1
aware of 7 1
awareness of 2 1
away from 28 2
b l 1 1
b police 1 3
b some 1 1
b the 3 1
back in 6 1
bad guys 3 2
bag of 1 1
based analysis 2 1
based approach 9 1
based college 1 1
based culture 1 1
based in 4 1
based largely 1 1
based on 170 20
based police 2 1
based policing 34 3
bases of 4 1
basic books 1 2
basic ways 1 1
basis for 30 1
basis of 39 2
basis to 4 1
baxter santa 1 3
be a 75 8
be able 31 2
be accomplished 2 3
be achieved 3 2
be adapted 1 1
be all 2 1
be associated 1 2
be assumed 1 1
be attributable 1 2
be back 2 1
be careful 1 2
be changing 1 1
be controlled 1 1
be correlated 1 1
be difficult 6 1
be downloaded 1 1
be easier 1 1
be easy 1 1
be especially 2 2
be evaluated 2 2
be expected 3 2
be explained 4 1
be exploited 1 1
be first 1 2
be for 2 2
be held 3 1
be hit 1 2
be important 1 1
be in 16 2
be influenced 3 1
be insufficient 2 2
be judged 1 1
be less 6 3
be made 10 2
be months 1 2
be more 24 3
be most 3 3
be much 3 2
be no 3 1
be obvious 1 1
be of 1 1
be on 2 2
be only 1 2
be our 1 2
be perceived 1 1
be positive 3 2
be pursued 1 1
be required 11 1
be said 4 2
be selected 2 1
be so 5 2
be some 3 1
be something 1 1
be subjected 3 1
be sufficient 5 1
be sufficiently 1 1
be surprised 11 1
be sustained 1 1
be that 7 7
be the 36 13
be to 6 2
be tough 1 1
be treated 3 1
be tweaked 1 2
be understood 5 1
be used 45 3
be useful 11 1
be where 1 1
be widely 2 1
be willing 1 1
beach police 11 4
beat cops 1 1
beat officers 6 1
beats and 3 1
beats or 1 1
became more 1 2
became the 15 2
because as 1 2
because he 18 1
because it 26 3
because of 44 7
because the 43 3
because they 32 7
because this 1 1
beck and 1 3
become a 19 1
become increasingly 3 1
become less 1 1
become more 8 1
become part 1 1
been a 13 3
been accomplished 1 1
been around 4 2
been conducted 1 1
been designed 1 1
been developed 4 1
been directed 1 1
been done 6 3
been forced 2 1
been given 3 1
been in 18 1
been made 4 2
been promoted 1 1
been quite 1 2
been reported 2 1
been studied 1 1
been subject 1 1
been the 6 5
been to 2 3
been used 5 4
been using 5 2
been widely 1 3
before each 3 4
before he 2 1
before the 35 5
before their 1 1
before there 5 1
before they 19 1
before turning 3 1
before we 1 1
began as 1 1
began to 8 4
began using 3 1
beginning in 6 1
begins with 4 1
begun to 8 1
behavior and 11 1
behavior by 3 1
behavior in 6 1
behavior the 2 2
behavior these 1 1
being a 2 1
being able 4 1
being developed 3 1
being far 3 1
being recognized 2 2
being the 4 2
belief that 11 6
beliefs and 1 5
benefit from 2 4
benefits of 6 1
berkeley university 1 2
bernard e 8 1
best a 1 1
best and 1 1
best available 2 1
best course 1 1
best for 1 1
best inventions 2 2
best practices 5 1
best suited 2 1
better equipped 1 1
better than 6 2
better understand 3 2
better understanding 1 1
between a 6 1
between and 15 4
between police 1 3
between public 1 1
between the 30 14
between them 1 2
between these 1 2
between when 1 2
beverly hills 1 1
beyond a 2 1
beyond the 20 2
bias that 1 2
biases in 1 1
big city 11 4
biggest challenge 2 1
bits of 9 1
bittner the 1 1
black and 10 1
blue ribbon 11 1
blumstein alfred 1 1
blumstein and 1 2
body of 11 11
boon or 1 1
boston globe 1 1
boston little 1 3
both cases 2 2
both in 1 1
both its 1 1
both police 3 1
both the 22 2
bounds of 1 1
boxes of 1 1
braga and 2 5
braga anthony 2 1
branches of 2 1
brantingham and 1 2
bratton and 4 2
bratton said 2 1
bratton the 4 1
bratton who 3 1
bratton william 1 3
break in 2 4
break ins 3 2
breaking news 2 2
brief history 1 1
brief washington 1 1
bring with 1 1
bringing the 2 2
british journal 2 1
broad and 3 1
broken into 1 4
broken windows 68 4
brought to 13 1
brought with 3 1
brown calling 1 1
brown the 2 1
bryant and 3 1
budget and 13 1
budget cuts 21 2
buerger michael 1 1
building a 12 1
building and 1 1
built in 1 1
bulletin ontario 2 1
bureau of 17 10
burglar is 1 1
burglaries and 12 10
burglaries in 10 3
burglaries that 1 1
burglaries to 1 3
burglaries vehicle 2 4
burglars often 1 4
burglary car 1 2
burglary investigation 1 1
bushway preventing 1 1
business administration 1 1
business and 3 1
business in 1 1
business length 1 1
business news 10 4
business with 1 1
businesses and 2 2
businesses to 1 1
but a 6 2
but also 34 5
but as 4 4
but at 1 1
but be 1 1
but by 6 3
but cf 4 1
but even 2 3
but eventually 1 1
but for 9 1
but he 4 1
but i 8 2
but if 8 4
but in 13 2
but is 1 2
but it 43 7
but less 1 1
but limited 1 1
but many 5 1
but most 1 1
but no 4 1
but of 2 1
but on 2 1
but one 4 1
but only 3 1
but others 1 4
but perhaps 2 3
but predictive 1 1
but rather 12 12
but some 5 1
but that 10 4
but the 64 20
but there 9 4
but these 2 2
but they 17 6
but this 12 2
but those 2 1
but to 13 3
but was 2 1
but we 12 7
but what 6 3
but when 4 1
but with 8 1
buying habits 1 2
by a 84 17
by analyzing 2 2
by and 7 2
by applying 5 1
by attending 1 1
by case 4 3
by collaborating 1 1
by community 1 3
by comparison 3 1
by conventional 2 1
by creating 3 1
by doing 1 1
by elected 2 1
by enabling 3 1
by encouraging 1 1
by establishing 1 1
by existing 1 1
by external 1 1
by far 4 1
by federal 3 3
by feet 3 2
by giving 2 1
by his 4 2
by influencing 2 1
by it 4 1
by its 6 1
by james 2 1
by joseph 1 2
by law 5 1
by local 3 2
by lum 1 1
by many 4 1
by matching 2 1
by maurice 1 4
by mcclatchy 10 8
by mct 10 2
by michael 14 11
by mike 2 2
by monitoring 1 1
by no 4 1
by officers 1 1
by people 1 1
by police 25 5
by predicting 3 1
by professors 1 1
by requiring 1 1
by research 2 1
by seeking 3 1
by state 5 2
by the 307 38
by their 15 3
by these 7 2
by those 8 1
by time 3 7
by type 1 1
by what 4 1
by which 7 5
byline by 12 7
byline stephen 1 3
c and 2 2
c j 3 1
c police 1 1
c santa 1 2
c the 7 4
ca rand 1 1
ca stanford 1 1
calif at 4 2
calif section 4 4
calif visit 4 2
california distributed 4 4
california july 2 2
california press 1 2
call for 4 4
call meetings 1 4
call which 1 1
called after 1 2
called for 6 2
called predictive 3 4
calling the 3 1
calls for 23 14
calls to 8 1
cambridge ma 4 9
cambridge university 9 10
came from 2 2
came to 10 1
came up 5 1
cameras and 3 1
cameras in 1 1
can afford 1 2
can all 1 1
can also 9 3
can anticipate 1 2
can be 190 19
can do 16 2
can focus 1 1
can get 4 2
can have 8 2
can help 18 2
can identify 6 1
can it 1 3
can lead 7 2
can make 12 2
can monitor 1 1
can offer 2 1
can police 2 3
can produce 2 1
can provide 7 1
can put 2 1
can quickly 1 1
can reduce 6 1
can say 3 1
can see 1 2
can set 1 1
can t 24 3
can tell 2 4
can use 12 1
can vary 1 1
can we 8 1
candidates for 5 1
cannot afford 2 2
cannot be 14 1
capacities of 4 1
capacity of 8 5
capacity to 14 12
capt sean 2 2
captain and 1 1
capture the 1 1
captured by 1 1
car and 11 8
car break 1 2
car burglaries 6 5
car for 2 4
car thefts 10 2
care about 7 2
care to 2 1
career advancement 1 1
careers of 1 1
careful attention 1 1
careful to 1 1
carried out 8 1
cars and 5 1
cars or 1 1
case basis 1 2
case by 4 3
case for 11 1
case it 1 1
case of 15 3
case study 19 2
cases involving 5 1
cases it 1 1
