of 1 of 1
a test 21 1
a the 19 1
a theoretical 9 1
a theory 24 3
a this 1 1
a time 35 7
a timely 7 1
a traditional 8 2
a transformation 4 1
a treatise 1 1
a trend 1 3
a tuch 1 1
a two 15 1
a useful 10 2
a valuable 6 1
a variety 38 8
a very 41 2
a view 3 2
a violence 2 1
a viral 1 1
a vital 1 1
a way 59 9
a well 10 1
a while 1 1
a wide 46 6
a workplace 1 1
a world 24 1
a year 46 6
a young 29 2
a zero 3 1
ability of 28 2
ability to 131 6
able to 149 8
about alleged 3 1
about american 3 1
about arrests 4 1
about crime 10 2
about e 1 1
about fighting 3 1
about government 1 1
about half 3 1
about how 46 7
about it 20 1
about past 4 1
about people 11 1
about percent 8 1
about places 1 4
about police 12 3
about predictive 5 4
about some 2 1
about such 4 1
about terrorism 1 1
about the 286 33
about their 26 1
about this 7 1
about three 4 1
about to 24 1
about two 2 1
about using 2 2
about what 30 6
about which 8 2
about who 2 1
abraham n 1 1
absence of 54 6
abuse n 6 1
abuse of 9 3
abuses of 5 1
academy of 4 8
acc no 4 4
acceptance of 6 2
accessed and 1 1
accessibility of 2 1
accessible to 6 2
accomplished by 5 1
accomplishing a 1 1
accordance with 4 1
according to 149 8
accordingly the 5 1
account for 33 2
account the 6 1
accountability but 4 2
accountability systems 4 1
accountability to 5 1
accountable for 6 2
accounted for 8 3
accounting for 8 2
accurate as 4 2
accurate it 2 1
accurate the 2 2
accurately predicted 2 1
accustomed to 9 1
achieve a 4 1
achieved in 1 2
achieved with 1 1
achieving this 1 1
acknowledge that 4 1
acknowledge the 6 2
acknowledged that 11 1
acquired by 1 1
across departments 3 1
across different 2 1
across jurisdictions 2 1
across the 103 6
act as 14 1
act in 12 1
act on 6 1
acting on 6 1
action in 5 1
action that 6 1
actions may 1 1
actions taken 2 1
actions that 8 2
actions with 2 1
activities are 4 1
activities at 1 1
activities of 12 2
activities or 3 1
activities that 2 2
activity of 5 1
actual police 1 1
actual practice 1 1
actually do 2 1
actually increase 1 1
actually occurred 1 1
actuarial age 5 1
adapt to 3 1
adapted from 2 1
adapted to 3 1
add to 2 1
added new 1 1
added police 3 1
added that 2 1
added to 7 1
adding that 6 1
addition there 3 1
addition to 46 3
additional percent 1 1
address the 41 2
adhere to 7 2
adherence to 4 2
adhering to 4 1
administration and 5 1
administration of 12 3
administration or 1 1
administrative actions 2 1
administrative duties 1 1
administrative matters 1 1
administrative policy 2 1
administrative staff 1 1
administrative tasks 2 1
adopt a 6 1
adopt an 2 1
adopt and 2 2
adopt it 1 1
adopt them 1 1
adopted and 5 1
adopted because 2 1
adopted community 1 1
adopting the 3 1
adopting this 1 1
adoption and 2 2
adoption of 27 8
advance their 1 1
advanced software 2 1
advanced to 3 1
advances in 29 3
advancing the 1 1
advantage of 21 4
advocacy of 1 1
affect police 2 1
affect the 16 1
affecting the 4 2
affirmative action 15 1
afflicted with 1 1
afford to 6 2
affordable for 1 1
afoot in 1 1
african american 113 1
after a 26 4
after all 23 2
after an 6 2
after the 116 7
after they 5 2
after two 3 1
afternoon in 1 2
again as 1 1
against a 17 1
against police 12 1
against prediction 7 1
against the 59 2
age of 44 6
age the 4 1
agencies also 2 1
agencies and 34 3
agencies are 26 7
agencies around 2 4
agencies as 1 1
agencies do 2 2
agencies even 1 1
agencies from 4 2
agencies have 17 6
agencies in 17 7
agencies like 2 1
agencies may 7 1
agencies not 1 2
agencies of 2 1
agencies surveyed 1 1
agencies that 9 2
agencies the 11 3
agencies they 2 1
agencies throughout 3 2
agencies to 35 9
agencies washington 1 2
agencies what 1 1
agencies with 6 4
agencies would 4 1
agency in 5 5
agency leaders 1 1
agency or 2 2
agency we 1 1
agenda for 1 1
agents of 8 1
aggravated assaults 2 1
aggressive and 1 1
aggressive enforcement 3 1
ago the 3 1
agree to 3 1
agreement on 3 1
agreements and 6 1
agreements often 1 1
ahead of 3 3
aims to 22 1
air force 8 1
akin to 15 1
al the 25 2
al we 1 1
albert j 4 3
alert to 1 1
alex piquero 2 1
alexander the 7 1
alfred blumstein 3 1
algorithm to 16 1
algorithms has 1 2
algorithms or 3 1
algorithms to 50 1
alienation and 1 1
all american 2 1
all as 2 1
all aspects 6 1
all at 2 1
all be 2 1
all been 3 2
all clear 1 2
all good 1 1
all in 12 1
all instances 2 1
all is 2 1
all it 3 2
all kinds 2 1
all levels 5 1
all measures 2 1
all of 119 3
all others 2 1
all police 5 1
all respondents 1 1
all rights 50 9
all seeing 3 1
all started 1 2
all sworn 1 1
all that 11 1
all these 4 1
all this 5 3
all three 5 3
allen et 1 1
allocate resources 9 2
allow people 1 1
allow the 12 2
allowed to 11 1
allowing the 7 1
allowing them 2 1
allows police 2 1
almost as 4 1
almost exclusively 4 1
alone they 2 1
along to 1 2
along with 32 2
already been 15 2
already familiar 2 1
already in 17 1
already made 1 1
already on 1 1
already seen 2 1
also be 56 1
also by 3 1
also focused 3 1
also for 6 1
also found 8 1
also from 3 1
also have 15 1
also help 9 2
also important 2 1
also include 5 1
also many 1 1
also produced 1 1
also provides 7 1
also require 3 1
also the 9 1
also to 18 3
also used 3 1
also want 1 1
also weisburd 1 1
also with 3 1
alter the 11 3
altered policing 1 2
altering the 4 2
alternative policing 2 1
alternatives to 4 2
although a 6 4
although community 1 2
although in 2 1
although it 18 1
although some 4 3
although the 33 6
although there 5 8
although these 4 3
although this 8 1
amazon about 3 1
ambivalence about 1 2
amendment in 6 1
amendment protections 20 1
america and 2 1
america by 3 1
america in 1 1
america is 2 2
america s 26 17
america the 8 1
america to 1 1
american academy 2 5
american cities 13 1
american communities 18 2
american criminal 5 1
american cultural 1 1
american experience 1 2
american journal 2 1
american police 11 59
american policing 21 19
american political 1 2
american public 3 2
american society 10 3
americans were 3 1
among a 4 2
among american 1 3
among officers 3 5
among others 7 2
among police 7 14
among precincts 1 1
among reformers 1 1
among some 2 1
among the 39 3
among their 1 1
amount of 103 5
amounts of 44 2
an active 11 1
an actuarial 5 1
an acute 1 1
an additional 9 1
an administrative 6 1
an aftershock 2 2
an age 5 6
an algorithm 79 1
an all 4 2
an alternative 36 2
an american 5 2
an analysis 33 1
an annual 3 1
an approach 16 1
an appropriate 7 1
an area 51 3
an array 10 3
an article 2 1
an assessment 7 1
an assistant 3 1
an average 14 1
an earlier 5 1
an earthquake 3 5
an effective 11 1
an email 5 2
an emerging 8 4
an empirical 10 3
an entire 7 1
an entirely 5 1
an entity 3 1
an environment 7 2
an ethical 1 1
an even 12 1
an examination 9 1
an excellent 5 1
an eye 6 1
an impact 1 1
an important 47 2
an impressive 3 2
an improvement 3 1
an in 7 1
an incident 8 1
an increased 5 1
an increasing 4 2
an independent 14 1
an indicator 3 1
an industry 1 4
an initial 8 2
an innovation 1 4
an innovative 1 1
an interest 4 1
an interesting 3 3
an internal 10 2
an international 1 9
an invisible 1 1
an occupation 1 2
an officer 101 8
an ongoing 8 1
an opportunity 20 5
an organization 9 5
an outstanding 7 1
an overview 13 1
an percent 2 2
an unusual 2 3
analysis a 7 1
analysis and 30 2
analysis data 2 1
analysis for 3 1
analysis in 15 1
analysis into 2 1
analysis is 13 2
analysis of 133 9
analysis the 5 1
analysis these 1 1
analysis to 19 3
analysis unit 1 2
analyst for 3 9
analyst the 1 3
analysts at 1 1
analysts who 2 1
analytic and 1 1
analytic capacity 1 1
analytics for 2 1
analytics that 1 1
analyzed by 5 1
analyzing and 2 2
analyzing data 3 1
and a 181 13
and abroad 3 1
and abuse 7 3
and abusive 2 3
and acceptance 3 1
and accountability 27 2
and accurate 8 1
and acting 2 1
and actively 3 1
and activities 10 1
and add 3 1
and additional 5 1
and administration 1 2
and administrative 15 7
and affirmative 2 1
and agencies 7 1
and agency 2 2
and aggressive 2 1
and allocate 2 2
and also 12 3
and although 3 2
and amazon 4 1
and ambiguous 1 1
and an 27 4
and analysis 41 2
and another 8 3
and anything 1 1
and appellate 1 1
and applied 5 2
and appropriate 2 1
and are 48 2
and arrest 12 1
and arrests 24 1
and as 43 1
and assess 6 2
and assessing 1 1
and association 1 1
and attitudes 2 1
and b 1 1
and bargaining 4 1
and bayley 1 2
and be 10 1
and become 14 1
and being 3 1
and beliefs 2 1
and benefits 22 1
and better 9 3
and beyond 10 1
and blacks 3 1
and both 3 2
and bratton 2 1
and brian 1 1
and brown 5 2
and businesses 4 1
and by 26 1
and c 1 1
and call 2 1
and car 1 2
and careful 3 1
and cellular 2 1
and certain 3 2
and challenges 5 1
and change 6 8
and changes 4 3
and charles 1 2
and circumstance 1 1
and citation 2 1
and collaborate 2 1
and colleagues 9 2
and collective 10 1
and coming 3 1
and commitment 1 1
and communication 12 1
and communications 5 1
and community 85 14
and comparing 3 1
and competing 1 1
and competition 4 1
and complaints 2 1
and complex 7 2
and complexity 1 2
and compstat 1 1
and computer 6 1
and computerized 1 1
and concern 1 1
and confidential 1 1
and conflict 2 1
and consequential 1 1
and constraints 3 1
and contemporary 1 2
and control 31 8
and controlling 1 1
and convincing 1 1
and coordination 4 1
and corrective 1 1
and counties 2 1
and county 6 1
and court 25 1
and courts 29 1
and crime 46 4
and crimes 2 1
and criminal 49 1
and criminology 2 3
and cultural 10 1
and culture 3 2
and cutting 1 1
and dangerous 8 1
and data 57 2
and david 9 10
and decision 11 1
and delinquency 2 2
and depending 2 1
and detect 1 1
and detecting 5 2
and develop 7 1
and developing 1 1
and directed 1 1
and direction 3 1
and director 1 1
and disorder 20 5
and distinct 2 1
and diverse 4 1
and diversity 1 2
and do 19 2
and early 11 4
and easy 2 1
and education 11 6
and edward 1 2
and effective 5 1
and effectiveness 6 2
and effort 1 1
and efforts 1 2
and elected 1 1
and empirical 8 2
and enduring 2 1
and energy 1 1
and enforce 3 1
and enforcing 1 1
and engaging 1 2
and error 6 2
and evaluate 4 1
and evaluation 4 3
and even 74 3
and evidence 12 1
and expensive 1 1
and extent 4 5
and fairness 6 1
and falling 1 1
and fear 16 3
and federal 30 5
and females 1 1
and file 161 7
and finally 8 2
and find 7 1
and finding 7 1
and follow 4 1
and for 27 1
and forecasting 1 1
and former 4 1
and found 17 3
and frank 2 1
and friend 1 2
and from 12 1
and functional 2 1
and gang 18 1
and gave 2 4
and general 5 1
and get 5 1
and give 6 1
and govern 1 1
and governance 2 1
and habits 1 1
and has 51 4
and he 13 5
and health 5 2
and hearing 3 1
and hence 5 3
and here 3 1
and high 7 1
and his 25 1
and historical 6 1
and home 5 6
and homeland 7 4
and hostile 1 1
and how 64 23
and huo 3 1
and i 36 1
and implement 5 1
and implementation 7 4
and implementing 8 2
and implications 6 1
and improve 11 1
and improving 3 2
and in 139 9
and increased 7 1
and increasing 4 1
and influence 8 1
and informal 7 1
and information 33 2
and institutionalization 2 2
and institutionalize 1 1
and intelligence 21 3
and interpersonal 3 1
and investigative 3 1
and investing 2 1
and involve 1 1
and isolation 2 1
and israel 1 2
and it 108 7
and its 132 9
and j 2 3
and james 2 6
and jeffrey 1 2
and john 3 1
and johnson 2 3
and jones 2 1
and joshua 1 1
and judges 40 1
and judicial 8 1
and just 8 1
and justice 16 11
and kevin 1 1
and knowledge 8 1
and l 2 3
and large 6 4
and larger 1 3
and later 8 1
and latino 21 1
and law 77 7
and lawrence 1 1
and lead 5 1
and leaders 2 1
and leadership 3 1
and least 1 1
and legislative 3 1
and legitimacy 15 1
and less 18 3
and limitations 4 1
and line 5 1
and litigation 1 1
and little 1 1
and local 88 15
and location 5 5
and long 15 10
and looking 1 2
and los 19 1
and low 2 2
and lower 4 1
and lum 1 3
and major 3 2
and management 12 14
and many 21 1
and maria 1 2
and marie 2 5
and mark 3 2
and measurement 1 1
and measuring 1 1
and medium 2 1
and meeting 2 1
and members 4 1
and methods 11 4
and michael 2 3
and middle 2 1
and military 3 1
and monitor 10 1
and moore 2 5
and morality 2 1
and more 98 7
and most 18 3
and motivation 3 2
and motor 2 2
and much 6 1
and murphy 5 1
and new 34 3
and not 48 6
and numerous 1 1
and observation 3 1
and occupational 1 2
and of 22 2
and officer 7 1
and officers 9 1
and on 27 4
and one 21 3
and only 10 3
and open 7 1
and operate 1 1
and operational 4 1
and operations 11 2
and opportunities 4 1
and order 25 1
and organization 3 2
and organizational 6 7
and organizations 6 1
and other 235 17
and others 27 4
and outcomes 9 3
and outside 12 3
and over 4 1
and oversight 13 1
and passing 2 1
and patrick 1 1
and patrol 4 1
and patterns 4 2
and people 15 1
and percent 5 2
and perceptions 5 2
and performance 3 3
and perhaps 34 1
and personal 3 1
and pervasive 1 1
and peter 2 2
and philip 1 1
and place 11 1
and places 7 2
and play 2 1
and police 110 23
and policies 15 1
and policing 32 5
and policy 50 3
and politicians 4 2
and possibly 1 2
and post 9 1
and practice 34 12
and practices 26 25
and predict 13 1
and predictive 30 1
and preparedness 3 1
and principles 2 1
and priorities 1 1
and private 40 7
and problem 8 9
and procedures 17 3
and processes 8 3
and processing 7 3
and professional 1 7
and professionalism 2 2
and programs 8 2
and promote 5 2
and provided 1 2
and public 55 7
and punished 4 2
and punishing 5 1
and punishment 13 1
and quality 8 1
and quantitative 4 1
and radical 1 1
and rarely 2 1
and real 3 1
and recommended 1 1
and recovery 2 1
and reduce 7 1
and reform 6 2
and regional 9 5
and rejected 1 1
and reliability 6 2
and remote 1 1
and report 5 1
and reporting 11 1
and reports 2 2
and research 4 6
and researchers 4 2
and respond 16 1
and results 2 2
and retain 4 1
and review 7 1
and reviewed 1 1
and rewarded 1 1
and richard 3 3
and robert 1 2
and ronald 1 1
and runs 2 1
and s 29 5
and santa 1 7
and say 1 1
and scholars 7 3
and screen 6 1
and search 5 1
and second 4 1
and section 3 1
and security 26 2
and select 1 1
and selection 2 1
and service 6 4
and setting 1 1
and sharing 9 3
and shot 1 2
and significant 7 2
and since 1 2
and skeptical 1 1
and skill 1 1
and small 5 2
and so 27 2
and social 106 11
and society 10 13
and socioeconomic 5 1
and solve 5 1
and some 32 5
and sometimes 21 2
and sought 3 2
and sound 3 1
and spatial 4 1
and special 2 2
and specific 6 1
and spooks 1 1
and starts 1 1
and state 36 1
and strategic 7 1
and strategies 8 2
and street 4 1
and structural 14 2
and structures 3 1
and styles 1 2
and success 3 3
and successfully 2 1
and supervisors 2 1
and support 9 5
and surveillance 18 3
and sustain 3 3
and systems 2 2
and tactics 7 2
and tailor 1 4
and take 8 4
and target 4 1
and technical 5 1
and technocratic 1 1
and technologies 6 1
and technology 18 3
and terrorism 9 1
and terrorist 2 4
and test 3 1
and tested 1 1
and testing 2 2
and that 150 15
and the 1338 77
and their 82 11
and then 111 2
and there 18 2
and these 15 3
and they 51 6
and third 3 1
and this 22 3
and those 24 1
and thus 77 2
and time 16 1
and times 2 9
and timing 2 1
and timothy 2 2
and to 122 16
and took 3 1
and trace 1 1
and training 13 5
and transparency 34 1
and trends 5 2
and try 1 4
and two 6 3
and ultimately 6 1
and unexpected 1 1
and updated 2 2
and urban 7 2
and use 26 3
and used 7 2
and users 1 1
and using 14 3
and validity 2 1
and value 4 1
and vulnerable 3 1
and walter 1 1
and warrantless 1 1
and was 18 2
and washington 6 1
and ways 2 1
and we 24 6
and were 7 2
and what 56 2
and when 39 6
and where 33 8
and whether 18 3
and while 12 2
and white 15 1
and why 22 1
and widespread 1 1
and will 16 3
and windows 1 2
and with 33 8
and within 6 1
and without 7 1
and witnesses 3 1
and women 10 1
and working 11 1
and would 16 1
and you 5 1
angeles and 17 9
angeles are 2 1
angeles is 3 2
angeles police 58 5
angeles times 5 5
angeles to 4 1
annals of 1 5
anne marie 1 1
annual meeting 6 2
annually in 3 1
another in 2 2
another is 5 2
another look 1 1
another set 1 1
another way 7 2
answer is 13 1
answer the 3 1
anthony a 12 8
anthony braga 1 1
anthropologist jeff 2 2
anticipate crime 1 1
anticipate that 2 4
any given 18 1
any more 7 1
any sort 2 1
any time 9 1
anything but 6 2
anything he 1 1
anything that 12 1
anything the 2 1
appeal the 1 1
appear more 1 1
appear to 42 11
appeared in 2 1
appeared on 3 1
appeared to 4 1
appears not 2 2
appears that 3 1
appears to 37 4
appellate court 2 3
appellate courts 2 1
appetite for 3 1
apple s 2 2
application of 33 2
applications of 21 1
applications the 2 1
applications to 4 1
applied to 30 3
apply them 1 1
appreciate the 1 2
appreciation for 1 1
apprehension of 1 1
approach and 4 1
approach is 16 1
approach to 83 6
approaches for 3 1
approaches to 23 4
approval of 6 1
approximately feet 1 2
approximately one 2 2
archives and 3 1
are a 33 3
are able 18 1
are actively 1 1
are actually 7 1
are added 1 1
are affected 2 1
are all 17 1
are already 30 2
are also 54 5
are any 1 1
are as 5 1
are asked 4 1
are at 28 4
are attributable 1 1
are available 7 1
are based 23 1
are becoming 8 3
are being 46 5
are best 4 1
are better 3 2
are building 3 1
are central 2 1
are challenged 1 1
are changing 1 2
are clear 1 1
are committed 3 4
are concerned 6 1
are considering 1 1
are costly 2 1
are creatures 3 1
are customized 1 1
are determined 1 1
are distinct 5 1
are distributed 3 1
are due 3 1
are effective 1 1
are established 6 1
are expected 4 3
are experiencing 1 1
are exposed 1 1
are few 3 1
are given 4 3
are giving 3 2
are grateful 1 1
are growing 1 1
are hampered 1 1
are highly 6 2
are implemented 4 1
are important 15 1
are in 49 1
are increasingly 20 1
are institutionalized 1 1
are investing 1 1
are left 2 1
are less 33 1
are likely 42 2
are limited 6 2
are making 10 1
are many 14 3
are members 5 1
are more 119 8
are necessarily 5 1
are necessary 6 1
are needed 3 1
are neither 1 2
are not 209 19
are now 34 1
are numerous 1 1
are of 11 3
are often 43 4
are on 12 2
are one 2 1
are only 12 1
are other 2 1
are part 6 1
are particularly 14 1
are poised 2 4
are police 3 1
are policed 5 1
are predicted 4 1
are quite 4 1
are reasons 1 1
are regarded 1 1
are relevant 6 2
are reluctant 2 1
are shaped 2 1
are shared 5 1
are simply 7 1
are some 9 2
are still 14 2
are strongly 2 1
are subject 17 1
are substantial 1 1
are taken 1 1
are targeted 4 1
are targets 1 1
are that 2 2
are the 86 8
are therefore 3 1
are thought 2 2
are three 6 1
are thus 7 1
are to 15 1
are trying 7 1
are typically 13 1
are ultimately 2 1
are unable 7 1
are under 14 1
are useful 4 1
are using 15 1
are usually 9 1
are very 9 1
are viewed 3 1
are virtually 1 1
are ways 2 1
are what 1 1
are willing 3 2
are working 12 2
are worth 3 1
are you 8 1
area and 18 1
area is 11 1
area of 21 1
area that 7 3
area to 4 1
area where 2 2
areas and 13 3
areas are 3 1
areas as 8 1
areas during 2 2
areas in 14 2
areas of 52 1
areas that 9 2
areas there 1 1
areas thus 1 1
areas to 4 2
areas where 14 4
arena in 1 1
arguably the 4 1
argue that 37 2
argued that 45 8
argues that 36 2
argument that 17 1
arguments and 1 1
arguments for 4 1
arise in 6 1
arises as 1 1
arises from 2 1
arizona and 5 1
arlington county 3 1
armed and 9 1
around for 3 2
around the 56 10
around you 3 1
array of 33 4
arrest more 2 4
arrest our 1 1
arrest rates 6 1
arrested and 5 4
arrested for 18 2
arrests but 3 1
arrests for 12 1
arrests the 1 2
arrests were 3 2
arrived in 1 1
article by 1 1
article police 2 1
articulated the 1 1
artifacts of 1 1
as a 812 34
as accurate 5 2
as agencies 2 1
as algorithmic 1 1
as american 1 1
as an 134 10
as best 2 1
as burglary 2 1
as central 2 1
as community 9 3
as compstat 1 1
as crimes 1 2
as deputy 2 1
as deviants 2 4
as different 2 1
as do 2 1
as early 3 2
as especially 1 1
as evidence 14 1
as far 7 1
as few 1 1
as fingerprint 1 1
as follows 7 2
as for 16 1
as good 8 2
as has 1 1
as he 22 2
as high 16 1
as highly 1 4
as hot 5 2
as in 19 3
as increasing 2 1
as information 2 3
as is 15 1
as it 69 3
as its 14 1
as largely 1 1
as law 11 1
as likely 14 1
as los 6 1
as major 2 1
as many 18 4
as minor 1 1
as models 1 1
as moderate 1 1
as more 22 1
as much 36 4
as new 7 2
as of 28 1
as one 49 9
as opposed 27 4
as part 67 2
as police 18 1
as political 1 1
as possible 23 1
as predictive 5 2
as prosecutors 3 1
as reasonable 2 1
as reflected 2 1
as schools 2 1
as society 1 1
as soon 2 1
as students 1 2
as studies 1 1
as surveillance 3 1
as that 13 1
as the 384 33
as their 17 3
as these 14 1
as they 76 3
as this 13 1
as those 8 3
as to 71 5
as traditional 3 1
as using 1 1
as we 34 5
as well 234 16
as women 2 1
as yet 4 1
ascribed to 2 1
aside from 7 1
ask how 2 1
asked to 19 1
asks the 1 1
aspect of 27 1
aspects of 42 15
assess the 18 2
assess whether 5 1
assesses the 1 1
assessing police 1 1
assessing the 7 3
assessment of 31 3
assessments of 14 3
assigned to 13 7
assignments and 2 2
assistance for 4 1
assistance of 1 1
assistant professor 8 8
associated with 84 8
association and 11 2
association is 1 1
association of 12 4
association with 4 1
associations and 8 2
associations e 1 1
associations in 1 1
associations that 2 2
assumed by 2 1
assuming that 8 1
assuming the 6 1
assumption is 4 2
at a 272 12
at all 61 5
at any 30 1
at best 15 2
at chicago 1 1
at hand 8 2
at highest 1 2
at it 9 2
at its 16 1
at large 5 1
at least 185 18
at more 3 2
at no 5 4
at officers 1 1
at once 7 1
at one 14 1
at p 1 4
at risk 38 3
at the 582 34
at their 8 1
at these 10 2
at ucla 1 4
at universities 1 1
at various 3 1
at where 2 1
at work 16 2
at www 4 2
atmosphere that 1 1
attached to 6 2
attacks and 5 1
attacks as 1 1
attacks of 7 1
attacks on 5 2
attempt to 52 5
attempted to 26 3
attempting to 15 4
attempts to 23 5
attendance at 3 1
attendance rates 1 1
attention from 8 2
attention in 4 1
attention is 2 1
attention on 20 1
attention to 34 2
attitude toward 1 1
attitudes toward 6 1
attributable to 9 4
attributed the 1 1
august language 5 4
august the 4 1
august tuesday 3 1
august vollmer 1 1
authoritarian governments 1 1
authority of 10 1
auto theft 7 2
auto thefts 1 3
availability of 23 4
available and 8 1
available data 8 1
available empirical 2 1
available evidence 1 2
available it 1 1
available one 2 1
available or 2 1
available technology 1 1
available the 2 2
available to 45 4
available was 1 1
average number 2 1
average of 11 1
avoid the 21 1
aware of 24 1
awareness of 6 1
away from 40 2
b and 2 1
b the 14 1
bachelor s 5 1
back in 10 1
backbone of 2 1
background the 1 1
bad guys 6 2
bad publicity 1 1
based analysis 3 1
based approach 7 1
based forms 1 1
based in 10 1
based largely 3 1
based mostly 1 1
based on 375 20
based police 1 1
based policing 18 3
bases of 3 1
basic elements 1 1
basis for 40 1
basis in 6 1
basis of 79 2
basis to 6 1
bayley the 1 3
be a 145 8
be able 80 2
be accomplished 8 3
be achieved 7 2
be adapted 1 1
be adopted 6 3
be all 1 1
be associated 3 2
be assumed 3 1
be attempted 1 2
be attributable 3 2
be careful 4 2
be changing 1 1
be completed 1 1
be considerable 3 1
be correlated 1 1
be designed 14 1
be difficult 14 1
be easier 1 1
be easy 6 1
be employed 7 1
be entrusted 1 1
be especially 2 2
be evaluated 4 2
be expected 11 2
be explained 8 1
be exploited 1 1
be fair 4 1
be first 4 2
be for 4 2
be having 2 1
be held 16 1
be honest 4 2
be implemented 6 1
be important 1 1
be in 30 2
be influenced 4 1
be insufficient 3 2
be judged 2 1
be less 11 3
be long 2 1
be made 34 2
be monitored 4 1
be months 1 2
be more 49 3
be most 6 3
be much 13 2
be no 16 1
be noticed 1 1
be obvious 4 1
be of 6 1
be on 11 2
be only 1 2
be our 1 2
be perceived 3 1
be performed 1 1
be positive 1 2
be pursued 4 1
