of 1 of 1
a complicated 2 2
a comprehensive 20 8
a computer 51 31
a concept 6 1
a concern 14 5
a concerted 6 1
a conclusion 2 4
a condition 3 2
a conduit 6 1
a conference 1 1
a confrontation 1 1
a conscious 1 1
a consequence 5 12
a considerable 1 1
a consistent 4 2
a constantly 1 1
a constitutional 19 10
a consultant 1 1
a contact 2 1
a contagion 1 1
a contagious 1 1
a context 2 2
a contextual 2 1
a contingent 2 1
a continuous 2 1
a contract 3 1
a control 9 5
a controlled 1 3
a controversial 8 1
a conventional 1 2
a conversation 7 2
a convicted 2 2
a conviction 23 3
a coordinated 1 2
a copy 5 2
a core 6 4
a corner 4 1
a correlation 4 4
a cost 5 5
a counterweight 1 1
a county 16 1
a couple 9 5
a course 1 4
a court 38 28
a courtroom 1 2
a creative 2 3
a crime 116 116
a criminal 67 29
a critical 18 12
a critique 9 3
a cross 7 1
a crossroads 3 1
a crowd 3 3
a crucial 1 3
a crystal 3 1
a cultural 12 2
a culture 8 14
a cure 1 1
a customer 3 2
a cut 1 1
a d 27 11
a daily 7 4
a danger 2 1
a dangerous 7 2
a dark 3 1
a data 31 8
a database 30 8
a dataset 7 1
a day 14 33
a death 1 3
a debate 3 1
a decade 24 11
a decision 20 8
a decline 6 3
a decrease 5 1
a deep 5 1
a deeply 2 1
a defendant 15 21
a defense 1 1
a defined 1 2
a definition 8 1
a definitive 3 1
a degree 12 2
a demand 2 3
a democratic 4 1
a department 17 3
a departure 2 1
a deprivation 1 1
a describing 13 1
a description 4 2
a desirable 2 1
a desire 3 3
a detailed 6 2
a detention 3 1
a determinate 1 1
a determination 4 2
a device 3 3
a dialogue 2 1
a difference 4 4
a different 36 19
a difficult 3 2
a digit 1 1
a digital 15 9
a direct 11 7
a disadvantaged 1 1
a disclosure 1 1
a discretionary 2 1
a discriminatory 11 2
a discussion 14 6
a disparate 62 1
a disproportionate 21 4
a disproportionately 6 1
a dispute 1 1
a distance 3 1
a distinct 5 3
a distinction 2 3
a distortion 1 1
a district 2 2
a diversion 2 4
a division 6 2
a dna 8 7
a doctoral 2 1
a doctrinal 1 1
a domain 2 4
a domestic 2 19
a door 1 3
a downtown 1 3
a dozen 13 2
a dramatic 4 5
a driver 5 1
a drizin 1 1
a drop 2 4
a drug 12 34
a dynamic 4 3
a e 3 3
a evidence 1 2
a f 8 3
a face 8 7
a facebook 4 6
a facial 3 2
a fact 5 3
a factor 31 6
a failure 8 2
a fair 12 14
a fairly 3 2
a fake 1 1
a false 8 4
a family 8 6
a famous 2 1
a fantasy 2 2
a far 12 7
a fashion 2 1
a fear 5 1
a feature 5 1
a federal 29 11
a fee 2 1
a feet 1 1
a felony 10 4
a few 63 34
a field 4 2
a fifteen 3 1
a fifth 1 1
a fifty 2 2
a figure 1 1
a final 8 8
a financial 2 2
a finding 12 8
a fine 2 1
a finite 1 2
a fire 1 1
a firearm 8 2
a firm 2 2
a first 7 12
a fit 1 1
a five 8 4
a fixture 1 1
a focus 15 3
a for 2 1
a force 6 1
a forensic 2 3
a form 29 5
a former 11 22
a formula 1 1
a formulation 2 1
a forum 3 1
a forward 3 1
a foundational 1 1
a founder 1 1
a fourteen 2 2
a fourth 21 18
a framework 13 5
a free 3 2
a freedom 1 1
a fresh 3 12
a fretty 1 1
a friend 9 1
a frisk 8 1
a front 3 1
a full 18 5
a fuller 3 1
a fully 5 2
a function 14 3
a functional 2 2
a fundamental 12 5
a further 8 8
a furtive 2 1
a future 32 4
a gang 41 1
a general 34 7
a generalized 3 3
a generation 9 1
a generic 1 2
a genetic 2 1
a geographic 2 8
a gis 2 1
a given 52 8
a global 3 4
a goal 5 3
a good 39 27
a google 5 3
a government 19 5
a governmental 5 1
a gps 1 3
a graduate 3 2
a grant 3 2
a grave 2 2
a great 32 25
a greater 32 10
a grid 1 4
a ground 1 2
a group 28 9
a growing 16 11
a guardian 1 7
a guide 5 4
a guilty 3 1
a gun 21 12
a gunman 3 1
a gunshot 1 2
a half 12 3
a hand 3 2
a handful 9 6
a hard 1 3
a harris 10 3
a healthy 5 1
a heat 6 1
a heavy 3 1
a heightened 20 4
a high 92 60
a higher 24 9
a highly 7 4
a history 15 2
a holistic 4 1
a hollywood 3 1
a home 13 10
a homeless 2 2
a homicide 10 12
a host 13 1
a hot 5 3
a house 5 8
a http 3 1
a huge 14 6
a human 26 2
a hunch 7 1
a hypothesis 2 4
a hypothetical 6 1
a increase 6 1
a j 5 2
a jail 1 1
a job 14 2
a joint 6 1
a judge 24 11
a judgment 1 3
a judicial 5 17
a jurisdiction 10 3
a jury 5 3
a justiciable 1 1
a justifiable 1 1
a key 21 10
a kind 9 7
a knife 4 1
a knocker 2 1
a known 18 13
a laboratory 3 3
a lack 17 8
a laptop 2 1
a large 30 14
a largely 4 5
a larger 27 2
a last 2 3
a later 7 5
a law 38 9
a lawyer 4 19
a leading 3 1
a lecture 1 1
a legal 35 8
a legislative 2 1
a legitimate 25 4
a length 4 2
a less 10 8
a lesser 4 4
a letter 11 1
a level 7 6
a lexisnexis 4 1
a liberal 1 1
a life 5 4
a light 4 2
a likelihood 7 4
a likely 1 1
a limitation 2 2
a limited 15 2
a limiting 2 1
a line 6 4
a link 8 1
a list 11 8
a litany 1 1
a little 18 2
a live 2 1
a ll 2 1
a local 13 9
a location 12 12
a logan 6 1
a logical 1 1
a london 2 1
a long 34 21
a longer 3 2
a longitudinal 4 4
a longtime 1 4
a look 5 2
a los 1 4
a loss 1 4
a lot 46 48
a low 13 7
a lower 3 4
a luxury 1 1
a m 10 5
a mac 1 3
a magistrate 4 3
a major 24 20
a majority 6 8
a man 23 18
a mandatory 4 1
a manner 8 8
a map 11 15
a march 2 3
a maryland 2 2
a mass 5 1
a massive 13 2
a master 3 13
a match 1 5
a mathematical 5 6
a matrix 1 3
a matter 36 13
a maximum 2 1
a mayor 1 1
a meaningful 8 6
a means 13 6
a measure 15 2
a mechanism 8 3
a meeting 3 3
a member 13 4
a mental 1 11
a mere 9 4
a message 11 3
a metal 1 1
a method 10 3
a micro 6 3
a mile 2 1
a million 7 3
a mini 1 1
a minimal 4 1
a minimum 11 6
a misdemeanor 9 4
a misleading 1 1
a missed 1 3
a mistake 6 12
a mix 2 1
a mixture 3 1
a mobile 20 1
a model 35 13
a moderate 1 1
a modern 9 1
a modified 2 1
a moment 6 1
a month 7 3
a morally 1 1
a more 111 38
a mortgage 1 2
a move 11 3
a movement 5 1
a much 26 10
a mug 1 1
a multi 9 4
a multilevel 2 1
a municipal 3 1
a murder 7 2
a myriad 5 2
a n 87 15
a name 3 8
a narcotics 3 3
a narrow 9 1
a narrower 5 1
a nation 5 1
a national 39 10
a natural 12 5
a near 2 4
a nearby 3 2
a nearly 4 11
a neat 4 1
a necessary 11 1
a need 3 3
a neighbor 2 2
a neighborhood 38 6
a neighbourhood 1 1
a network 14 5
a networked 1 2
a neutral 4 4
a never 1 1
a new 140 83
a newer 5 2
a news 6 2
a newspaper 2 1
a next 6 1
a nexus 1 3
a non 5 8
a nonprofit 3 1
a normal 6 1
a normative 5 1
a notable 1 2
a notorious 3 1
a number 83 17
a numerical 2 2
a one 11 4
a or 1 1
a p 8 2
a paper 1 1
a paradigm 4 2
a parallel 4 2
a parent 3 2
a park 2 2
a parole 2 2
a part 25 6
a partial 6 3
a particular 116 77
a particularized 7 9
a particularly 13 5
a party 4 2
a passport 1 1
a password 1 1
a past 3 2
a path 4 3
a patrol 5 4
a pattern 25 6
a pay 1 1
a pdf 2 2
a pedestrian 1 3
a percent 8 26
a perception 2 3
a perfect 6 2
a perimeter 1 1
a period 17 2
a permanent 1 4
a persistent 1 1
a person 140 66
a personal 2 4
a pervasive 5 1
a petition 5 2
a ph 3 1
a phenomenon 2 2
a philosophy 1 1
a photo 2 4
a photograph 10 2
a physical 7 5
a pilot 4 5
a place 8 9
a plaid 2 1
a plan 5 3
a plane 1 2
a plastic 5 1
a platform 2 2
a plea 1 3
a plethora 1 1
a plus 2 1
a point 12 6
a police 158 68
a policing 6 2
a policy 24 10
a political 9 1
a politically 1 1
a pool 2 1
a poor 5 1
a poorly 1 2
a popular 2 1
a population 8 7
a position 5 6
a positive 15 10
a possible 7 1
a post 14 10
a potential 25 12
a potentially 6 2
a power 4 2
a powerful 13 2
a practical 14 4
a practice 5 2
a pre 4 4
a precinct 5 4
a precise 1 2
a predictable 2 2
a predicted 1 6
a prediction 6 12
a predictive 38 35
a predisposition 1 1
a predpol 1 1
a preferred 1 2
a preliminary 3 1
a prentky 1 1
a presentation 1 1
a presidential 2 2
a preventative 4 1
a previously 1 2
a prima 6 2
a primary 7 3
a prime 4 3
a principal 2 1
a prior 10 2
a priori 11 1
a priority 1 2
a prison 2 2
a prisoner 1 2
a privacy 8 4
a private 23 13
a proactive 3 1
a probabilistic 1 2
a probability 1 6
a probable 3 1
a probation 1 4
a problem 32 17
a process 20 6
a product 3 5
a profession 1 5
a professional 4 2
a professor 5 3
a profile 1 10
a profit 2 3
a profound 2 1
a program 34 6
a prominent 1 2
a property 4 4
a proponent 2 2
a proposal 4 2
a proposed 6 3
a prosecutor 17 7
a prospect 1 1
a prospective 2 1
a protective 4 6
a prototype 1 1
a provision 3 1
a provocative 2 1
a proxy 8 2
a psychological 1 2
a public 38 13
a publication 1 2
a punch 3 2
a punitive 3 1
a purely 1 4
a purpose 4 1
a push 4 1
a quantifiable 1 1
a quantitative 6 1
a quarter 8 6
a quasi 7 1
a question 15 4
a quick 7 1
a quiet 2 1
a r 4 2
a racially 12 1
a radical 3 2
a random 4 5
a randomized 4 9
a range 30 28
a rape 1 3
a rapidly 3 1
a rare 2 12
a rate 5 3
a rational 6 1
a re 1 1
a reactive 3 3
a real 16 3
a reality 4 1
a reason 10 1
a reasonable 44 30
a reasonableness 1 2
a reasonably 3 1
a recent 48 5
a recently 1 1
a recession 3 3
a recognition 1 1
a reconciliation 1 1
a reconsideration 1 1
a record 11 1
a reduction 5 5
a referendum 1 3
a reflection 1 1
a reform 7 1
a reformist 1 1
a regime 2 1
a regional 4 1
a regular 1 4
a regulatory 4 2
a related 12 2
a relatively 17 6
a relevant 13 3
a reliable 3 7
a reliance 2 2
a remarkable 3 1
a remarkably 1 4
a renewed 2 1
a repackaging 1 1
a reply 3 1
a report 34 10
a reputation 2 1
a request 3 2
a requirement 7 3
a research 4 6
a resource 4 4
a response 19 3
a restraining 1 23
a result 120 27
a retrospective 1 2
a reverse 1 1
a review 12 16
a revised 1 1
a revisionist 2 1
a revolution 8 4
a rich 4 4
a right 23 16
a rise 1 1
a risk 14 13
a robbery 13 4
a robust 9 2
a role 21 5
a room 3 4
a rose 1 1
a routine 4 2
a row 3 4
a rule 17 2
a ruling 1 1
a rush 1 1
a s 7 2
a safe 6 6
a safer 1 2
a sample 5 4
a sampling 1 1
a satisfactory 2 1
a scenario 4 1
a school 15 2
a scientific 4 3
a scientist 1 1
a score 1 1
a screening 2 1
a search 45 28
a searchable 5 1
a seattle 1 1
a second 21 9
a section 4 1
a security 5 1
a see 15 1
a seemingly 2 3
a segment 1 2
a seizure 7 5
a selection 1 1
a self 11 3
a senior 5 3
a sense 18 7
a sentence 2 4
a sentencing 2 1
a separate 17 11
a serial 3 2
a series 36 13
a serious 11 7
a service 6 3
a set 21 4
a setting 1 1
a settlement 5 1
a sex 6 2
a shared 6 1
a sheriff 1 12
a shift 20 7
a shifting 2 2
a shooting 14 4
a short 4 6
a shorter 1 1
a shorthand 4 1
a showing 6 6
a sign 7 1
a signature 1 1
a significant 52 20
a similar 40 17
a simple 7 8
a simplified 4 1
a sincere 1 1
a single 41 29
a singular 2 2
a site 3 1
a situation 15 1
a six 5 16
a sixty 1 1
a slight 3 2
a small 42 23
a smart 9 2
a smarter 1 2
a smartphone 5 1
a snapshot 3 1
a social 21 10
a socially 1 3
a society 20 1
a socio 1 1
a software 8 7
a solely 1 1
a solid 2 4
a solution 13 4
a sophisticated 4 1
a sort 1 1
a source 6 1
a space 2 1
a spatial 1 3
a speaker 1 1
a special 19 5
a specialized 2 15
a specific 51 26
a specified 2 1
a spike 2 1
a spiral 1 1
a spokesman 2 3
a spouse 1 1
a square 1 1
a st 1 1
a staggering 5 1
a standard 17 3
a standardized 1 2
a starting 4 2
a startling 2 4
a state 34 6
a statement 6 4
a states 4 1
a statistical 7 7
a statistically 3 4
a statute 4 1
a statutory 7 1
a steady 6 1
a step 9 2
a stop 62 20
a stranger 2 1
a strategic 8 2
a strategy 7 5
a street 8 3
a strict 1 2
a string 2 1
a strong 34 18
a stronger 5 3
a student 12 1
a study 45 23
a subject 8 9
a subjective 3 3
a subpoena 2 2
a subsequent 4 3
a subset 6 2
a substantial 15 12
a substantive 2 2
a substitute 2 1
a success 4 4
a successful 8 3
a sufficient 5 6
a sufficiently 4 1
a suitable 2 1
a summary 4 1
a summer 1 1
a supplement 1 1
a sure 1 1
a surveillance 7 3
a survey 8 2
a suspect 113 45
a suspected 9 3
a suspended 1 1
a suspicion 5 1
a suspicious 8 5
a sustained 4 1
a switch 1 1
a sworn 2 1
a symposium 3 1
a symptom 1 1
a system 48 6
a systematic 4 9
a systems 2 3
a tactical 6 2
a tale 4 1
a target 14 4
a targeted 8 2
a targeting 1 2
a taser 5 1
a task 6 2
a taxonomy 5 1
a team 11 10
a technical 5 4
a technology 6 1
a telephone 1 2
a temporary 4 2
a ten 1 1
a tension 1 2
a term 5 5
a terrible 2 1
a terrorist 19 1
a terry 30 20
a test 21 8
a th 4 1
a the 19 6
a theoretical 9 5
a theory 24 11
a thief 4 1
a third 20 10
a threat 22 3
a three 11 5
a threshold 2 1
a time 35 10
a timely 7 2
a times 40 11
a tiny 2 1
a tip 5 14
a to 7 2
a tool 26 9
a top 13 2
a total 12 8
a totality 5 5
a town 6 1
a track 1 2
a trade 2 1
a traditional 8 6
a traffic 12 1
a trained 1 1
a transformation 4 1
a transition 2 1
a tree 1 1
a tremendous 6 1
a trend 1 2
a trial 4 5
a true 6 3
a twelve 2 1
a twenty 2 1
a two 15 6
a type 4 5
a typical 2 3
a typology 1 5
a u 5 2
a uf 7 1
a unified 3 1
a unique 8 8
a university 5 1
a use 5 1
a useful 10 2
a user 5 1
a using 1 1
a vague 4 1
a valid 6 4
a valuable 6 1
a value 1 4
a variable 6 1
a variety 38 35
a vast 12 4
a vastly 2 2
a vehicle 9 1
a verbal 3 1
a very 41 13
a veteran 2 2
a veterans 1 3
a viable 1 2
a vice 1 5
a vicious 1 1
a victim 18 49
a video 9 1
a violation 7 6
a vision 3 1
a vital 1 3
a voice 13 1
a voter 1 1
a walk 1 1
a wanted 4 1
a warrant 40 16
a warrantless 3 3
a washington 3 3
a wave 1 3
a way 59 29
a wealth 7 4
a weapon 23 4
a week 6 11
a well 10 2
a west 7 1
a what 3 1
a while 1 2
a white 17 2
a whole 28 3
a wholesale 3 1
a wide 46 9
a widely 4 2
a wider 7 1
a will 1 1
a willingness 3 1
a window 3 2
a witness 2 2
a woman 12 3
a word 3 1
a workforce 1 1
a working 5 8
a world 24 3
a writer 1 1
a written 2 1
a year 46 31
a young 29 5
aaron lester 1 1
aba journal 1 1
aba publications 1 1
abajournal com 2 1
abandon their 1 1
abandoned cars 2 1
abandoned property 1 1
abandoned the 1 1
abandonment of 2 1
abc com 2 1
abc news 5 1
abide by 1 5
abiding behavior 2 2
abiding citizens 6 6
ability and 1 1
ability for 1 1
ability of 28 8
ability to 131 68
able to 149 91
abortion clinic 1 1
abound in 1 1
about a 60 24
about accountability 1 1
about all 3 2
about an 18 15
about and 3 2
about another 1 2
about any 2 2
about arrests 4 2
about being 1 3
about big 2 7
about billion 1 1
about coercion 1 1
about crime 10 4
about crimes 1 1
about criminal 7 3
about customers 1 1
about data 7 3
about eight 4 3
about fifty 1 1
about fighting 3 2
about four 2 1
about fourth 1 2
about future 3 2
about government 1 1
about half 3 16
about having 1 2
about health 1 1
about her 3 7
about high 2 1
about himself 1 1
about his 1 2
about how 46 24
about human 2 9
about immigration 1 1
about in 6 5
about individual 2 2
about individuals 10 4
about it 20 6
about last 2 1
about me 3 3
about million 2 12
about more 2 1
about n 1 2
about of 2 15
about one 6 3
about open 1 1
about other 5 1
about our 6 8
about paroled 2 1
about particular 1 2
about people 11 1
about percent 8 20
about place 1 1
about police 12 1
about predictive 5 3
about privacy 9 5
about procedural 1 2
about race 2 1
about social 1 2
about some 2 1
about specific 2 1
about substantial 1 2
about that 1 4
about the 286 99
about their 26 5
about them 4 6
about themselves 3 1
about these 12 4
about thirty 1 1
about this 7 9
about those 9 1
about three 4 4
about to 24 7
about two 2 2
about us 31 6
about what 30 11
about when 1 5
about where 9 7
about whether 26 17
about which 8 4
about who 2 2
about why 2 2
above a 4 2
above all 1 1
above in 3 2
above that 2 2
above the 12 5
abraham lincoln 1 1
abraham n 1 1
absence of 54 13
absent a 3 1
absent physical 1 1
absent the 3 1
absolutely necessary 2 2
abstract and 1 1
abstract id 8 1
abstract of 1 1
abstract or 1 1
abuse and 8 4
abuse by 1 1
abuse is 1 2
abuse n 6 5
abuse of 9 2
abuse or 1 1
abuse the 2 6
abuse with 1 1
abusive conduct 1 2
abusive law 1 2
abusive or 1 1
abusive relationships 1 6
ac uk 7 1
acad pol 7 1
acad psychiatry 1 1
acad sci 3 1
academic affairs 1 1
academic and 1 2
academic community 1 1
academic literature 1 1
academic research 2 1
academics in 3 1
academics to 1 2
academy of 4 2
acc no 4 10
accept more 1 1
accept that 1 2
accept the 5 3
acceptability of 1 1
acceptance of 6 5
accepted by 1 2
accepted that 2 2
accepted the 3 1
accepting the 3 2
access and 10 4
access at 1 1
access including 1 1
access or 2 1
access the 12 1
access to 163 53
accessed and 1 1
accessed by 2 1
accessed the 2 3
accessibility of 2 1
accessible at 2 1
accessible by 5 1
accessible on 2 1
accessible to 6 3
accompanied by 8 2
accompanies the 2 1
accompanying note 6 1
accompanying notes 19 6
accompanying text 73 12
accomplices and 2 1
accomplish this 1 1
accomplishment of 1 1
accord with 4 1
accordance with 4 2
according to 149 38
accordingly n 3 2
accordingly police 1 1
accordingly the 5 3
accordingly to 1 2
account but 1 1
account by 2 1
account for 33 9
account of 44 14
account or 1 1
account that 2 1
account the 6 1
account their 1 1
account when 7 2
accountability am 1 1
accountability and 28 6
accountability for 12 8
accountability in 6 2
accountability is 4 1
accountability of 2 1
accountability should 1 1
accountability the 3 1
accountability to 5 2
accountable for 6 2
accountable in 1 1
accountable n 2 1
accounted for 8 2
accounting for 8 1
accounting in 1 1
accounts for 9 2
accounts of 12 2
accumulated wisdom 1 1
accumulation of 5 1
accuracy admissibility 1 1
accuracy and 15 4
accuracy but 7 1
accuracy for 2 3
accuracy in 6 1
accuracy is 2 1
accuracy n 7 6
accuracy of 36 15
accuracy or 2 2
accuracy rate 3 1
accuracy the 1 1
accuracy to 1 1
accurate and 15 5
accurate in 1 1
accurate is 2 2
accurate n 3 1
accurate prediction 2 1
accurate predictions 9 2
accurate reporting 1 1
accurate than 6 3
accurate the 2 1
accurate to 4 3
accurately forecast 1 1
accurately predict 3 2
accurately predicted 2 4
accused n 1 1
accused of 30 9
accused or 1 2
accused s 1 1
accustomed to 9 3
acevedo u 1 1
achieve a 4 2
achieve other 2 1
achieve the 4 3
achieve their 1 1
achieve this 1 2
achieved with 1 1
achievement of 1 1
achievements in 1 1
achieving success 1 2
achieving the 2 2
acknowledge that 4 5
acknowledged as 3 1
acknowledged in 1 1
acknowledged that 11 6
acknowledged the 4 2
acknowledging that 3 2
acknowledging the 2 2
aclu of 12 1
aclu org 30 1
aclunc org 3 1
acquainted with 2 1
acquired by 1 1
acquired in 1 1
acquired n 1 1
across a 14 2
across all 11 3
across an 2 1
across different 2 1
across each 1 1
across police 1 3
across society 1 1
across the 103 37
act and 14 1
act as 14 4
act by 1 1
act h 1 1
act in 12 2
act n 23 2
act of 79 23
act on 6 3
act or 3 1
act provides 1 2
act s 6 1
act the 6 1
act to 10 3
act u 5 1
act was 4 1
act which 8 4
acted in 2 2
acting as 1 3
acting in 6 1
acting on 6 1
action and 7 4
action but 1 1
action by 2 3
action in 5 3
action including 1 2
action is 3 1
action n 14 1
action of 1 2
action on 1 1
action rather 1 1
action taken 3 1
action that 6 4
action the 3 1
action to 4 7
action was 2 1
action will 2 1
action with 3 1
action would 2 1
actionable information 2 1
actionable intelligence 12 1
actions against 1 1
actions are 9 1
actions as 4 1
actions by 3 1
actions can 4 1
actions for 3 2
actions in 4 2
actions is 2 1
actions n 15 3
actions occur 3 1
actions of 19 4
actions or 3 2
actions that 8 1
actions to 3 2
actions within 1 1
active and 1 1
active micro 1 1
active role 2 3
activism that 1 1
activists have 3 1
activities a 2 1
activities and 12 4
activities are 4 1
activities as 2 1
activities based 1 2
activities for 1 1
activities has 4 1
activities in 5 5
activities including 3 1
activities is 1 1
activities it 1 1
activities like 1 1
activities n 14 4
activities of 12 2
activities that 2 1
activities the 3 2
activity a 2 2
activity and 23 7
activity are 4 1
activity as 2 7
activity at 4 4
activity based 4 2
activity before 1 1
activity did 1 1
activity from 2 1
activity id 2 1
activity in 20 9
activity is 22 4
activity it 4 1
activity known 1 1
activity may 9 7
activity n 50 34
activity of 5 4
activity on 2 1
activity or 7 4
activity see 3 1
activity standing 1 1
activity such 3 1
activity that 3 3
activity the 15 2
activity their 1 3
activity this 2 7
activity though 1 1
activity to 8 4
activity using 2 1
activity was 3 1
activity when 1 1
activity while 1 2
activity will 3 2
activity would 1 2
actors and 4 1
actors are 4 2
actors as 1 1
actors in 2 1
actors police 1 1
actors should 1 2
acts and 3 1
acts are 4 2
acts in 2 2
acts may 1 1
acts n 6 4
acts of 17 2
acts see 2 1
acts the 2 1
actual police 1 1
actually be 5 3
actually do 2 2
actually good 1 1
actually have 1 2
actually lead 1 1
actually occurring 1 1
actually used 1 1
actuarial model 2 1
actuarial models 1 1
actuarial risk 2 3
ad hoc 6 4
adam frank 1 1
adams the 1 2
adams v 4 6
adapt to 3 4
adaptation of 2 1
adapted to 3 1
add additional 4 1
add another 1 2
add in 5 1
add to 2 4
added a 3 1
added in 2 4
added n 5 5
added police 3 1
added that 2 15
added to 7 1
added while 2 1
addicted to 2 1
addiction and 1 3
addicts the 1 1
adding a 3 3
adding that 6 5
addition it 1 4
addition the 9 6
addition there 3 1
addition these 1 1
addition this 2 2
addition to 46 21
additional arrests 2 1
additional employment 1 1
additional expertise 1 1
additional factors 3 1
additional facts 1 1
additional information 2 2
additional measures 1 1
additional police 3 1
additional procedural 1 1
additional revenue 1 1
additional testing 1 1
additionally the 3 4
address a 4 5
address and 5 4
address are 1 2
address at 1 1
address because 1 1
address both 1 1
address concerns 2 2
address crime 3 1
address in 4 2
address issues 1 1
address it 2 1
address n 1 2
address of 3 1
address on 1 4
address problems 2 2
address significant 1 1
address such 1 1
address the 41 28
address their 2 1
address them 4 1
address these 6 6
address this 6 1
address to 1 2
address what 1 1
address where 1 1
address whether 2 1
address with 1 2
addressed as 4 1
addressed below 1 2
addressed by 2 3
addressed could 1 1
addressed in 8 3
addressed n 1 2
addressed the 6 3
addressed whether 1 1
addresses and 10 3
addresses could 1 1
addresses of 4 4
addresses the 7 5
addressing some 1 1
addressing the 14 8
addressing these 3 3
adherence to 4 1
adheres to 1 1
adhering to 4 2
adjacent to 1 1
adjudication and 6 1
adjudication of 2 1
adjust the 3 1
adjusted to 2 1
adjusting the 1 1
adm r 7 1
administered by 5 5
administration a 2 1
administration and 5 6
administration at 2 1
administration has 2 1
administration have 1 1
administration in 2 3
administration is 3 4
administration n 10 5
administration of 12 5
administration officers 1 1
administration s 12 1
administration that 2 1
administration the 3 3
administration to 1 4
administrative and 11 1
administrative context 1 1
administrative costs 2 1
administrative duties 1 1
administrative policy 2 1
administrative state 24 1
administrative systems 1 1
administrator of 1 1
admissibility and 2 1
admissible in 2 1
admission and 1 1
admission of 3 3
admit that 2 1
admitted to 1 3
admittedly the 1 1
adolescence n 8 1
adopt a 6 4
adopt and 2 1
adopt new 1 1
adopt the 7 4
adopt to 2 1
adopted a 14 7
adopted and 5 1
adopted by 10 4
adopted n 2 1
adopted such 1 2
adopted the 4 1
adopted these 1 2
adopted this 4 1
adopters of 1 6
adopting a 5 27
adopting any 1 1
adopting predictive 1 1
adopting some 1 1
adopting the 3 1
adopting these 1 1
adoption by 4 2
adoption of 27 13
adopts a 5 2
adopts predictive 1 1
adriaan lanni 1 2
adults in 12 1
adults to 3 1
advance n 2 1
advance that 1 1
advance the 2 1
advanced analytics 4 2
advanced statistical 1 2
advanced systems 1 1
advancement of 3 4
advancements in 4 2
advances have 2 1
advances in 29 4
advancing a 1 2
advantage of 21 10
advantage over 5 1
advantages of 2 1
advent of 12 8
adverse consequences 5 2
adverse effect 3 1
adverse effects 6 1
adverse impact 9 1
adverse inference 1 1
advertise the 1 1
advertise their 2 1
advertising and 1 3
advisable for 1 1
advised to 1 1
advising the 1 1
advisory commission 5 2
advocacy of 1 1
advocate for 8 1
advocate that 1 1
advocates and 4 1
advocates for 1 1
advocates in 1 1
advocates of 6 2
advocates say 2 3
advocates suggest 1 1
advocates that 1 1
advocates the 1 1
aerial surveillance 3 2
aff d 1 5
affairs and 1 2
affairs for 2 1
affect its 1 1
affect reasonable 1 2
affect the 16 7
affect their 1 1
affected by 20 4
affected the 4 2
affecting the 4 1
affects the 7 4
affiliations with 1 1
affirming the 1 1
afford bail 1 11
afford to 6 3
affordable and 2 1
affordable for 1 1
affordable housing 65 2
afoot even 1 2
afoot in 1 1
afoot n 8 3
afraid to 1 1
african american 113 4
african americans 127 1
after a 26 16
after all 23 6
after an 6 1
after analyzing 1 1
after each 4 1
after finding 1 2
after he 7 2
after it 5 1
after its 1 2
after local 1 1
after many 1 1
after p 1 1
after police 5 1
after school 2 1
after some 2 1
