of documents 1 of 1
a what is 3 1
a while the 1 1
a whole n 1 1
a wide area 2 2
a wide range 22 6
a wide ranging 2 1
a wider range 1 1
a willingness to 3 1
a woman who 1 1
a working definition 1 1
a world in 2 1
a world of 8 1
a world that 2 1
a year after 2 1
a year ago 1 2
a year and 2 1
a year earlier 1 2
a year old 10 2
a year veteran 2 11
a young black 3 1
a young man 5 4
aaron lester police 1 1
abc com news 1 1
abc news sept 1 1
abiding citizens n 2 1
ability of defendants 1 1
ability of government 1 2
ability of the 4 2
ability to collect 4 1
ability to control 1 1
ability to create 2 2
ability to engage 2 1
ability to fight 1 1
ability to identify 2 1
ability to make 9 3
ability to obtain 1 1
ability to predict 3 6
ability to provide 2 1
ability to respond 2 1
ability to see 3 2
ability to track 1 2
ability to use 2 1
ability to work 2 2
able to afford 2 11
able to articulate 2 2
able to be 1 2
able to capitalize 1 1
able to challenge 1 1
able to claim 1 1
able to develop 2 1
able to do 2 3
able to explain 3 1
able to focus 1 2
able to help 1 2
able to identify 7 2
able to immediately 2 2
able to justify 4 1
able to make 5 3
able to point 1 1
able to predict 6 3
able to process 3 1
able to receive 1 1
able to reduce 1 1
able to rely 3 2
able to see 2 1
able to sustain 1 1
able to track 1 2
able to understand 4 1
able to use 3 5
abortion clinic the 1 1
about a man 1 1
about a particular 1 4
about a person 3 4
about a specific 1 2
about a week 1 1
about all of 1 1
about an area 3 6
about an individual 5 2
about an ounce 1 1
about big data 2 5
about crime and 3 2
about criminal activity 1 1
about eight years 2 1
about fifty percent 1 1
about fighting crime 3 2
about fourth amendment 1 2
about future criminal 2 1
about half of 2 16
about health wealth 1 1
about how much 1 2
about how to 8 7
about how we 4 4
about how well 1 2
about in our 1 1
about in the 1 1
about it economist 3 1
about it now 1 1
about last visited 2 1
about of the 2 1
about one s 2 2
about one third 2 1
about paroled ex 2 1
about people s 2 1
about percent of 5 20
about predictive policing 3 2
about privacy and 2 1
about procedural justice 1 1
about the ability 1 1
about the cocaine 1 1
about the competency 1 1
about the effect 1 1
about the emerging 1 1
about the evidence 1 1
about the law 7 2
about the need 3 1
about the new 1 1
about the nsa 2 1
about the potential 4 1
about the proper 2 1
about the relationship 1 1
about the relative 2 1
about the reliability 2 1
about the situation 1 1
about the suspect 14 3
about the use 4 1
about the value 1 1
about the world 2 2
about their daily 1 1
about these issues 1 2
about three times 1 3
about to be 3 1
about to commit 7 2
about to happen 1 1
about to make 1 1
about us cjis 16 2
about us lab 4 2
about what i 4 1
about what is 1 1
about what it 1 1
about what the 1 1
about what those 1 1
about when and 1 4
about where and 1 2
about where to 2 1
about whether the 7 7
about whether they 3 1
about whether to 4 5
about which areas 1 1
about which police 1 1
absence of a 9 3
absence of an 4 1
absence of probable 1 1
absence of such 3 1
absolutely necessary n 2 1
abstract id n 2 1
abuse and the 1 2
abusive law enforcement 1 2
acad pol soc 7 1
acad psychiatry l 1 1
academy of sciences 1 1
acc no em 1 1
acc no gt 2 2
accepted by the 1 1
accepted the idea 1 1
access and aggregation 1 1
access to a 5 3
access to and 2 1
access to any 1 1
access to information 8 3
access to online 1 1
access to others 1 1
access to personal 3 2
access to that 3 1
access to the 27 3
access to their 3 1
accessible by the 1 1
accessible to the 3 2
accompanied by a 3 1
accompanying note n 6 1
accompanying notes n 15 5
accompanying text discussing 2 2
accompanying text n 54 9
accomplices and even 1 1
accordance with the 1 1
according to a 12 5
according to former 1 1
according to police 7 2
according to studies 2 1
according to the 45 7
according to which 2 1
account but how 1 1
account for the 12 4
account for these 3 1
account of a 1 1
account of how 2 3
account of the 18 3
account of victimization 1 1
account when evaluating 1 2
accountability am crim 1 1
accountability and transparency 6 2
accountability in policing 1 1
accountability in the 1 1
accountable in the 1 1
accounts for the 2 1
accounts of the 2 2
accuracy admissibility and 1 1
accuracy and efficiency 1 2
accuracy and transparency 2 1
accuracy of the 16 6
accuracy of their 3 1
accuracy of these 2 2
accurate and more 1 1
accurate and reliable 2 2
accurate is it 1 1
accurate predictions of 1 1
accurate than clinical 2 1
accurate than predictions 1 1
accurately predicted the 1 1
accustomed to making 1 1
acevedo u s 1 1
achieve the same 3 1
acknowledge that the 1 1
acknowledged that a 1 1
acknowledged that crime 1 1
acknowledged that the 3 1
aclu org files 21 1
across a geographic 1 1
across the board 4 2
across the city 3 5
across the country 36 11
across the county 1 4
across the nation 11 1
across the political 1 1
across the united 17 4
across the us 4 2
across the whole 3 1
act as force 1 1
act h r 1 1
act in the 2 1
act n id 1 1
act of domestic 3 1
act of provides 1 1
act of pub 15 4
act u s 5 1
act was enacted 1 1
acting in the 2 1
acting on information 1 1
action and community 1 1
action and the 1 1
action rather than 1 1
action taken was 1 1
action to ensure 1 1
actions n the 1 1
actions of the 7 2
active micro places 1 1
active role in 2 2
activities based on 1 2
activities n the 1 1
activities of individuals 2 1
activity and predict 1 1
activity and that 2 1
activity and the 3 1
activity at the 2 1
activity based on 4 2
activity did not 1 1
activity in a 3 1
activity in order 2 1
activity in that 2 1
activity in the 5 2
activity is afoot 7 1
activity may be 7 7
activity n for 2 2
activity n however 1 3
activity n see 3 4
activity n the 5 4
activity n these 4 2
activity n this 2 1
activity or to 1 1
activity standing alone 1 1
activity such as 3 1
activity that is 1 1
activity this is 1 1
activity will occur 1 1
actors should defer 1 1
acts see e 2 1
actual police officers 1 1
actually lead to 1 1
actuarial model in 1 1
actuarial risk assessment 2 1
adam frank big 1 1
adams the sci 1 1
adams v williams 4 6
add to the 1 3
added n id 1 2
added n see 1 1
addition there are 1 1
addition to a 2 1
addition to the 10 3
address concerns that 1 2
address of the 2 1
address the current 2 1
address the issue 2 1
address the problem 4 2
address these concerns 2 1
addressed by courts 1 1
addressed in the 5 3
addressed whether the 1 1
addresses and background 2 1
addressing the problems 3 1
addressing these problems 1 2
adherence to the 1 1
adhering to the 2 1
adjudication and social 2 1
adjusted to ensure 1 1
adm r of 6 1
administration n see 2 1
administration of justice 5 3
administrative state in 2 1
admissibility and accountability 1 1
admissible in court 1 1
adolescence n there 2 1
adopt and implement 1 1
adopted by a 1 1
adopted such a 1 1
adopting the technology 1 1
adoption of new 1 1
adoption of predictive 1 2
adoption of the 3 3
adopts predictive crime 1 1
adults in the 4 1
advanced analytics in 1 1
advancement of colored 1 1
advancements in the 1 1
advances have enabled 1 1
advances in data 1 1
advances in technology 2 1
advantage of a 2 1
advantage of the 5 5
advent of the 1 4
adverse consequences for 3 1
adverse consequences of 1 1
adverse effect on 3 1
adverse impact on 6 1
adverse inference problem 1 1
advisory commission on 5 2
advocate that the 1 1
aff d f 1 1
affect reasonable suspicion 1 2
affected by the 6 1
affected by their 1 1
affecting the burgled 1 1
afford bail and 1 11
affordable housing and 6 1
affordable housing or 1 1
afoot even if 1 2
african american communities 14 1
african american men 12 2
african americans are 10 1
after all a 1 1
after all are 1 1
after all it 1 1
after he was 2 1
after it was 1 1
after p m 1 1
after the department 1 1
after the events 3 1
after the fact 9 1
after the organization 1 1
after the police 4 2
after they learned 1 1
after world war 2 1
aftermath of the 5 2
again same offender 2 1
against a suspect 2 4
against arbitrary government 1 1
against mass incarceration 1 1
against official photo 1 1
against self incrimination 1 1
against the invasion 1 1
against the officers 1 1
against the police 3 1
against the same 1 1
against the use 3 1
against unreasonable searches 4 6
age company limited 1 1
age melbourne australia 1 1
age of big 7 2
age of colorblindness 5 1
age of the 1 1
age the greatest 1 1
agencies and the 4 2
agencies are assembling 4 1
agencies around the 2 3
agencies began to 1 1
agencies can use 1 1
agencies engaged in 1 1
agencies id at 2 1
agencies in the 3 3
agencies including the 1 5
agencies on the 1 1
agencies such as 7 4
agencies to provide 2 1
agency decision making 1 2
agency has an 1 1
agency has made 1 1
agency in the 1 14
agency to embrace 1 1
agency to use 1 2
agent of the 1 1
agents of the 1 1
ages of and 1 1
aggregation public records 1 1
aggressive stop and 2 1
aggressive use of 6 1
ago as a 2 1
ago to percent 1 2
agree that the 2 1
agreed that the 1 2
agreement on whether 1 1
aguilar v texas 1 1
aid in the 1 2
aids treatment center 1 1
aim is to 5 2
aimed at a 1 1
aimed at improving 1 1
aims to encourage 1 1
air drug dealing 1 1
akin to a 4 1
akin to the 1 1
al a framework 1 1
al collecting dna 2 1
al ctr for 1 3
al dissipation and 1 1
al eds n 5 1
al making sense 1 1
al mckinsey global 1 1
al nat l 2 1
al neighborhoods and 1 1
al offender as 1 1
al police found 1 1
al predictive policing 2 2
al risk clusters 2 2
al risk terrain 1 1
al rutgers ctr 1 2
al self exciting 2 1
al space time 2 1
al supra note 100 90
al the relevance 1 2
al the utility 1 1
al trajectories of 2 1
al urban inst 3 1
alabama v white 7 10
alafair s burke 2 1
alan sheridan trans 2 1
alan sklansky the 1 2
alb l rev 2 1
albert j reiss 4 3
albert w alschuler 2 1
alert the police 1 1
alexander supra note 7 1
alexander the new 6 1
alexandra natapoff snitching 4 1
algorithm and the 2 3
algorithm for police 2 2
algorithm for projecting 1 1
algorithm is sufficient 1 1
algorithm to a 1 1
algorithm to ensure 1 2
algorithm to predict 2 2
algorithmic crimefighting sanjose 1 1
algorithms and other 2 1
algorithms and the 4 3
algorithms are not 4 1
algorithms to analyze 1 1
algorithms to identify 1 1
algorithms to predict 7 1
algorithms to the 1 1
algorithms with other 1 2
alhambra police chief 2 1
ali winston all 2 1
align with the 3 1
alito j concurring 3 11
alito j dissenting 2 1
all aspects of 6 2
all but a 1 2
all but one 2 1
all crime is 6 3
all fifty states 6 2
all five of 1 1
all in the 3 2
all kinds at 1 1
all law enforcement 5 1
all looks yellow 1 1
all n but 1 1
all n id 1 1
all n see 1 2
all of our 7 3
all of the 26 13
all of their 3 2
all of these 22 6
all of those 2 2
all of us 3 1
all of which 12 5
all of whom 2 1
all over the 5 2
all rely on 1 1
all rights reserved 49 48
all seems infected 1 1
all sorts of 6 1
all the circumstances 2 1
all the data 1 1
all the information 2 1
all the more 1 1
all the police 1 1
all the time 6 2
all this is 4 1
all tomorrow s 2 1
all too often 2 2
all your tweets 2 2
allegations turn out 1 1
alleged to be 1 2
allen update on 1 1
allocate their resources 1 1
allocating resources n 1 1
allocating resources to 2 1
allocation of police 3 1
allocation of resources 2 1
allocation strategies j 2 1
allow an officer 1 1
allow for more 2 1
allow for the 3 2
allow police to 6 8
allow the police 1 2
allow them to 5 5
allow us to 3 2
allowing police to 10 2
allowing them to 2 2
allows command staff 1 1
allows for better 2 1
allows law enforcement 5 1
allows the police 1 1
allows them to 3 2
allows us to 3 2
allows users to 1 4
almost all of 1 1
almost all the 2 2
almost every major 1 1
almost every state 1 1
almost half of 1 2
almost impossible to 3 1
alone could not 1 1
alone does not 2 4
alone is insufficient 2 1
alone is not 4 1
along the lines 2 1
along these lines 3 3
along with other 1 7
along with the 11 8
already been adopted 1 1
already begun to 2 1
already being used 5 1
already noted the 1 1
alschuler the upside 1 1
also andrew guthrie 1 2
also be able 1 1
also bernard e 1 2
also best practice 1 2
also city of 1 1
also contribute to 2 1
also david a 1 1
also david cole 3 1
also does not 2 1
also e g 6 1
also extending to 1 1
also franklin e 1 1
also going to 1 1
also has a 6 6
also has plans 1 1
also has the 1 4
also have a 2 3
also have to 2 2
also id at 12 10
also id the 1 1
also improve the 3 1
also in the 4 2
also infra notes 1 1
also involved in 1 2
also known as 7 4
also means that 3 1
also noted that 2 1
also noting that 1 1
also on the 1 1
also play a 1 1
also provide a 1 1
also raised concerns 1 1
also recognized that 1 1
also rejected the 1 2
also revealed that 3 1
also showed that 4 1
also suggested that 2 1
also tend to 3 2
also u s 6 1
also united states 12 6
also work to 1 1
also working with 2 1
