of documents 1 of 1
a rationale for 3 1
a reaves local 1 1
a recent national 1 1
a recession police 3 1
a reflection of 1 1
a reluctance to 1 1
a result of 44 1
a review of 12 7
a say in 2 1
a sense of 10 2
a series of 36 2
a set of 20 1
a significant role 5 1
a similar but 1 1
a situation where 4 2
a skeptical view 1 1
a sociological study 1 1
a somewhat different 1 1
a sort of 1 1
a stop to 3 1
a story about 1 1
a string of 2 1
a strong public 1 1
a study of 15 3
a subsequent increase 1 1
a substantial and 1 1
a substantial number 1 1
a survey of 4 4
a suspect could 2 1
a system of 12 1
a system that 8 2
a system will 1 2
a tale of 4 1
a team of 10 2
a theory based 3 1
a theory of 16 2
a time of 7 1
a time when 10 5
a tuch race 1 1
a variety of 38 8
a view of 1 1
a way of 6 1
a way that 21 5
a way to 27 3
a wide range 22 4
a wide variety 11 2
a world where 9 1
a year old 10 4
a zero sum 2 1
ability to distinguish 1 1
ability to pay 2 1
ability to track 1 1
able to determine 3 2
able to implement 1 1
about fighting crime 3 1
about half of 2 1
about how police 1 1
about how to 8 1
about past crimes 1 1
about percent of 5 1
about predictive policing 3 4
about the community 1 1
about the consequences 1 1
about the effects 2 1
about the future 2 1
about the impact 3 1
about the influence 2 1
about the nature 3 2
about the police 9 1
about the processes 1 1
about the public 1 1
about the role 4 1
about the time 1 1
about the validity 2 1
about to be 3 1
about what is 1 1
about what the 1 2
about what to 1 1
about which areas 1 2
absence of a 9 1
absence of such 3 1
abuse of authority 1 1
abuse of force 2 1
academy of sciences 1 2
acceptance of police 3 1
according to a 12 1
according to some 5 1
according to the 45 2
according to their 6 1
account for the 12 1
accountable for their 2 1
accounted for percent 1 1
accounting for the 4 2
accurate as we 1 2
accurately predicted the 1 1
accustomed to it 3 1
across the city 3 1
across the nation 11 2
across the world 2 2
act as the 2 1
actions taken by 2 1
actual practice of 1 1
addition there are 1 1
addition to the 10 1
address the question 1 1
adherence to the 1 1
adhering to the 2 1
administration of justice 5 2
adopt and implement 1 1
adopt it as 1 1
adopted community policing 1 1
adoption and implementation 1 2
adoption of a 4 2
adoption of community 1 3
after all it 1 2
after the data 1 1
after the fact 9 3
after they were 2 2
against prediction profiling 4 1
against the police 3 1
agencies around the 2 4
agencies do not 1 1
agencies even when 1 1
agencies from the 1 2
agencies in the 3 1
agencies in their 1 1
agencies throughout the 3 2
agencies to implement 1 1
agencies to provide 2 1
agency in the 1 4
algorithm to predict 2 1
algorithms has been 1 2
algorithms to help 1 1
all aspects of 6 1
all at once 1 1
all in the 3 1
all levels of 4 1
all of the 26 1
all of them 7 1
all of these 22 1
all rights reserved 49 9
all this is 4 1
allen et al 1 1
allocate resources based 3 2
allow people to 1 1
allowing them to 2 1
almost as soon 1 1
along with the 11 1
also from the 2 1
also want to 1 1
also weisburd et 1 1
alternative policing strategy 1 1
although a few 1 1
although it has 2 1
although some of 1 1
although there are 3 4
although there is 2 2
amazon about fighting 3 1
ambivalence about the 1 1
america s police 2 2
american academy of 2 5
american cultural phenomenon 1 1
american journal of 2 1
american police departments 4 3
american policing and 1 1
american policing criminology 1 1
american society of 1 3
among police officers 2 1
among some of 1 1
amount of information 23 1
amount of time 9 1
amounts of information 7 1
amounts of time 2 1
an actuarial age 5 1
an additional percent 1 1
an age of 3 6
an algorithm to 4 1
an all seeing 2 1
an analysis of 25 1
an area of 9 1
an array of 10 3
an assessment of 5 1
an assistant professor 1 1
an average of 11 1
an empirical assessment 3 1
an entirely different 1 1
an environment that 2 1
an even bigger 1 1
an examination of 7 1
an eye on 1 1
an impact on 1 1
an important role 8 1
an in depth 6 1
an indicator of 2 1
an interest in 4 1
an officer s 28 1
an officer should 1 1
an opportunity for 2 1
an organization s 3 3
an overview of 10 1
analysis of criminal 3 1
analysis of information 4 2
analysis of organizational 3 1
analysis of the 30 2
and a more 1 1
and a police 2 4
and a set 1 1
and a significant 2 1
and a system 1 1
and abuse of 4 1
and acceptance of 2 1
and acting on 2 1
and add to 1 1
and administrative staff 1 1
and affirmative action 2 1
and although the 1 1
and amazon about 3 1
and an additional 1 1
and an array 1 1
and analysis these 1 1
and appellate courts 1 1
and applied to 1 2
and are often 1 1
and are therefore 1 1
and change as 1 1
and change into 3 1
and changes in 3 1
and community and 1 1
and community in 2 1
and community leaders 3 1
and community myth 1 1
and community oriented 2 1
and community policing 11 4
and community relations 8 1
and complaints against 1 1
and complexity of 1 2
and conflict in 1 1
and constraints on 1 1
and controlling police 1 1
and criminal justice 19 1
and data analysis 2 1
and decision making 6 1
and depending on 2 1
and directed by 1 1
and direction of 2 1
and director of 1 1
and do not 9 1
and early s 8 1
and education of 1 1
and effectiveness of 5 1
and efforts to 1 2
and elected officials 1 1
and energy to 1 1
and even the 4 1
and extent of 4 5
and fear annals 2 1
and fear of 8 1
and federal agencies 1 2
and federal law 1 1
and file and 13 2
and file patrol 1 1
and finding that 2 1
and found a 3 1
and found an 1 1
and found that 5 1
and from the 1 1
and give them 1 1
and has remained 1 1
and homeland security 7 4
and how it 4 1
and how much 2 3
and how they 6 4
and how to 12 1
and how well 1 1
and implementation of 3 3
and improve performance 1 1
and in other 1 1
and in recent 2 1
and in some 11 1
and in the 20 2
and in what 1 2
and information sharing 6 1
and institutionalization in 1 1
and intelligence analysis 1 1
and intelligence gathering 6 1
and intelligence in 1 1
and investing in 2 1
and it is 29 2
and it may 7 1
and it s 17 1
and it will 4 1
and its consequences 1 1
and its control 2 1
and its implications 2 1
and its members 1 1
and justice for 2 1
and law enforcement 66 7
and local agencies 3 2
and local law 26 4
and local police 7 4
and location of 2 5
and long term 13 1
and looking for 1 2
and los angeles 19 1
and low income 1 1
and management and 1 1
and management cops 1 1
and many are 1 1
and medium sized 1 1
and members of 4 1
and methods of 1 1
and middle class 1 1
and more effective 2 2
and motor vehicle 2 2
and much of 2 1
and new technologies 2 2
and new york 13 1
and not infrequently 1 1
and not necessarily 1 2
and not only 1 1
and occupational culture 1 1
and of course 1 1
and one of 6 1
and order in 2 1
and organizational change 1 1
and other crime 3 2
and other features 1 2
and other local 1 1
and other materials 1 2
and other online 1 1
and other organizations 1 1
and other problems 2 1
and other similar 1 2
and others are 1 1
and others have 5 1
and outcomes in 1 1
and outside the 3 3
and over the 1 1
and patrick murphy 1 1
and patterns in 2 1
and perceptions that 1 2
and place the 1 1
and police departments 3 2
and police discretion 2 1
and police leaders 1 2
and police officers 3 1
and policing in 2 2
and policy makers 2 1
and practice materials 20 1
and practices of 3 9
and practices that 5 1
and practices the 1 1
and predict the 1 1
and predictive policing 6 1
and private police 2 2
and private sector 3 1
and private sectors 3 1
and problem oriented 4 8
and problem solving 4 1
and procedures and 1 1
and processes for 2 1
and processing of 3 1
and processing the 1 1
and public policy 5 2
and public safety 7 1
and punishing in 4 1
and quality of 7 1
and reform controlling 1 1
and regional news 4 4
and reliability of 4 2
and respond to 10 1
and s as 1 1
and santa cruz 1 7
and setting up 1 1
and sharing information 3 2
and so on 14 1
and social conditions 1 1
and social science 5 5
and some have 1 2
and sometimes the 1 1
and strategic problem 1 1
and surveillance technologies 1 2
and tactics that 2 1
and that is 7 2
and that it 2 1
and that of 1 1
and that s 4 2
and that the 16 3
and that they 11 1
and that this 2 1
and the absence 2 2
and the accompanying 2 1
and the algorithm 4 1
and the american 9 1
and the blue 1 1
and the communities 10 1
and the court 5 1
and the courts 6 1
and the creation 1 1
and the effects 1 1
and the extent 2 1
and the fairness 1 1
and the general 10 1
and the idea 1 1
and the it 3 1
and the likelihood 1 1
and the military 1 2
and the most 1 1
and the number 4 1
and the police 40 9
and the poor 6 1
and the pressure 2 1
and the public 19 3
and the range 1 1
and the rank 5 1
and the results 2 1
and the scientific 2 2
and the third 3 1
and the threat 2 1
and the two 2 1
and the u 10 1
and the united 3 1
and the willingness 1 1
and the work 2 1
and their ability 1 1
and then to 2 1
and there is 1 1
and this is 4 1
and time of 3 1
and timing of 2 1
and to enable 1 1
and to the 5 1
and to what 3 1
and training n 2 1
and training they 1 1
and transparency in 2 1
and try to 1 4
and two way 1 1
and use that 2 1
and using information 1 1
and using their 1 1
and warrantless searches 1 1
and ways of 1 1
and we re 2 4
and were given 1 1
and what we 4 1
and when it 3 4
and where future 3 2
and where the 4 3
and whether it 3 1
and white officers 1 1
and why they 2 1
and windows of 1 2
and with the 8 1
and without the 1 1
and you re 2 1
angeles and new 2 1
angeles police department 41 5
annual meeting of 2 2
another is the 1 2
another look at 1 1
another set of 1 1
answer is that 3 1
anthony a braga 12 7
anthropologist jeff brantingham 2 2
appear to be 19 4
appear to have 6 3
appear to provide 1 1
appear to rely 1 1
appeared on the 2 1
appeared to be 1 1
appears not to 2 2
appears to be 18 3
appears to have 7 1
approach to police 8 1
approach to the 4 2
approaches to crime 2 1
are a good 1 1
are a number 3 1
are a variety 1 1
are able to 18 1
are also many 1 1
are asked to 4 1
are at least 5 2
are attributable to 1 1
are becoming more 2 2
are being developed 1 1
are best suited 1 1
are better than 1 1
are committed to 1 2
are concerned about 1 1
are creatures of 3 1
are expected to 4 2
are exposed to 1 1
are few and 1 1
are given a 1 3
are grateful to 1 1
are hampered by 1 1
are likely to 37 2
are many and 2 1
are members of 5 1
are more efficient 1 4
are more innovative 1 1
are more likely 54 1
are necessary to 4 1
are not necessarily 6 1
are not otherwise 1 1
are not readily 1 1
are not self 1 1
are not yet 4 1
are of questionable 2 1
are often called 1 1
are often more 3 1
are on the 3 2
are part of 6 1
are poised to 2 4
are predicted to 1 1
are reasons to 1 1
are regarded as 1 1
are reluctant to 2 1
are shaped by 2 1
are shared by 1 1
are subject to 16 1
are targeted for 2 1
are targets of 1 1
are the product 1 1
are thought to 1 2
are three reasons 1 1
are to be 7 1
are trying to 6 1
are unable to 7 1
are viewed as 3 1
are willing to 3 2
are working to 3 1
area and the 2 1
areas as the 1 1
areas in the 5 1
areas of police 1 1
areas where there 3 4
arena in which 1 1
argue that the 5 1
argued that in 1 1
argued that its 1 1
argued that police 4 2
argued that the 10 3
arlington county va 2 1
armed and dangerous 6 1
around the country 18 2
around you there 1 1
array of other 1 1
arrest our way 1 1
arrests for certain 1 1
as a basis 4 1
as a consequence 5 2
as a core 1 1
as a crime 6 2
as a distinctive 2 1
as a group 7 2
as a key 1 1
as a means 8 2
as a mere 1 1
as a model 4 1
as a more 4 1
as a powerful 1 1
as a public 3 1
as a result 110 1
as a system 1 2
as a way 19 4
as accurate as 4 2
as an administrative 1 1
as an indicator 2 1
as community policing 6 2
as early as 3 2
as evidence in 5 1
as few as 1 1
as has been 1 1
as he was 4 2
as hot spots 1 2
as in the 8 1
as is often 1 1
as it has 7 1
as it sounds 3 1
as law enforcement 7 1
as likely to 10 1
as los angeles 6 1
as many as 7 2
as models for 1 1
as of the 8 1
as one of 18 4
as opposed to 27 4
as part of 62 2
as predictive policing 5 2
as reflected in 2 1
as soon as 2 1
as that of 5 1
as the city 1 5
as the community 1 1
as the department 3 1
as the most 6 1
as the number 4 1
as the old 2 1
as the use 9 1
as these are 2 1
as they became 1 1
as they re 5 1
as to what 5 1
as to whether 18 1
as to who 1 1
as we re 1 1
as well as 169 12
as well the 2 1
as women and 1 1
aspect of police 1 1
aspects of police 4 6
aspects of policing 2 1
aspects of the 8 2
aspects of their 1 1
assess the impact 2 1
assess whether the 2 1
assessment of the 7 2
assessments of police 2 2
assigned to administrative 1 1
assigned to the 3 1
assistant professor of 3 1
associated with a 3 2
associated with an 1 1
associated with lower 1 1
associated with the 11 1
association of chiefs 2 4
associations e g 1 1
assumption is that 1 2
at a given 4 1
at a home 1 4
at a location 1 1
at a time 13 2
at all clear 1 2
at all is 1 1
at all levels 3 1
at any time 8 1
at highest risk 1 2
at least a 7 1
at least as 6 2
at least at 2 1
at least for 4 1
at least in 19 2
at least not 2 1
at least one 11 1
at least some 9 1
at least those 1 1
at least to 4 1
at least two 10 2
at least with 3 1
at more than 2 1
at p m 1 4
at risk for 5 1
at the above 1 1
at the annual 3 2
at the center 11 1
at the earliest 3 1
at the end 6 3
at the intersection 2 1
at the local 4 1
at the national 7 2
at the other 2 1
at the same 39 4
at the san 1 1
at the start 3 1
at the th 2 1
at the time 41 2
at the top 8 1
at the very 12 1
at various points 3 1
attacks of september 5 1
attacks on u 1 1
attempt to correct 2 1
attention from law 2 2
attention on the 5 1
attitudes toward the 1 1
attributable to a 1 1
august language english 5 4
authority of the 4 1
available evidence suggests 1 2
available it is 1 1
available to support 1 1
average number of 2 1
away from the 10 1
bachelor s degree 5 1
based analysis of 3 1
based approach to 2 1
based forms of 1 1
based in part 6 1
based largely on 3 1
based mostly on 1 1
based on data 7 1
based on experience 1 1
based on historical 6 1
based on hunches 1 2
based on past 4 2
based on the 44 4
basic elements of 1 1
basis of a 9 1
basis of his 1 1
bayley the new 1 1
be a growing 1 1
be a major 1 2
be a valuable 4 1
be able to 78 2
be achieved with 1 1
be adopted and 2 1
be adopted because 1 1
be associated with 3 2
be attributable to 2 2
be careful to 2 1
be completed before 1 1
be correlated to 1 1
be difficult for 2 1
be easy to 3 1
be employed in 1 1
be expected to 9 2
be explained by 3 1
be fair to 1 1
be first in 1 2
be in the 6 1
be influenced by 4 1
be judged by 1 1
be less useful 1 1
be monitored and 2 1
be more open 1 1
be most effective 1 1
be much lower 1 1
be much more 7 1
be obvious first 1 1
be on the 4 2
be perceived as 2 1
be required to 7 1
be said about 1 1
be said for 1 1
be subjected to 12 1
be that the 3 2
be the case 10 1
be the first 1 4
be the more 1 1
be the most 6 2
be treated with 1 1
be trying to 1 1
be understood in 2 1
be used to 57 3
be useful to 1 1
be willing to 3 1
became the first 3 2
because determining that 1 1
because of concerns 3 1
because of the 39 5
because they rely 1 1
become part of 8 1
been around for 1 2
been done to 1 2
been examined in 1 1
been forced to 1 1
been given a 6 1
been going on 1 1
been in the 3 1
been led by 1 1
been made and 1 1
been made on 1 1
been subject to 5 1
been termed the 1 1
been the most 1 2
been the subject 2 1
been used by 1 1
been used to 7 3
before there s 4 1
before they can 1 1
before turning to 4 1
began as a 1 1
began to take 1 1
beginning in the 7 1
begins with a 2 1
behavior the management 1 1
behavioral change is 1 1
being able to 11 1
being tried out 1 2
belief that the 6 1
beliefs about how 1 1
beliefs and attitudes 1 1
benefits of the 5 1
berkeley university of 1 2
best course of 1 1
best inventions of 2 2
best suited to 1 1
better than others 1 1
better understand the 2 1
better understanding of 4 1
between black and 3 1
between disorder focused 1 1
between federal and 2 1
between police and 26 2
between the and 3 1
between the police 18 3
between the two 10 1
between these two 2 1
beyond a new 1 1
beyond the police 1 1
big city police 4 2
big city policing 2 1
black and white 9 1
blue code of 1 2
body of empirical 1 1
body of research 2 3
both in the 2 1
both police and 2 1
both the law 3 1
branches of government 2 1
brian a reaves 4 1
brief history of 1 1
broad range of 4 1
broken windows and 8 1
broken windows policing 46 3
brought to bear 1 1
built in a 1 1
bureau of investigation 52 1
bureau of justice 23 9
bureaucracy and the 3 1
business with the 1 1
but also to 13 2
but also with 3 1
but as is 1 1
but as one 1 1
but as the 5 2
but at least 4 1
but both are 1 1
but by the 1 1
but if that 1 3
but in the 1 1
but it cannot 1 1
but it does 1 1
but it is 31 3
but it may 6 1
but no change 1 1
but of those 1 1
but perhaps the 1 1
but rather as 1 1
but rather on 3 2
but rather that 1 1
but rather the 2 1
but rather to 2 5
but santa cruz 1 2
but that they 1 1
but the police 3 1
but the use 2 2
but there are 7 2
but there is 7 1
but they also 8 1
but they are 6 2
but they may 1 1
but they were 1 1
but this process 1 1
but we can 3 2
but with a 2 1
by a computer 3 4
by a court 2 1
by a desire 1 1
by a federal 4 1
by a wide 1 1
by and large 2 1
by case basis 3 2
by changing the 1 2
by community policing 1 2
by comparing the 3 2
by creating an 1 1
by establishing the 1 1
by far the 1 1
by federal agencies 4 1
by focusing on 4 1
by geography and 1 1
by law to 2 1
by learning to 1 1
by local police 3 1
by no means 5 1
by police as 1 1
by police officers 22 1
by predicting it 1 1
by residents of 1 1
by the civil 1 1
by the crime 1 1
by the early 7 1
by the end 2 1
by the federal 12 1
by the late 3 1
by the los 1 2
by the more 1 1
by the national 3 1
by the organization 1 1
by the police 42 1
by the public 5 2
by the rank 1 1
by the same 2 1
by the santa 1 2
by the state 6 1
by the vast 1 2
by time magazine 3 3
by virtue of 17 1
by what the 1 1
by which the 5 2
c the university 1 1
calif at www 1 2
calif section state 1 4
calif visit the 1 2
california distributed by 1 4
call for a 2 1
called predictive policing 4 4
calling the police 1 1
calls for service 11 13
came to the 1 1
came up with 2 1
can all be 1 1
can also be 18 1
can also help 4 2
can be accomplished 2 1
can be designed 2 1
can be easy 1 1
can be expected 1 1
can be explained 4 1
can be said 3 2
can be used 36 3
can do to 4 1
can have a 3 2
can identify individuals 1 1
can it work 1 3
can lead us 1 2
can learn from 4 1
can make a 1 1
can police do 2 1
can police the 1 1
can we learn 3 1
candidates for the 4 1
cannot afford to 6 1
cannot be assumed 1 1
captured by the 2 1
car break ins 2 2
cars in a 1 2
case by case 11 3
case it has 1 1
case of police 3 1
case studies have 1 1
case studies of 1 5
case studies the 1 2
case study in 1 1
cases involving the 1 1
cause for optimism 1 1
census of state 1 3
center guidelines developing 1 1
centers n and 1 1
century a high 1 1
century american police 1 3
century there were 1 1
certain aspects of 4 2
certain groups of 1 1
certain it based 1 1
certain type of 1 2
certain types of 10 1
challenge of crime 1 1
chan et al 1 1
change and the 2 1
change in police 3 4
change in the 11 5
change in three 3 1
change into the 3 1
changes have been 1 1
changes in policing 2 2
changes in the 9 4
changes over time 2 1
changes that have 2 1
changes to how 1 1
charge of the 2 1
chicago a tale 2 1
chicago police department 31 2
chicago university of 1 9
chief at the 1 2
chief of police 16 2
chief of the 5 1
chiefs of police 7 4
choices about how 2 1
circumstances in which 3 1
circumstances under which 1 1
citations and arrests 1 1
citizen perceptions of 1 1
citizens perceptions of 2 1
city is a 1 1
city police department 24 3
city s crime 5 1
city s data 1 4
city s most 4 1
city s police 6 1
city s violent 1 1
civil rights and 10 1
claim that the 2 1
claim to the 1 1
clara university and 1 5
clear from the 1 1
clear on the 1 1
clear that in 1 1
close the gap 2 1
closed circuit cameras 1 1
closed circuit television 1 1
closely with the 4 1
code of silence 3 5
collaborating with other 2 1
collaboration and information 1 1
collected by the 1 1
colleen mccue predictive 3 1
column national desk 1 1
com distributed by 4 2
com load date 15 3
combat crime in 2 4
come from the 1 1
comes from a 4 1
coming into our 1 2
command and control 5 5
commission on law 1 1
commissioner of the 1 1
commissioner william bratton 4 1
commitment to the 5 3
communities may be 1 1
communities some have 1 1
communities they serve 13 2
community and problem 2 7
community from terrorism 1 1
community groups and 2 2
community groups that 1 1
community groups to 3 1
community in chicago 2 1
community leaders and 5 1
community myth and 1 1
community needs and 2 1
community oriented policing 17 4
community policing a 5 3
community policing advocates 1 1
community policing and 25 13
community policing are 2 2
community policing as 4 1
community policing can 3 3
community policing context 2 1
community policing has 5 1
community policing however 1 1
community policing in 18 10
community policing policing 7 1
community policing principles 2 1
community policing problem 2 2
community policing programs 1 1
community policing rearranging 1 1
community policing reforms 1 2
community policing strategies 1 1
community policing the 2 1
community policing was 2 1
companies in the 1 1
company of documents 3 1
compared to federal 1 1
compared to other 2 1
compared with the 2 2
comparison to other 2 1
comparison to the 1 1
complexity of the 6 4
component of the 5 1
composition of the 10 1
compstat a theory 3 1
compstat and community 3 1
compstat and other 1 4
compstat and strategic 1 1
compstat and the 1 1
compstat to the 1 1
computer analysis of 1 2
computer internet lawcopyright 1 1
computer program that 1 4
computer program which 1 2
computer programs that 6 3
computer science has 1 1
computers to patrol 1 1
concern about the 5 1
concerned about the 3 1
concerns itself with 1 1
conclude that the 4 1
concluded that many 1 1
concluded that the 8 1
concluded that there 3 1
conclusions about the 1 1
conducive to the 1 1
conducted in the 2 1
confidence in police 2 3
conflict in the 1 1
consequence of the 6 1
consequences for the 6 2
consequences of a 7 1
consequences of the 2 2
consider how the 2 1
considerable discretion to 1 1
considerable variation in 1 1
contact with people 2 1
contacts with the 1 1
context in the 1 1
context in which 5 1
contingent on the 1 1
continue to be 5 2
continue to focus 2 1
continuity and change 3 4
contra costa times 1 2
contrary to the 3 1
contrast to the 4 2
contribute to the 6 1
control and law 4 2
control in the 5 5
control of the 11 1
control order maintenance 2 1
control to a 1 1
controlling police abuse 1 1
controlling police corruption 1 1
cooperation with the 5 1
cops and management 1 1
copyright c the 6 1
copyright medianews group 4 1
copyright the new 4 1
correlated to the 1 1
corruption and the 2 1
cost more than 1 1
cost of policing 1 1
could be a 5 1
could be that 3 1
could ever be 2 2
counter to the 3 1
county and state 1 1
county officials have 2 1
county sheriff s 9 3
coupled with an 3 1
coupled with the 3 1
course of a 1 1
course of action 8 2
course of an 1 1
course of months 1 1
course of police 1 1
course of several 1 1
court to prove 1 1
courts and police 2 1
crackdowns and fear 1 1
create a national 1 1
creation of a 6 1
creation of new 1 1
creation of the 5 1
creatures of habit 3 1
crime and disorder 9 5
crime and policing 3 1
crime and public 1 1
crime and social 2 1
crime and that 2 2
crime areas there 1 1
crime at a 3 2
crime but also 2 1
crime control and 7 1
crime control effects 4 1
crime control order 2 1
crime control strategy 3 1
crime data from 2 6
crime data to 6 4
crime disorder and 3 5
crime drop in 1 2
crime e g 1 1
crime for a 1 1
crime hot spots 9 2
crime in a 8 4
crime in america 1 1
crime in los 5 4
crime in the 28 5
crime patterns in 5 2
crime prevention and 2 2
crime prevention efforts 2 2
crime rates and 3 1
crime rates in 6 1
crime rates the 3 1
crime reports to 3 5
crime to draw 3 1
crime was rising 1 1
crimes are committed 1 2
crimes are likely 2 2
crimes have been 5 1
crimes such as 9 2
crimes to predict 3 2
crimes were likely 1 2
crimes will be 1 2
crimes will occur 7 6
criminal justice policy 2 2
criminal justice the 2 1
criminal law and 9 3
criminals are creatures 2 1
criminals or at 1 1
criminals will strike 1 1
criteria such as 1 1
cruz police department 2 11
cruz police officers 1 1
cultural change that 1 1
culture and the 2 2
culture of police 2 3
culture of the 2 2
culture that may 1 1
cultures of policing 1 1
custom and morality 1 1
data and found 1 1
data and the 16 1
data files e 1 1
data from the 13 6
data from to 1 4
data is added 2 1
data on the 10 2
data sets often 1 1
data sets to 1 1
data that can 4 2
data to assess 1 1
data to predict 4 3
database policing where 1 1
date and location 1 4
date august language 5 4
date december language 4 1
date february language 1 1
date july language 5 1
date november language 1 2
date september language 6 1
david h bayley 4 1
david m kennedy 4 1
david weisburd making 2 1
david weisburd the 2 1
davis et al 1 1
days of the 2 2
deal of the 1 1
deal with the 4 3
december language english 4 1
decide how to 4 4
decision is made 1 1
decision making about 1 1
decision making is 6 3
decision on police 1 1
decisions are not 1 1
decisions in the 5 2
decisions that have 2 1
decline from to 1 1
decline in crime 4 1
decline in the 6 1
deemed to be 2 1
degree of autonomy 2 1
degree to which 28 6
democracy and the 5 1
demographics of law 2 1
dennis c smith 4 1
department for example 2 2
department making sense 2 1
department of justice 47 7
department s new 2 1
department s predictive 1 1
department said he 1 4
department to deploy 1 2
departments and police 3 1
departments and the 4 1
departments around the 3 3
departments continue to 2 1
departments from the 1 1
departments in large 3 1
departments in terms 1 1
departments in the 5 2
departments of transportation 1 1
departments such as 1 3
departments that are 1 3
departments that were 1 1
departure from a 1 1
depends on how 1 1
depth studies of 1 1
derive from the 1 1
derives from the 2 1
describes how to 1 1
designed to help 2 1
designed to promote 2 1
designed to serve 2 1
designed to support 2 1
desk pg length 1 1
detailed information about 3 1
detailed study of 1 1
determination of who 2 1
determined that the 4 2
developed a robust 1 1
developed by a 1 2
developed during the 2 1
developed to guide 2 1
developing and sharing 1 1
development of a 10 1
developments in the 5 1
did not conduct 1 1
did not want 1 1
difference between the 2 1
different levels of 7 3
different parts of 2 2
different set of 4 1
different ways in 2 1
difficult for police 2 1
difficult to detect 1 1
difficult to generalize 1 1
difficult to see 4 1
directly related to 2 1
director of the 15 2
discretion and the 2 1
discussion of police 2 1
disorder and a 1 1
disorder and fear 3 2
disorder broken windows 2 1
disorder focused police 1 1
dissertation university of 2 1
distinguish it from 1 1
diversity of the 1 1
division of labor 1 1
do about it 1 1
do little to 1 1
do more to 2 1
do not allow 2 1
do not appear 2 1
do not come 4 1
do not have 20 1
do so by 3 1
do so this 2 1
do to prevent 1 1
do to reduce 3 1
do well to 3 1
documents copyright c 21 1
documents the new 4 1
does not appear 4 2
does not give 1 1
does not mean 12 2
does not need 3 1
doesn t fit 1 1
doesn t happen 1 4
doesn t work 2 3
doing a lot 1 1
doing so requires 1 1
doing the same 1 1
don t have 9 2
don t know 11 3
done little to 1 1
down on the 2 1
drawing on the 3 1
driven in large 3 1
driving force behind 1 1
drop in america 1 2
due process and 17 1
due to a 7 2
due to budget 1 2
due to their 2 1
during the last 6 1
during the late 1 1
during the s 9 1
dynamics of change 2 2
e eck what 2 1
e g a 5 1
e g smith 1 1
e g the 4 2
e g wanted 1 1
e g whether 1 1
each of the 9 1
each of these 9 2
each other and 1 1
each other s 2 1
early in the 6 1
early s he 1 1
early s n 7 1
early s the 6 1
early stages of 2 1
ease with which 4 1
easy to forget 2 1
easy to see 5 1
eck what can 2 1
economic and social 1 1
economies of scale 3 2
economy and society 3 1
edmund f mcgarrell 1 1
effect a useful 1 1
effect on local 1 1
effectiveness of new 2 1
effectiveness of police 2 1
effects into the 1 1
effects of police 1 5
effects of the 10 3
efforts to coordinate 1 1
efforts to move 1 1
efforts to promote 1 1
efforts to protect 3 1
element in the 1 1
elements of police 1 1
elements of the 5 1
embedded in the 5 1
embraced the adoption 1 1
emerged in the 3 1
emergence of predictive 1 1
emerges from a 2 1
emphasis is on 1 1
empirical assessment of 2 1
empirical research has 1 1
empirical research that 1 1
employed by the 3 1
employment in the 1 1
