of documents 1 of 1
an earlier draft 1 1
an earthquake in 1 2
an empirical examination 1 1
an entire city 2 1
an examination of 3 1
an eye on 1 1
an impact on 3 1
an important role 2 1
an in depth 2 1
an initial crime 2 2
an innovation in 1 1
an interest in 4 1
an interesting possibility 1 1
an officer s 9 1
an officer should 1 1
an opportunity for 14 1
an overview of 6 1
analysis of criminal 2 1
analysis of organizational 2 1
analysis of the 10 2
analyst for the 1 9
analyzing and detecting 1 2
and a police 1 4
and ability to 1 1
and abuse n 1 1
and administration of 1 1
and administrative statistics 1 1
and allocate resources 2 2
and amazon about 2 1
and another in 1 2
and auto thefts 2 1
and car thefts 1 2
and charles e 2 1
and community policing 2 4
and comparing it 1 1
and computer science 3 1
and conflict in 1 1
and contemporary problems 1 2
and crime analyst 1 2
and criminal justice 11 1
and cynthia lum 1 2
and dale k 1 1
and data analysis 2 1
and david m 1 1
and david weisburd 2 4
and decision making 3 1
and detecting patterns 1 2
and director of 1 1
and do not 3 1
and early s 2 1
and easy to 1 1
and effectiveness in 2 1
and effectiveness of 2 1
and efforts to 2 2
and elected officials 1 1
and evaluate the 1 1
and evaluation program 1 1
and even the 1 1
and fear of 2 1
and federal agencies 1 2
and federal jurisdictions 2 1
and found a 2 1
and found that 2 1
and general deterrence 1 1
and he is 1 4
and hence the 1 2
and home burglaries 1 6
and how it 5 1
and how much 1 3
and how that 2 1
and how they 1 4
and how to 3 1
and implementation of 1 3
and in other 1 1
and in recent 1 1
and in some 8 1
and in the 7 2
and it is 6 2
and it may 2 1
and it s 5 1
and its consequences 1 1
and its control 1 1
and its implications 2 1
and james j 1 3
and john e 2 1
and justice a 8 5
and justice an 1 1
and justice crime 2 2
and larger police 2 1
and law enforcement 5 7
and lawrence w 1 1
and led to 1 1
and local law 3 4
and local police 1 4
and location of 3 5
and long term 3 1
and los angeles 33 1
and many are 2 1
and more critical 1 1
and new technologies 4 2
and new york 4 1
and norval morris 8 7
and not for 1 1
and of course 4 1
and of police 1 1
and organizational change 1 1
and other countries 1 1
and other local 1 1
and other problems 3 1
and other similar 2 2
and others are 1 1
and others have 1 1
and outcomes are 1 1
and over the 1 1
and patterns in 1 1
and patterns of 2 1
and peter neyroud 2 1
and police departments 2 2
and police in 2 1
and police officers 2 1
and police practices 1 1
and practice materials 8 1
and practice police 1 1
and predict the 1 1
and predictive policing 16 1
and private sector 1 1
and problem oriented 2 8
and problem solving 5 1
and public policy 4 2
and public safety 5 1
and quality of 2 1
and reform controlling 1 1
and regional news 9 4
and research weisburd 1 1
and respond to 2 1
and richard a 1 2
and santa cruz 8 7
and since then 1 2
and so on 2 1
and social science 1 5
and society review 2 5
and some have 1 2
and support of 1 1
and susan hartnett 1 1
and that is 1 2
and that it 2 1
and that may 2 1
and that s 7 2
and that the 9 3
and that they 1 1
and the absence 1 2
and the commission 1 1
and the computer 1 2
and the court 6 1
and the courts 4 1
and the creation 1 1
and the emergence 2 1
and the extent 1 1
and the idea 1 1
and the maintenance 1 1
and the most 1 1
and the number 1 1
and the police 4 9
and the public 9 3
and the range 1 1
and the results 1 1
and the scientific 2 2
and the threat 1 1
and the two 1 1
and the u 4 1
and the united 6 1
and thefts and 1 1
and their police 1 1
and then to 2 1
and there is 6 1
and they re 2 2
and this is 3 1
and time of 5 1
and to enable 1 1
and to serve 2 6
and to the 6 1
and took a 1 1
and transparency in 1 1
and undesirable consequences 2 1
and updated data 1 2
and using their 1 1
and we re 2 4
and we thought 1 2
and weisburd the 2 1
and when crimes 2 2
and where crimes 2 2
and where future 3 2
and where the 3 3
and why they 2 1
and windows of 1 2
and with greater 1 1
and with the 2 1
and with what 2 4
and you re 1 1
angeles and new 3 1
angeles police department 48 5
angeles predictive policing 1 1
annual meeting of 1 2
answer is that 2 1
anthony a and 1 1
anthony a braga 3 7
anthropologist jeff brantingham 1 2
appear to be 8 4
appear to have 1 3
appeared to be 1 1
appears to be 7 3
appears to have 1 1
applied to police 1 1
approach to police 1 1
approach to the 6 2
approaches to crime 1 1
are able to 12 1
are actively engaged 1 1
are also looking 1 2
are asked to 4 1
are at highest 1 2
are at least 4 2
are committed in 1 2
are concerned about 2 1
are creatures of 3 1
are expected to 4 2
are given a 1 3
are intended to 2 1
are invested in 2 1
are likely to 23 2
are more likely 5 1
are needed to 1 1
are not necessarily 3 1
are not otherwise 1 1
are not so 1 1
are not yet 1 1
are often called 1 1
are on the 1 2
are part of 3 1
are recalibrated daily 1 2
are reluctant to 1 1
are subject to 5 1
are the product 1 1
are thought to 1 2
are trying to 1 1
are unable to 2 1
are using the 2 1
area and the 6 1
areas and windows 1 2
areas in the 3 1
argue that the 2 1
argued that the 3 3
around the country 12 2
around the nation 2 5
around the united 2 1
arrest rates for 1 1
arrests but the 1 1
as a consequence 10 2
as a crime 4 2
as a distinct 1 1
as a means 3 2
as a model 2 1
as a public 3 1
as a result 24 1
as a way 5 4
as an independent 3 1
as community policing 2 2
as early as 1 2
as far fetched 1 1
as generators of 1 1
as has been 2 1
as in the 4 1
as information technology 1 1
as it has 5 1
as los angeles 3 1
as many as 2 2
as models for 1 1
as new crimes 1 2
as of the 3 1
as one in 1 1
as one of 4 4
as opposed to 6 4
as part of 23 2
as predictive policing 7 2
as soon as 5 1
as that of 1 1
as the city 1 5
as the department 11 1
as the most 1 1
as the number 2 1
as the range 1 1
as the right 2 1
as the united 1 1
as the use 2 1
as they re 1 1
as to whether 6 1
as visible as 3 1
as wal mart 1 1
as we move 2 1
as well as 77 12
as well the 3 1
asked to patrol 1 1
aspect of police 1 1
aspects of police 1 6
aspects of policing 2 1
aspects of the 1 2
assess the effects 1 1
assessing the impact 1 1
assessment of the 1 2
assigned to police 1 1
assistant professor of 8 1
associated with a 6 2
associated with an 1 1
associated with the 13 1
association is not 1 1
association of chiefs 1 4
assumption is that 1 2
at a given 1 1
at a location 2 1
at a time 3 2
at any time 1 1
at best a 1 1
at certain times 1 1
at george mason 2 1
at hand and 2 1
at highest risk 2 2
at least a 4 1
at least as 2 2
at least for 2 1
at least in 6 2
at least one 6 1
at least some 3 1
at least to 2 1
at least two 2 2
at least with 2 1
at least years 1 1
at more than 2 1
at p m 1 4
at risk for 1 1
at roll call 2 3
at santa clara 3 8
at the annual 1 2
at the center 3 1
at the end 2 3
at the intersection 2 1
at the last 1 1
at the local 2 1
at the national 3 2
at the other 1 1
at the same 19 4
at the santa 3 1
at the time 18 2
at the top 1 1
at twitter com 2 2
at www santacruzsentinel 3 2
attacks such as 1 1
attempt to reduce 1 2
attention on the 1 1
august language english 7 4
authority of the 2 1
authors found that 1 1
average number of 1 1
away from the 19 1
based analysis of 2 1
based approach to 7 1
based in part 1 1
based largely on 1 1
based on data 2 1
based on experience 2 1
based on historical 2 1
based on models 1 2
based on past 4 2
based on the 28 4
based policing and 1 1
based policing ideas 1 1
based policing is 2 1
basis of a 2 1
basis of his 1 1
baxter santa cruz 1 3
be a valuable 1 1
be able to 31 2
be accomplished on 1 1
be achieved with 1 1
be associated with 1 2
be attributable to 1 2
be back in 2 1
be careful to 1 1
be difficult for 1 1
be important to 1 1
be in the 4 1
be influenced by 2 1
be insufficient to 2 1
be judged by 1 1
be less useful 1 1
be most effective 2 1
be much more 2 1
be on the 1 2
be perceived as 1 1
be positive but 2 1
be required to 8 1
be said about 1 1
be said for 1 1
be selected from 1 1
be subjected to 3 1
be that the 3 2
be the case 1 1
be the first 2 4
be the most 3 2
be understood in 1 1
be used to 21 3
be useful to 2 1
be willing to 1 1
became the first 10 2
because of concerns 1 1
because of the 11 5
become part of 1 1
been around for 3 2
been designed to 1 1
been done to 1 2
been forced to 2 1
been in the 3 1
been made on 1 1
been promoted to 1 1
been subject to 1 1
been to arrest 1 1
been used by 2 1
been used to 1 3
before there s 5 1
before turning to 2 1
beginning in the 4 1
begins with a 2 1
being able to 4 1
belief that the 4 1
berkeley university of 1 2
best course of 1 1
best inventions of 2 2
best practices they 1 1
best suited to 1 1
better equipped to 1 1
better understand the 1 1
better understanding of 1 1
between the two 3 1
black and white 4 1
blumstein and wallman 1 1
body of empirical 1 1
body of research 2 3
boon or dangerous 1 1
boston little brown 1 3
both in the 1 1
both police and 1 1
braga and weisburd 2 5
braga anthony a 2 1
branches of government 2 1
bratton william j 1 3
breaking news local 1 2
brief history of 1 1
brief washington dc 1 1
bring with them 1 1
british journal of 2 1
broken windows and 1 1
broken windows policing 8 3
brought to bear 3 1
brown calling the 1 1
brown the kansas 1 1
bulletin ontario ca 2 1
bureau of investigation 1 1
bureau of justice 15 9
burglaries and auto 1 1
burglaries and thefts 2 1
burglaries in the 4 1
bushway preventing crime 1 1
business length words 1 1
but also how 1 1
but also to 3 2
but by a 1 1
but by the 1 1
but i m 3 2
but in the 1 1
but it does 1 1
but it is 10 3
but it may 2 1
but perhaps the 1 1
but predictive policing 1 1
but rather as 1 1
but rather that 1 1
but rather the 1 1
but rather to 1 5
but that they 1 1
but the nature 1 1
but the use 1 2
but there are 3 2
but there is 2 1
but they are 5 2
but they have 3 1
but they may 1 1
but this process 2 1
but we should 1 1
but with a 1 1
by a computer 3 4
by a court 1 1
by a desire 1 1
by a factor 2 1
by a federal 2 1
by a group 2 3
by a national 2 1
by analyzing and 1 2
by and large 1 1
by case basis 1 2
by comparison to 1 1
by elected officials 2 1
by enabling officers 1 1
by far the 4 1
by influencing the 1 1
by maurice punch 1 4
by mcclatchy tribune 10 8
by mct information 10 2
by michael tonry 13 11
by monitoring the 1 1
by no means 4 1
by police officers 4 1
by predicting it 2 1
by the capacity 1 1
by the crime 1 1
by the early 2 1
by the end 7 1
by the federal 1 1
by the first 4 1
by the late 1 1
by the los 12 2
by the national 1 1
by the police 24 1
by the political 1 1
by the same 3 1
by the santa 2 2
by the state 2 1
by type of 1 1
by which the 1 2
byline by mike 2 2
byline stephen baxter 1 3
c santa cruz 1 2
c the santa 2 2
c the university 1 1
calif at www 4 2
calif section state 4 4
calif visit the 4 2
california distributed by 4 4
call for a 1 1
called after crimes 1 2
called predictive policing 2 4
calling the police 2 1
calls for service 17 13
cambridge ma harvard 3 2
cambridge ma mit 1 5
came to the 3 1
came up with 3 1
can afford to 1 1
can also be 3 1
can be accomplished 1 1
can be expected 1 1
can be explained 3 1
can be said 2 2
can be used 14 3
can do to 2 1
can get them 1 2
can have a 4 2
can provide more 1 1
can reduce crime 4 1
can tell us 1 3
can we learn 2 1
cannot afford to 2 1
capacities of the 4 1
capt sean malinowski 2 2
captured by the 1 1
car and home 1 6
car break ins 1 2
careful attention to 1 1
case by case 4 3
case it has 1 1
case study in 1 1
central part of 1 1
century in modern 1 1
certain areas or 2 1
certain aspects of 1 2
certain features of 1 1
certain type of 1 2
certain types of 6 1
change in american 1 1
change in control 1 1
change in the 2 5
change in three 2 1
change their behavior 1 1
changes in police 2 4
changes in the 4 4
characteristics for example 1 1
charles e brown 2 1
chicago crime and 1 1
chicago police department 5 2
chicago press police 1 1
chicago press reiss 1 1
chicago university of 9 9
chief kevin vogel 1 2
chief of police 4 2
chief of the 16 1
chiefs of police 2 4
choices about how 2 1
circumstances in which 1 1
circumstances under which 1 1
citizen perceptions of 1 1
citizens requests for 1 2
city is a 1 1
city or county 1 2
city police department 13 3
city preventive patrol 3 1
city s crime 3 1
city s police 5 1
city s violent 1 1
city wide implementation 1 1
civil rights and 1 1
civil rights law 2 1
claim that the 3 1
clara university and 3 5
clear that they 2 1
clearance rates for 2 1
close to the 3 1
closed circuit television 1 1
closely with the 6 1
code qc copyright 3 4
collaborate in the 1 1
collected by the 2 1
colleen mccue predictive 2 1
com distributed by 10 2
com load date 2 3
com meta p 1 1
com section breaking 2 3
come from the 2 1
comes from a 2 1
commander of the 2 1
comments on an 1 1
commission on law 1 1
commissioner of the 4 1
commissioner william bratton 1 1
committed by the 2 1
communities and their 1 3
community and problem 1 7
community as a 1 2
community oriented policing 3 4
community policing a 1 3
community policing and 8 13
community policing as 2 1
community policing era 1 4
community policing has 2 1
community policing in 1 10
community policing programs 1 1
community policing the 3 1
community policing was 1 1
community policing which 1 1
company of documents 2 1
compared to that 1 1
compared with the 2 2
comparing it to 1 1
comparison to the 1 1
complaints against police 4 1
complexity of the 2 4
compstat a theory 2 1
compstat and the 1 1
computer analysis of 1 2
computer program that 2 4
computer screens and 1 1
computerized crime mapping 3 2
concept of police 1 1
concerned about the 4 1
conducted in the 1 1
confidence in police 2 3
consequence of the 2 1
consequences for the 2 2
consequences of the 1 2
considering the effects 1 1
constitute a sufficient 1 1
context in which 4 1
continue to be 3 2
continue to grow 1 1
contra costa newspapers 3 2
contra costa times 5 2
contrary to the 2 1
contrast to the 4 2
contribute to the 4 1
control and law 1 2
control in the 2 5
control new york 1 1
control of the 9 1
controlling police corruption 1 1
cooperation with the 2 1
cop reversed the 2 1
copyright c the 1 1
copyright contra costa 3 2
copyright medianews group 15 1
copyright san jose 3 3
copyright santa cruz 3 4
copyright the new 3 1
corruption berkeley university 1 1
costa newspapers all 3 2
costa times california 3 2
could be a 2 1
council and the 2 1
counted as a 1 1
county sheriff s 29 3
course of a 3 1
course of action 4 2
craig d uchida 2 2
creation of a 3 1
creation of the 3 1
creatures of habit 4 1
crime analyst for 1 8
crime and delinquency 3 2
crime and disorder 5 5
crime and justice 10 9
crime and policing 1 1
crime and public 1 1
crime and social 1 1
crime and that 2 2
crime areas there 1 1
crime at a 1 2
crime but also 4 1
crime by predicting 2 1
crime byline by 1 3
crime control and 5 1
crime data from 1 6
crime data the 2 2
crime data to 7 4
crime epidemic new 1 1
crime hot spots 25 2
crime in a 11 4
crime in america 3 1
crime in the 16 5
crime is going 1 1
crime is not 9 4
crime journal of 1 1
crime just length 1 1
crime mapping in 1 1
crime mapping to 1 1
crime mohler s 3 2
crime news local 1 2
crime officers are 1 1
crime patterns in 2 2
crime prevention and 2 2
crime prevention efforts 1 2
crime prevention tool 1 1
crime rates and 4 1
crime rates in 3 1
crime rates the 2 1
crime what works 1 1
crimes are committed 1 2
crimes are likely 9 2
crimes by analyzing 1 2
crimes have been 2 1
crimes occur and 1 2
crimes such as 12 2
crimes were down 1 1
criminal activity occurs 1 1
criminal courts at 1 1
criminal justice policy 1 2
criminal justice the 2 1
criminal law and 16 3
criminology and public 2 2
criteria used in 2 1
critical events administrative 1 1
cruz police department 16 11
cruz police officers 1 1
cruz predictive policing 2 2
cruz santa cruz 1 4
cruz sentinel calif 3 6
cruz sentinel california 3 4
cruz sentinel of 3 4
cruz sentinel scotts 6 4
ct yale university 1 1
cynthia lum the 1 1
d mastrofski and 1 4
d organizations in 1 1
daily as new 1 2
daily bulletin ontario 2 1
dale k brown 1 1
dangerous knowledge law 1 1
data and the 7 1
data could help 1 4
data for a 3 1
data from the 2 6
data in real 1 1
data is fed 3 2
data provided by 1 2
data that can 1 2
data the projections 1 2
data to predict 6 3
date and location 1 4
date august language 7 4
date december language 8 1
date february language 1 1
date january language 6 5
date july language 5 1
date september language 3 1
david and cynthia 1 1
david and peter 1 1
david m kennedy 1 1
david stephen d 1 1
david weisburd and 2 8
davis et al 1 1
days of the 4 2
dc bureau of 1 3
dc national academies 2 1
dc national institute 2 12
dc police executive 4 5
dc police foundation 4 7
deadly force journal 1 1
deal of the 1 1
deal with the 13 3
decades of the 2 1
december http www 1 2
december language english 8 1
decision making is 4 3
decision on police 1 1
decisions in the 1 2
decline in crime 1 1
decline in the 3 1
decrease in the 1 2
defense attorneys and 1 1
denise gottfredson doris 1 1
department became the 1 2
department of criminology 2 1
department of justice 20 7
department s ability 2 1
department s crime 1 7
department s foothill 3 2
department s new 1 1
department this is 1 1
department we re 11 2
departments and the 1 1
departments around the 2 3
departments have been 1 1
departments law and 1 1
departments may be 1 1
departments throughout the 1 1
departments washington dc 1 1
deploy our resources 1 2
derive from the 1 1
derives from the 1 1
desk pg length 1 1
detecting patterns in 1 2
determined that the 1 2
developed by a 4 2
developments in the 1 1
did not want 3 1
dieckman and charles 1 1
difference between the 1 1
different levels of 2 3
difficult to achieve 2 1
difficult to change 1 1
difficult to see 2 1
diffusion of computerized 1 1
director of the 16 2
discipline and the 1 1
discretion an empirical 1 1
discretion and the 1 1
discretion scientific boon 1 1
disorder and fear 1 2
disproportionate to their 1 1
dissertation university of 1 1
distinct from other 1 1
distinguishing feature of 1 1
distributed by mcclatchy 10 6
distributed by mct 10 2
diversity in the 1 1
diversity of the 1 1
do about it 1 1
do is to 1 1
do it it 1 1
do more to 1 1
do not have 8 1
do so by 1 1
do so this 1 1
documents contra costa 3 2
documents copyright c 9 1
documents inland valley 2 1
documents san jose 3 3
documents santa cruz 3 4
documents the new 3 1
does not appear 1 2
does not mean 4 2
doesn t what 1 1
doesn t work 2 3
don t have 4 2
don t know 9 3
done and how 1 1
doris mackenzie john 1 1
dots on the 1 1
down on the 2 1
dr george mohler 2 1
drawing on a 1 1
driving force behind 2 1
drop in reported 1 1
duane dieckman and 1 1
due process and 3 1
due to a 3 2
due to budget 4 2
during the community 1 2
during the last 3 1
during the late 1 1
during the s 5 1
during the twentieth 1 1
e brown the 2 1
e g a 1 1
e g the 1 2
each of the 5 1
each of these 8 2
early in the 1 1
early s n 1 1
early s the 1 1
early twenty first 4 1
eck john e 1 2
eck peter reuter 1 1
edited by maurice 1 4
edited by michael 13 11
eds fairness and 1 1
education and training 1 2
edwin e hamilton 1 1
effective in reducing 1 1
effectiveness in policing 1 1
effects of police 2 5
effects of the 6 3
effects on police 1 1
eight years of 1 6
elements of the 3 1
emerged in the 1 1
emphasis is on 1 1
emphasized in a 1 1
empirical examination journal 1 1
empirical tests of 1 1
employment in the 1 1
end of community 1 1
end of the 4 5
enforcement agencies around 2 4
enforcement and administration 1 1
enforcement and criminal 1 1
enforcement management and 1 1
engage in the 1 1
engage the police 1 1
engaged in a 4 1
english acc no 10 4
english graphic photo 3 1
english publication type 34 4
epidemic new york 1 1
especially if the 2 1
especially in the 2 2
essay focuses on 1 1
et al and 2 1
et al the 13 2
evaluation of the 6 1
evaluations of the 1 1
even if the 18 1
even more important 2 1
even the most 2 1
even though there 1 1
events administrative policy 1 1
evidence based policing 31 2
evidence in the 4 1
evidence of the 2 1
evidence on the 2 2
evidence showing that 1 1
evidence suggests that 1 2
evidence that is 2 1
evidence that the 2 1
evidence to make 1 1
evidence to suggest 2 1
evolution of policing 1 1
examination journal of 1 1
example created a 1 2
example of how 3 1
executive director of 13 1
executive research forum 11 9
expected to occur 1 1
experience with the 4 1
experienced in the 2 1
experiment a summary 1 1
experiment washington dc 1 1
experimenting with a 1 1
experiments in police 1 1
expressed concern that 1 1
extent that these 1 1
extent to which 6 14
face to face 1 3
factor of four 1 1
factors associated with 2 1
fairness and effectiveness 2 2
familiarity with the 1 2
far fetched as 1 1
fear of crime 1 4
feature of the 2 1
features in the 1 2
features of the 1 5
february language english 1 1
fed into the 4 4
federal agencies and 1 1
federal government to 1 2
feedback on the 1 1
feet by feet 2 2
fell in the 1 1
fighting crime in 2 2
find ways to 2 1
findings suggest that 1 1
first half of 1 3
first in nation 2 4
first in the 1 6
first line supervision 1 1
first six months 7 3
first year at 1 2
focus more on 1 1
focus on crime 1 1
focus on property 1 2
focus on the 9 2
focused on the 4 2
focuses on the 3 1
following an initial 2 2
following legal topics 8 1
foot patrol experiment 3 1
foothill patrol division 2 2
for a more 1 2
for a variety 8 1
for a while 1 1
for at least 4 1
for community policing 3 1
for continuing to 2 1
for dealing with 1 1
for example a 8 1
for example created 1 2
for example in 16 1
for example the 16 7
for future crimes 1 2
for incarceration and 1 1
for longer periods 1 1
for many years 1 1
for more information 1 2
for most local 2 1
for one purpose 2 1
for only percent 1 1
for other purposes 1 1
for patrol officers 1 1
for people in 1 1
for police in 2 1
for police to 4 2
for predicting aftershocks 3 2
for predictive policing 11 1
for property crimes 6 2
for providing the 1 1
for related research 8 1
for service and 1 1
for service but 1 2
for service n 2 1
for service or 1 1
for service the 1 1
for such a 1 1
for the collection 3 1
for the department 2 2
for the first 9 1
for the legitimacy 1 1
for the most 3 2
for the next 5 1
for the police 7 2
for the purposes 5 1
for the santa 2 6
for the twenty 2 2
for the work 1 1
for them to 2 1
for this is 2 1
for those who 4 1
for understanding the 1 1
for use in 5 1
for ways to 2 2
for women in 1 1
for years to 1 1
force in police 1 1
force in the 1 1
force journal of 1 1
forces have been 2 1
form of governance 1 1
form of the 3 1
forms of surveillance 2 1
forum president s 1 1
found that although 1 1
found that percent 3 2
found that the 5 4
found that there 1 1
found to have 2 2
foundation conducted a 1 1
foundation weisburd david 1 1
fourth amendment in 4 1
fourth amendment protections 16 1
friend a crime 1 4
friend said he 1 1
friend said i 1 1
friend said the 4 5
from a family 2 1
from a home 1 4
from law enforcement 1 2
from los angeles 1 1
from that of 3 1
from the community 3 2
from the federal 1 2
from the general 2 1
from the late 1 2
from the limited 1 1
from the los 11 6
from the police 5 1
from the rest 3 1
from the s 2 1
from the traditional 2 2
from this pattern 1 1
from those of 1 1
from those who 2 1
from which to 2 1
fueled by the 1 1
functions of the 1 2
future crimes by 1 2
future of crime 1 2
future of policing 4 1
fyfe james j 1 1
garner decision on 1 1
generates projections about 3 2
george mason university 3 2
george mohler and 1 2
george mohler the 2 4
get them to 1 1
given a list 2 2
go well beyond 1 1
goal is not 1 4
going on in 2 2
going to continue 4 4
going to happen 1 1
going to take 2 1
gottfredson doris mackenzie 1 1
gov pdffiles nij 7 1
government and private 1 1
government and the 1 1
government in the 2 1
government printing office 1 1
governmentspolice power footnotes 2 1
great deal of 17 2
great deal to 1 1
greater number of 1 1
greater than the 1 1
greenspan and james 1 1
group inc all 15 1
group of researchers 2 2
growing reliance on 1 1
growing role of 1 2
growth in the 1 2
guide the selection 1 1
gun use critical 1 1
had become a 1 1
had been conducted 1 1
had not been 2 1
half of the 9 5
happen in the 1 4
happened in the 1 1
happens when a 1 2
harvard university press 1 2
has a strong 1 1
has argued that 2 2
has become increasingly 1 1
has been a 6 2
has been done 2 2
has been given 1 1
has been the 2 3
has been to 1 1
has been used 3 2
has been using 2 2
has had a 4 1
has led the 2 1
has led to 6 2
has long been 3 1
has made possible 1 1
has not been 9 7
has resulted in 2 1
has seen a 2 2
has worked with 2 1
has yet to 2 2
have a problem 1 2
have a variety 1 1
have already been 2 2
have argued that 1 5
have attempted to 1 3
have been developed 2 1
have been forced 1 1
have been in 1 1
have been reported 2 1
have been the 4 1
have been widely 1 2
have dealt with 1 1
have explored the 1 1
have expressed a 1 1
have found that 1 2
have not been 8 2
have not yet 2 2
have occurred in 1 1
have seen a 2 2
have shown that 1 1
have suggested that 1 1
have to deploy 1 2
have yet to 1 1
haven ct yale 1 1
he added that 11 1
he ll be 1 1
he ll go 1 2
he or she 10 1
he said but 3 2
he said he 2 4
he said in 2 2
he said it 14 3
he said that 2 1
he said the 18 4
he said to 1 2
he wants to 1 4
head of the 2 3
heavily on the 1 1
held belief that 1 1
help guide the 1 1
high crime areas 26 2
high degree of 2 4
high level of 1 1
high levels of 10 2
higher levels of 2 1
highest probability of 1 1
highest risk for 4 2
his or her 13 2
history of police 1 2
hope is that 1 1
hot spots and 6 2
hot spots at 1 1
hot spots of 7 3
hot spots policing 7 8
hot spots the 1 1
house in the 2 4
how america s 2 1
how information is 1 1
how it will 3 2
how much the 12 2
how much time 4 1
how police organizations 1 3
how police use 1 1
how the police 4 1
how they are 3 2
however we are 2 1
http www ncjrs 1 3
http www nytimes 29 1
http www santacruzsentinel 1 2
huge amounts of 2 1
i don t 27 2
i m going 1 1
i m not 6 1
i think it 3 2
i think the 1 6
