of documents 1 of 1
column national desk 1 1
com load date 2 1
come out of 2 1
come to be 1 1
committing a crime 1 2
community based approach 1 1
community partnerships and 1 1
company of documents 1 1
compared to other 1 1
concerned about the 2 1
contributing to the 1 2
copyright medianews group 12 3
copyright the new 1 1
county sheriff s 17 5
court at a 1 1
creation of a 3 1
crime and a 3 1
crime and has 2 1
crime and that 1 1
crime at the 2 2
crime hot spots 1 2
crime in the 2 4
crime in this 1 1
crime prevention and 1 2
crime rate in 3 1
crime statistics and 4 1
crime such as 1 1
crimes against children 7 1
crimes in the 1 4
crimes law enforcement 1 1
crimes such as 2 2
d c the 1 1
daily news california 2 1
data in a 1 1
date april language 5 3
date august language 3 1
date december language 10 3
date september language 1 1
day section news 1 3
deal with the 2 1
dealing with the 1 1
december language english 10 3
department and the 1 1
department he said 1 3
department in the 4 1
department of homeland 1 8
department of justice 3 7
department said but 1 1
departments across the 1 3
desk pg length 1 1
details about the 1 1
did not have 1 2
did not know 1 3
didn t go 1 1
direct result of 1 1
director of the 2 4
documents pasadena star 6 1
documents san gabriel 2 1
documents the new 2 1
documents the times 1 1
documents whittier daily 2 1
down to the 1 3
drop in crime 3 1
drug enforcement administration 1 1
drug trafficking and 1 1
during the s 1 3
each other the 1 1
english publication type 35 8
escape from a 1 1
everyone in the 1 2
executive director of 2 1
executive research forum 1 1
expansion of the 2 1
expected to be 1 1
explained that the 1 1
fair share of 2 1
family and friends 1 2
fbi s san 2 1
federal state and 1 12
figure in the 1 1
file a petition 2 1
first six months 2 1
five years of 1 1
fled on foot 1 2
focused on the 1 2
for a second 1 1
for a wide 1 1
for certain crimes 1 1
for investigation of 2 1
for low level 1 2
for more than 1 1
for robbery and 1 1
for several years 1 1
for the nypd 1 1
for the same 1 3
for their support 1 1
for those who 1 2
from the police 1 1
from the san 1 1
from the state 1 1
gabriel valley tribune 2 1
go to the 2 1
good way to 1 1
group inc all 10 6
group inc and 12 3
has a high 1 3
has been convicted 1 1
has come to 1 3
has seen an 2 1
have the same 2 2
he did not 2 2
he has been 1 1
he hopes to 1 3
he pointed to 1 1
he said it 1 3
he said the 6 4
he was also 1 4
he will be 1 1
held at the 2 1
high rate of 1 1
homeland security the 1 2
how law enforcement 1 1
html load date 1 1
http www nytimes 1 14
i didn t 1 1
i don t 1 1
if they were 1 2
if we are 1 1
impact on law 1 2
important to the 1 3
in a new 1 1
in a police 1 3
in addition the 1 2
in addition to 4 7
in an interview 4 1
in collaboration with 2 1
in community policing 1 7
in connection with 1 3
in crime and 2 1
in crime in 3 1
in l a 2 3
in law enforcement 3 13
in los angeles 41 3
in more than 3 4
in new york 1 15
in one instance 1 1
in order to 1 18
in other words 1 10
in part because 1 3
in place to 2 2
in prison on 1 1
in property crimes 2 1
in recent years 4 7
in response to 2 6
in san bernardino 1 3
in some of 1 1
in tel aviv 1 3
in the aftermath 2 1
in the area 2 6
in the big 1 1
in the case 1 6
in the city 7 8
in the community 1 20
in the country 5 2
in the crime 1 1
in the first 5 2
in the last 2 4
in the nation 3 2
in the nature 1 1
in the neighborhood 1 3
in the netherlands 1 1
in the next 1 3
in the number 2 3
in the process 1 3
in the religious 1 1
in the same 2 11
in the san 2 1
in the state 1 2
in the u 2 5
in the united 3 27
in the wake 1 4
in the west 1 2
in the world 1 3
in there were 1 1
in united states 1 2
in violent crime 10 4
in washington d 1 1
in which police 2 2
inc all rights 475 6
inc and los 11 3
incident to the 1 1
including cocaine heroin 3 1
indicating that the 1 1
information about the 4 10
information is available 1 2
information on the 1 1
involved in a 1 5
involved with the 1 1
is a good 1 3
is a lot 1 1
is asked to 2 1
is focused on 1 4
is important to 1 2
is on the 1 1
is one of 2 1
is to reach 1 1
it doesn t 1 1
it is a 1 10
it is also 1 4
it is the 1 3
it is unclear 1 1
it would be 1 3
l a area 1 1
l a county 4 4
l a times 1 15
language english graphic 3 1
language english publication 35 8
lapd los angeles 1 1
large amounts of 1 1
last year a 1 1
last year according 1 1
late edition final 1 1
law enforcement a 1 4
law enforcement agencies 4 57
law enforcement authorities 1 2
law enforcement community 1 4
law enforcement have 3 2
law enforcement in 1 8
law enforcement is 1 9
law enforcement officials 1 11
law enforcement to 1 33
law enforcement will 1 1
lead to the 2 1
led to a 2 4
length words a 2 3
length words new 1 1
less than miles 1 3
less than percent 2 1
limited all rights 1 1
linked to the 2 2
load date april 5 3
load date august 3 1
load date december 276 3
load date september 1 1
local law enforcement 5 23
location in an 1 1
long history of 1 1
looking at the 1 1
los angeles a 5 1
los angeles and 4 4
los angeles area 2 1
los angeles county 954 2
los angeles field 1 1
los angeles for 3 1
los angeles newspaper 11 3
los angeles police 39 6
los angeles the 3 1
los angeles this 1 1
los angeles unified 1 3
lot of it 1 1
louis post dispatch 2 2
ltd all rights 2 1
major cities across 1 1
man on the 1 1
may be a 1 1
medianews group inc 12 3
member of the 1 1
members of the 9 4
more difficult to 1 2
more hardened criminals 3 1
more likely to 1 39
more than a 3 10
more than he 1 1
more than in 1 1
more than people 1 1
much of it 1 3
much of the 1 2
must come from 1 1
must file a 2 1
national desk pg 1 1
new information is 1 1
new york police 1 13
new york times 2 5
news california april 1 2
news length words 12 3
news pg length 1 1
newspaper copyright medianews 12 3
newspaper copyright the 5 1
newspaper group inc 10 3
newspaper journal code 4 4
non violent offenses 1 2
nor any member 1 1
not going to 2 1
nytimes com us 1 10
of a crime 1 5
of a felony 3 2
of a minor 1 1
of a month 1 1
of all murders 1 1
of being a 1 1
of cocaine inside 1 1
of crimes such 1 1
of documents copyright 460 3
of documents pasadena 6 1
of documents san 2 1
of documents the 13 5
of documents whittier 2 1
of domestic violence 1 1
of homeland security 1 13
of interest in 1 2
of it is 1 1
of justice office 2 3
of law enforcement 1 35
of life the 1 3
of los angeles 27 1
of more than 1 4
of people who 1 2
of southern california 3 1
of the cases 1 1
of the city 11 6
of the community 2 2
of the compstat 1 1
of the crime 1 6
of the department 2 3
of the error 1 1
of the fbi 3 6
of the group 1 1
of the home 2 1
of the internet 1 2
of the last 2 3
of the los 4 1
of the more 1 1
of the most 1 4
of the muslim 1 1
of the organization 1 1
of the police 2 4
of the prison 1 1
of the public 1 6
of the state 1 7
of the united 1 6
of the victims 1 1
of the work 1 1
of thousands of 1 5
of up to 1 1
of violent crime 3 1
of what was 1 1
of what we 1 1
of which are 1 1
of which have 1 3
of which were 1 2
officer of the 1 1
officer on the 2 1
officers and the 1 1
officers assigned to 1 1
officers use of 1 1
officers will be 2 1
officials with the 1 1
on community policing 1 3
on law enforcement 1 12
on par with 1 2
on religion and 2 1
on suspicion of 3 2
on the police 2 3
on the public 1 1
on the side 1 1
on the street 6 15
on the use 1 1
on the west 1 1
one of a 1 1
one of the 5 11
one of them 1 1
or if the 1 1
or whether they 1 1
other information on 1 1
out of prison 3 1
out of the 4 5
over the last 2 1
over the past 1 6
part of a 1 7
part of an 1 1
part of the 2 12
partnership with the 1 2
pasadena star news 6 1
people who are 1 3
people who have 1 1
percent between and 2 1
percent of the 4 1
person of interest 1 1
personal and social 1 1
pg length words 16 2
place at the 1 1
place in the 2 2
police and the 1 11
police and to 1 2
police as a 1 1
police department and 2 2
police department he 2 1
police department in 1 2
police department is 1 5
police department s 1 5
police department with 1 1
police departments across 1 3
police executive research 1 1
police have a 2 1
police officers and 1 1
police use of 1 1
police went to 1 1
policing in the 1 16
possession of a 2 2
precursor to the 2 1
president of the 2 1
prison sentence for 1 1
program to help 1 1
property crimes it 1 1
providing information about 1 1
public s trust 2 6
publication type newspaper 38 9
quality of life 1 4
question of how 1 3
questions about how 1 2
questions remain about 1 1
rate in the 1 1
rather than a 1 2
reach out to 3 2
recent years the 1 1
record of the 1 1
referring to a 2 1
related to a 1 1
related to the 1 1
religious and cultural 1 3
reported by the 1 1
reserved of documents 37 7
responded to a 1 1
response to the 2 6
result in a 1 2
resulted in a 1 1
review of the 1 5
rights reserved of 37 7
role in the 3 6
s anti gang 2 1
s attorneys have 1 1
s department and 1 1
s department said 2 1
s efforts to 2 1
s most wanted 1 1
s office to 2 2
s san francisco 2 1
s violent crime 2 1
safety and security 1 3
said he hopes 1 3
said in a 11 1
said that it 2 1
said the mayor 1 3
said there s 1 3
said they were 1 2
san francisco fbi 1 2
san gabriel valley 2 1
section a column 1 1
section news length 10 3
section news pg 2 1
section section a 1 1
see themselves as 1 1
september language english 1 1
share information about 1 1
she has a 1 1
she would be 1 2
sheriff lee baca 1 1
sheriff s department 18 5
sheriff s office 1 1
shooting in the 1 1
showed that the 1 3
side of the 2 2
significant role in 8 2
six months of 2 1
solely on the 1 1
some of our 1 1
some of the 3 5
special agent in 1 1
spike in violent 1 1
spokesman for the 3 1
st louis post 2 2
star news california 6 1
state and local 1 20
state of the 8 1
states department of 2 1
take advantage of 1 2
take place in 1 2
take the lead 1 2
task force on 1 1
tens of thousands 1 3
than a year 3 1
than ever before 2 1
that could have 1 2
that he did 1 2
that is so 1 1
that it is 1 5
that it was 2 2
that lead to 1 3
that leads to 1 3
that led to 1 1
that some people 1 1
that the agency 1 1
that the federal 1 1
that the nypd 1 1
that the police 2 3
that the united 1 1
that the use 1 1
that there is 1 6
that they have 2 2
that this is 2 2
that will be 2 1
the absence of 1 8
the amount of 1 16
the beginning of 1 2
the big apple 1 1
the car and 2 1
the case was 1 2
the chicago police 1 6
the city of 3 2
the city s 15 11
the community and 1 4
the community policing 2 3
the creation of 3 1
the crime in 1 1
the crime scene 1 1
the department of 1 11
the department s 7 7
the department said 2 1
the drug enforcement 1 1
the early s 1 2
the emphasis on 1 1
the end of 2 5
the entire city 1 1
the executive director 1 1
the fbi and 1 6
the fbi can 1 3
the fbi had 1 2
the fbi s 6 28
the fbi the 1 2
the fbi was 1 1
the federal government 1 28
the human rights 1 1
the incident to 1 1
the increase in 3 2
the influence of 1 1
the intersection of 1 2
the investigation and 1 1
the l a 6 2
the last decade 1 3
the last years 1 1
the law enforcement 1 4
the lead in 1 2
the los angeles 56 11
the men involved 1 1
the muslim community 1 5
the nation s 4 3
the nature of 1 5
the need to 1 3
the needs of 1 1
the new york 4 21
the number of 8 21
the nypd is 1 1
the nypd s 1 12
the office of 1 3
the officer in 1 1
the orange county 1 1
the people who 1 1
the police can 1 2
the police department 1 6
the police executive 1 1
the police have 1 3
the police in 1 3
the precursor to 2 1
the privacy of 1 1
the problems that 1 2
the process of 1 2
the prosecution of 1 1
the protection of 1 1
the public s 6 5
the religious and 1 4
the residents of 1 1
the result of 1 3
the rise in 4 1
the same time 2 13
the san francisco 1 3
the scene of 2 2
the side of 1 1
the so called 1 1
the state in 1 2
the state of 2 3
the state s 3 9
the state to 1 2
the suspect and 1 2
the suspect is 2 3
the suspect s 1 16
the target of 1 1
the threat of 3 5
the u s 4 27
the united states 7 59
the university of 1 7
the use of 2 28
the victim was 2 1
the wake of 1 4
the white house 1 18
the world that 1 1
their use of 1 2
there are many 1 1
there are more 1 5
there is a 1 12
there is little 1 2
there is nothing 1 1
there s a 1 3
there was not 1 1
these are the 1 2
they are cooperating 1 1
they are the 1 3
they were not 1 2
things such as 1 1
this is a 4 3
this is an 2 1
this is not 1 5
this kind of 1 2
those who have 3 3
throughout the city 1 1
time in the 1 1
times company of 1 1
tip from a 1 1
to a police 1 1
to a violent 1 1
to assist in 1 1
to be a 1 8
to be in 1 6
to be the 2 2
to bring the 2 3
to commit crimes 2 4
to connect the 2 4
to continue to 1 3
to court documents 1 1
to court records 1 2
to crime hot 1 1
to deal with 5 2
to escape from 1 1
to establish a 2 4
to get the 1 3
to grow marijuana 1 1
to have a 1 8
to have been 1 1
to have their 2 1
to have to 1 1
to help his 1 1
to help them 1 1
to law enforcement 1 29
to live in 1 1
to maintain their 1 1
to make it 2 1
to meet the 1 1
to more than 1 1
to participate in 1 8
to police and 2 3
to police the 1 1
to provide a 1 2
to provide them 1 1
to reach out 3 1
to report to 2 3
to reveal the 1 2
to say that 1 3
to seek the 1 1
to support his 1 1
to the department 1 1
to the fbi 1 6
to the massive 1 1
to the mayor 2 3
to the national 1 4
to the police 1 3
to the president 1 2
to the public 2 8
to the two 1 1
to the u 1 2
to track crime 1 1
to work with 1 3
took place in 2 1
type newspaper copyright 33 5
type newspaper journal 4 4
u s attorney 1 6
u s cities 1 1
u s while 1 1
unified school district 1 3
united states department 2 1
united states in 1 1
united states is 1 1
united states it 1 1
university of california 1 1
url http www 2 1
use of force 16 1
valley tribune california 2 1
violence in the 1 4
violent and non 2 1
violent crime and 4 2
violent crime in 4 1
violent crime rates 1 1
violent crimes as 4 1
walking the streets 1 1
want to know 1 1
was asked to 2 1
was involved in 1 6
washington d c 2 3
way of life 1 3
we have an 1 1
we re not 2 1
went to the 1 1
were able to 1 2
were charged with 1 1
what we ve 1 2
when the fbi 1 1
while he was 1 1
whittier daily news 2 1
who had been 1 1
who have been 3 2
who will be 1 2
who wish to 1 1
will also be 1 2
will be in 1 1
will be the 1 2
will soon be 1 2
with a year 2 1
with intent to 1 1
with more than 1 1
with respect to 1 4
with the community 1 4
with the fbi 1 3
with the local 1 3
with the los 3 1
with the police 1 11
with the public 1 1
with the rate 1 1
with the state 2 7
with the task 1 1
with them and 1 1
work with the 1 2
working with the 1 3
would otherwise be 1 1
www fbi gov 1 25
www nytimes com 1 14
year according to 2 1
year prison sentence 1 2
years of age 1 3
york police department 1 6
york times company 1 1
you don t 3 1
young people that 1 1
